,index,english,translated_from_finnish,translated_from_dutch,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
10,1295,You're in better shape than I am.,ඔයා මට වඩා හොදින් ඉන්නවා.,You're in a better condition than I am.,Tu es en meilleure forme que moi. | Vous êtes en meilleure forme que moi.,Du bist besser in Form als ich.,Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku? Jsi v pořádku?,"”“你比我多,你比我多,你比我多,你比我多,你比我多,你比我多,你比我多,它比我多,她比我多。",You're in a better position than me.,ඔයාගේ体型比我的好.,You are in betterj formie than ja.,"""நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள். | நீங்கள் சிறந்த நிலையில் இருப்பீர்கள்.","Ты в лучшей форме, чем я. | Вы в лучшей форме, чем я.",Estás en mejor forma que yo.,Siz benden daha çok formdasınız.,"Ти у кращій формы, ніж я. | Ви у кращій формы, ніж я."
11,1296,You are in my way.,Olet tielläni.,You're in the way. | You're in the way of me.,Tu es sur mon chemin. | Vous êtes sur mon chemin. | Vous vous trouvez en travers de mon chemin. | Tu te trouves en travers de mon chemin.,Du bist mir im Weg.,ඔයා මට බාධා කරනවා!,Sei dalla mia parte.,君は私の邪魔をしている。 | あなたは私の邪魔をしています。,ඔයා挡住了 මගේ පාර.,Stoisz mi na drodze.,"""நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. உனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே. நீ எனக்கு வழியில்லையே.",Ты на моем пути. | Ты мне мешаешь. | Ты у меня на пути. | Вы у меня на пути.,Estás en mi camino.,Sen benim yolumdasın. | Bana ayak bağı oluyorsun.,ඔයා මගේ පාරේ. | Ти мне заважаєш. | Ви мені заважаєте.
12,1298,This will cost €30.,Tohle platí třicet eur.,That's going to cost 30 bucks.,Ça coûtera 30 €. | Ça va faire 30 euros.,Das wird 30 € kosten.,To bude stát 30 eur. | To bude stát 30 eur. | To by mělo stát 30 eur. | To bude stát 30 eur.,| Questo costerà 30 €. | Questa costerà 30 €.,30ユーロになります.,இது 30 கி.மீ.,To będzie kosztowało €30.,Vai custar €30. | Isso irá custar 30 euros.,Это будет стоить 30 евро. | Это будет стоить тридцать евро.,Eso va a costar 30 €.,Bu € 30'a mal olacak ఉంటుంది.,Це коштуватиме 30 евро. | Це буде коштуватиме 30 евро. | Це коштуватиме 30 €.
13,1299,I make €100 a day.,په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول.,I earn 100 dollars a day.,Je gagne 100 € par jour. | Je gagne cent euros par jour.,Ich verdiene 100 Euro pro Tag.,Vydělám 100 eur za den. | Vydělám 100 eur za den. | Vydělám 100 eur za den. | Vydělám 100 eur za den. | Vydělám 100 eur za den.,Guadagno 100 euro al giorno. | Guadagno 100€ al giorno. | Io guadagno 100€ al giorno. | Io guadagno 100 euro al giorno. | Guadagno cento euro al giorno. | Io guadagno cento euro al giorno. | Io guadagno cento euro al giorno.,I earn 100 Euros a day.,My Day Makes One Hundred Euros | My Day Makes One Hundred Euros,Zarabiam € 100 dziennie.,Eu ganho € 100 por dia.,Я зарабатываю сто евро в день. | Я зарабатываю 100 евро в день.,Gano 100 € per dieną.,Günde 100 avro kazanırım.,Я заробляю 100 евро на день. | Я заробляю 100 евро на сутки.
14,1302,That won't happen.,| Niin ei tapahdu.,That won't happen. | That won't happen.,| Cela ne se produira pas. | Cela ne se produira pas.,Das wird nicht passieren. | Dazu kommt es nicht. | Das wird nicht ereignen. | Das wird nicht geschehen. | Das kommt nicht vor.,それは起こらない。 | 状況.,To se nestane. | To se nestane. | To se nestane.,そんなことは起こらないでしょう。,That won't happen的.,അത് സംഭവിക്കില്ല.,To não va acontecer. | To não acontecerá.,Этого не случится. | Это не случится. | Этого не будет.,Eso no va a pasar. | Eso no pasará. | Eso no acontecerá.,O olmayacak.,මේක не станеться. | Цього не трапиться. | Цього не буде. | Це не станеться.
15,1304,I'll do my best not to disturb your studying.,د زده کړې څخه ډډه مه کوئ.,I'm going to try not to bother you learning. | I'm going to do my best not to bother you studying.,Je ferai de mon mieux pour ne pas perturber tes révisions.,"Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.",| アשתדל לא להפריע לך בלימודיך.,Farò del mio meglio per non disturbare il tuo studio.,Do not interfere with your study.,I'll try not to disturb you review.,Postaram się Ci nie przeszkadzać w nauce.,मैं अपने अध्ययनों के लिए अपने दिमाग को बेहतर बनाऊँगा।,Я стараюсь не мешать тебе учиться. | Я стараюсь не отвлекать тебя от занятий.,我 voy a esforzar por no molestarte en tus estudios. | Haré mi mejor esfuerzo por no molestar tu estudio. | Haré lo mejor para no molestar tu estudio.,| ワークアウトを邪魔しないでください elimden geleni yapacağım. ワークアウトを邪魔しないでください elimden geleni yapacağım.,"I will do everything that in my powers, чтобы не заважати вам навчатися. | I will do everything that in my powers, чтобы не заважати вам навчатися."
16,1308,I miss you.,"我爱你,我爱你,我爱你,我对你很遗憾,我对你很遗憾,我对你很遗憾,我对你很遗憾。",I miss you.,Tu me manques. | Vous me manquez.,मैं तुम्हें भूलता हूँ. मैं आप को भूलता हूँ. मैं आप को भूलता हूँ. तुम मुझे भूल जाते हो.,මම ඔයාට ආදරෙයි. මම ඔයාට ආදරෙයි.,例如: mi manchi. | Mi manca. | Mi missede. | Tu mi manchi. | Lei mi manca. | Voi mi missede. | A me manchi. | A me manca. | A me missede. | A me missede.,会えなくて淋しい. | 君がいなくて寂しいよ. | あなたがいなくて淋しいです.,I miss you. | I miss you. | I miss you. | I miss you.,Tęsknię za Tobą. | Brakuje mi cię. | Tęsknię za tobą.,Sinto sua falta. | Estou com saudades de você. | Saudades. | Sinto a tua falta. | Tenho saudades tuas. | Saudade de você!,Я скучаю по тебе. | Скучаю по тебе. | Я скучаю по тебе. | Скучаю по вам. | Мне вас не хватает. | Я скучаю по тебе! | Мне вас не хватает. | Мне вас не хватает. | Я скучаю по вам.,Te strange. | Te echo de menos. | Os strange.,Seni özledim. | Seni özlüyorum.,"”“我爱你,我爱你,我爱你,我爱你。"
17,1309,I'll call them tomorrow when I come back.,"Soitan heille huomenna, kun tulen takaisin.",I'll call them tomorrow when I get back. | I'll call them tomorrow when I get back.,මම ආපහු එනකොට මම කතා කරන්නම්.,"ഞാന് നാളെ അവരെ വിളിക്കും, ഞാന് തിരിച്ചു വരുമ്പോള്.",| 明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日。,Li chiamerò domani quando ritorno. | Le chiamerò domani quando ritorno.,I'll call you tomorrow.,I will contact them when I come back tomorrow.,Zadzwonię do nich jutro kiedy wrócę.,| Ligarei para eles mañana quando eu voltar. | リガリーは明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日。,"Я позвоню им завтра, когда вернусь домой. | Я позвоню им завтра, когда вернусь.",| Les llamaré mañana quand regrese. | Les llamaré mañana quand regrese.,Yarın geri döndüğümde onları arayacağım. | Geri döndüğümde onları yarın ararım.,"నేను повернусь ఉన్నప్పుడు నేను రేపు, వాటిని подзвоню."
18,1311,You should sleep.,Sinun by měl nukkua. | Sinun na parasta nukkua. | Teidän by měl nukkua.,You should sleep. | You should sleep better.,Tu devrais dormir.,Měl bys spát. | Měls spát.,ඔයාට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා. අපිට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා.,Dovresti dormire. | Dovreste dormire. | Dovrebbe dormire. | Tu dovresti dormire. | Lei dovrebbe dormire. | Voi dovreste dormire.,眠った方がいいよ. | 寝た方がいいよ.,You should go to sleep now.,Powinieneś spać.,ඔයා නිදාගන්න ඕන. ඔයා නිදාගන්න ඕන.,ඔයා හොදට නිදාගන්න.,Deberías dormir.,യൂമാൻ  gerek.,Tobi краще поспати. | Tobi треба поспати.
19,1312,I'm going to go.,Já olen lähdössä. | Já aion jít. | Já menen. | Mä meen.,I'm going.,Je vais y aller.,Ich gehe.,Já אלך. | Já jdu jít. | Já jdu ven.,Sto per andare. | Ho intenzione di andare. | Andrò. | Io andrò.,| あとで行くね。,මම යනවා.,Zamierzam iść (ang.).,| Eu irei. | Eu irei.,Já jdu. | Já собираюсь jít. | Já собираюсь jít. | Já собираюсь pojít. | Já собираюсь pojít.,Voy ایک ir.,Gideceğim. | Gidiyorum.,Я поду. | Я уже йду. | Я буду йти. | Я збираюсь йти.
20,1313,I told them to send me another ticket.,"Řekl jsem jim, že by mi poslali druhou značku. | Já jsem jim řekl, aby mi poslali druhou značku.",I told them to send me a new ticket. | I told them to send me another ticket.,Je leur ai dit de m'envoyer un autre billet. | Je leur ai dit de m'envoyer un autre billet.,"Ich sagte ihnen, sie sollen mir ein neues Ticket schicken. | Ich sagte ihnen, sie sollen mir eine neue Fahrkarte schicken.","Řekl jsem jim, aby mi poslali jiný lístek.",”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“,I asked them to send me another ticket.,I ask them to send me a ticket again.,"Chtěl jsem jim poslat další lístek. Chtěl jsem jim poslat další lístek. Chtěl jsem jim poslat další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek.",| Disse-lhes que me mandassem outro boleto.,ഞാന് പറഞ്ഞു им послать мне noch один ടിക്കറ്റ്.,Les dije que me mandaran otro boleto. | Les dije que me enviaran otro ticket.,Onlara bana bir bilet daha göndermelerini söyledim. | Onlara bana başka bir bilet göndermelerini söyledim.,මම එයාලට කිව්වා මට තව එකක් දෙන්න කියලා.
21,1316,I once wanted to be an astrophysicist.,Někdy jsem chtěl být astrofyysikko.,I used to want to be an astrophysicist.,Il fut un temps où jsem chtěl být astrofysicien.,Ich wollte mal Astrophysiker werden.,"All'epoca, volevo essere un astrofisico.",Una volta volevo diventare un astrofisico.,"I was a period,天体物理学者になりたかった.",I once thought過當個宇宙物理學家.,Kiedyś chciałem być astrofizykiem.,Uma vez eu quis ser um astrofísico.,Когда-то я хотел быть астрофизиком. | Когда-то я хотел стать астрофизиком.,Una vez quise ser astrofísico.,Bir zamanlar bir astrophysicçi olmak istedim.,Колись я хотів быть астрофізиком.
22,1317,I never liked biology.,En koskaan pitänyt biologiasta.,I never loved biology.,Nikdy jsem biologii nelíbil.,Ich mochte Biologie noch nie.,Nikdy jsem neměla ráda biologii.,Non mi è mai piaciuta la biologia. | A me non è mai piaciuta la biologia.,I never liked biology. | I never liked biology.,I never liked biology.,Nigdy nie lubiłem biologii.,Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii.,Я никогда не любил биологию. | Я никогда не любил биологию. | Я никогда не любила биологию. | Мне никогда не нравилась биология.,Nunca me gustó la biología.,Ben biyolojiyi hiç sevmedim.,Я никогда не подобалася біология. | Я никогда не любил биология. | Я никогда не подобалась біология.
23,1318,The last person I told my idea to thought I was nuts.,"Последний человек, которому я рассказал свою идею, считал, что olen päästäni sekaisin.",The previous person I talked to thought I was crazy.,"Poslední osoba, se kterou jsem vyprávěl o své myšlence, si myslela, že jsem cinglé.","Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.","Poslední člověk, který jsem mu vyprávěl svůj nápad, si myslel, že jsem zasranej.",L'ultima persona a cui ho raccontato la mia idea ha pensato che io fossi pazzo. | L'ultima persona a cui ho raccontato la mia idea ha pensato che io fossi pazzo.,"It seems that I finally thought that the person who told me his thoughts, me気違いだ.",I think I'm crazy.,"Ostatnia osoba, której opowiedziałem o swoim pomyśle uznała mnie za wariata.",A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca.,"Последний человек, которому я рассказал свою идею, решил, что я сумасшедший.",La última persona a la que le conté mi idea pensó que yo estaba loco.,Fikrimi söylediğim පුතා kişi deli olduğumu හිතුවා.,"The last person I told about my idea, decided, что я божевільний. | The last person I told about my idea, вирішила, что я божевільна."
24,1320,It is unfortunately true.,"Pitää paikkansa, ikävä kyllä. | Se on valitettavasti totta.","Unfortunately, it's true.",To je bohužel pravda.,Unglücklicherweise stimmt es. | Unglücklicherweise ist es wahr. | Das stimmt leider.,^ a b c d e f g a g h o l l o n o n o n | オリジナルよりアーカイブ・ドキュメンタリー・ドキュメンタリー,Je to bohužel pravda. | Je to bohužel pravda. | Je to bohužel pravda. | Je to bohužel pravda.,残念ながらそれは本当です。,"Škoda, že je to opravdu.",අවාසනාවට ඇත්තට.,"Je to pravda, bohužel. | Bohužel je to pravda.","К несчастью, это правда.","दुर्भाग्यवश यह सच है। | दुर्भाग्यवश, यह सच है। | दुर्भाग्यवश, यह सच है।",| Maalesef doğru. | Maalesef doğru.,"На жаль, це правда. | На жаль, це так. | Це, на жаль, правда."
25,1322,Most people think I'm crazy.,"Většina lidí mě považuje za blázna. Většina lidí si myslí, že jsem blázen. Většina lidí mě považuje za blázna. Většina lidí si myslí, že jsem blázen.",Most people think I'm crazy.,La plupart des gens pensent que je suis fou. | La plupart des gens pensent que je suis cinglé.,"Die meisten Leute denken, ich sei verrückt.","Většina lidí si myslí, že jsem blázen. | Většina lidí si myslí, že jsem blázen.","Většina lidí si myslí, že jsem blázen.",Most people think I'm mistaken.,Most people think I'm crazy.,"Most people sądzi, że jestem szalony. | Most people sądzi, że zwariowałem.","Většina lidí si myslí, že jsem šílená. | Většina lidí si myslí, že jsem šílená. | Mnozí lidé si myslí, že jsem šílená. | Mnozí lidé si myslí, že jsem šílená.","Большинство людей думают, что я сумасшедший. | Большинство людей полагают, что я сумасшедший. | Большинство людей считают меня сумасшедшим.","Většina lidí si myslí, že jsem v pořádku. | Většina lidí si myslí, že jsem v pořádku. | Většina lidí si myslí, že jsem v pořádku. | Většina lidí si myslí, že jsem v pořádku. | Většina lidí si myslí, že jsem v pořádku. | Většina lidí si myslí, že jsem v pořádku.",ගොඩක් kişi deli olduğumu düşünür.,| Most people вважає мене божевільною. | Most people вважає мене божевільною.
