,english,translated_from_dutch
194,"Tomorrow, he will land on the moon.",Tomorrow he'll land on the moon. | Tomorrow he'll land on the moon.
195,I don't speak Japanese.,I don't speak Japanese.
197,Nobody understands me.,Nobody understands me.
198,I learned to live without her.,I've learned to live without her. | I've learned to live without her.
200,I have too many things on my mind these days.,I have too many things in my head right now.
201,I just wanted to check my email.,I just wanted to check my email.
209,It would take me too much time to explain to you why it's not going to work.,It would take me too long to explain to you why that's not going to work.
214,It can't be!,That can't be true!
217,Would you like something to drink?,Do you want to drink something? | Do you want to drink something? | Do you want to drink something?
234,Please don't cry.,Please don't cry.
243,Allen is a poet.,Everybody is a poet.
248,"If you see a mistake, then please correct it.","If you see an error, please fix it. | If you see an error, please fix it."
253,Why don't we go home?,Why don't we go home?
257,One million people lost their lives in the war.,A million people died in the war.
270,Did you miss me?,Missed me? | Missed me?
272,Thank you very much!,Thank you very much! | Thank you very much! | Thank you very much! | Thank you very much!
275,It's a surprise.,It's a surprise.
276,That's a good idea!,That's a good idea!
285,They say love is blind.,It's said that love is blind.
296,Do you speak Italian?,Do you speak Italian? Do you speak Italian? Do you speak Italian?
299,May I ask a question?,Can I ask a question?
307,You'll forget about me someday.,One day you'll forget me.
308,That is rather unexpected.,That's pretty unexpected.
311,I couldn't have done it without you. Thank you.,"Without you, I couldn't have done it. Thank you."
319,Do whatever he tells you.,Do whatever he tells you to do. | Do whatever he tells you to do.
323,May I talk to Ms. Brown?,Can I talk to Mrs. Brown?
326,What do you want?,What do you want? What do you want? What do you want? What do you want?
333,I have a dream.,I have a dream.
347,You look stupid.,You look stupid.
349,My name is Jack.,My name is Jack. | My name is Jack.
350,I like it very much.,I love that.
352,How do you say that in Italian?,How do you say that in Italian? | How do you say that in Italian? | How do they say that in Italian?
354,Is it far from here?,Is it far from here? Is it far from here?
355,These things aren't mine!,These things aren't my stuff!
357,Would you like to dance with me?,Do you want to dance with me? Do you want to dance with me?
359,It's not my fault!,It's not my fault!
363,Where are the showers?,Where are the showers?
366,I have lost my wallet.,I lost my wallet. | I lost my wallet.
376,Thanks to you I've lost my appetite.,It's your fault I've lost my appetite. | It's your fault I've lost my appetite. | It's your fault I've lost my appetite.
386,It is very hot today.,It's very warm today.
394,Look at me when I talk to you!,Watch me when I talk to you! | Watch me when I talk to you
401,I'm tired.,I'm tired.
404,When do we arrive?,When are we going to be there?
405,"The check, please.","The bill, please. | The bill, please."
407,I have a headache.,I've got headaches. | I've got cough.
411,How are you? Did you have a good trip?,How are you? Have you had a good trip? | How are you? Have you had a good trip?
412,I don't feel well.,I don't feel good. | I don't feel good.
413,Call the police!,Call the police! | Call the police!
414,It's too expensive!,That's too expensive!
418,Merry Christmas!,Merry Christmas! | Merry Christmas.
439,"The past can only be known, not changed. The future can only be changed, not known.","The past can only be known, not changed. The future can only be changed, not known. | The past can be known, not changed. The future can be changed, not known."
449,I'm starving!,I'm going to starve!
460,I'm undressing.,I got dressed.
466,The wind calmed down.,The wind was down.
471,"Who searches, finds.","Whoever looks, will find. | Whoever looks, will find. | Whoever looks, will find. | Whoever looks, will find."
472,Rome wasn't built in a day.,Rome wasn't built in one day.
478,That was the best day of my life.,That was the most beautiful day of my life.
479,I don't understand German.,I didn't know German.
480,I made my decision.,I made my decision. | I made my decision.
481,I give you my word.,I give you my word. | I give you my word. | I promise. | I promise you.
507,It's cold.,It's cold.
508,I'm thirsty.,I'm hungry. | I want to drink.
522,Life is beautiful.,Life is beautiful. | Life is beautiful!
554,It is raining.,It's raining.
568,I went to the zoo yesterday.,I went to the zoo yesterday. | I went to the zoo yesterday.
713,I dreamt about you.,I dreamt of you.
715,I won't lose!,I won't lose!
731,I'm almost done.,I'm almost done.
752,It is never too late to learn.,It's never too late to learn.
757,What are you talking about?,What are you talking about? What are you talking about? What are you talking about? What are you talking about? What do you mean?
767,"Thank you. ""You're welcome.""","Thank you. ""Good job."" | Thank you. ""No thank you."" | Thank you. ""Good job."""
769,Winter is my favorite season.,Winter is my favorite season. | Winter is my favorite season.
786,He disappeared without a trace.,He left with the northern zone. | He disappeared without leaving a trace. | He disappeared without a trace. | He disappeared without any trace.
801,She was wearing a black hat.,She was wearing a black hat.
824,Where is the bathroom?,Where's the toilet? | Where's the toilet? | Where's the bathroom?
856,Where are you?,Where are you? | Where are you?
862,No way!,It's not true! | It can't be! | No problem!
902,Don't forget about us!,Don't forget us!
934,I need your advice.,I need your advice. I need your advice. I need your advice.
987,Whose is this?,Whose is this?
995,Do you like rap?,Do you like rap?
1003,I don't know him.,I don't know him.
1006,It's not important.,It doesn't matter. | It doesn't matter.
1007,I don't care.,I don't care. I don't care. I don't care. I don't care. I don't care. I don't care. I don't care. I'm going to be a mess. I don't care. I don't care. I don't care.
1012,Fifty-two per cent of British women prefer chocolate to sex.,Twenty-five percent of British women prefer chocolate over sex.
1026,Better late than never.,Better late than never. | Better late than never! | Better late to act than never.
1027,"Like father, like son.","Like a father, like a son. | Like a father, like a son. | The apple doesn't fall far from the tree."
1030,All cats are grey in the dark.,"In the dark, all cats are gray."
1032,No news is good news.,No news is good news. No message is good news.
1048,He's a good person.,He's a good guy. | He's a good guy.
1050,Enjoy your meal!,Eat delicious!
1057,Make yourself at home.,Just act like you're at home.
1068,I don't want it anymore.,I don't want it anymore.
1080,I thought it was true.,I thought it was true.
1088,I went to drink a beer with friends.,I went to have a beer with friends.
1091,They quarreled.,They were arguing.
1092,I ate caviar.,I ate caviar.
1097,How much is it?,How much does it cost? | How much is it?
1101,Did you leave a tip?,Did you give a foo?
1102,Don't forget the ticket.,Don't forget the card.
1107,I want you to tell me the truth.,I want you to tell me the truth. I want you to tell me the truth.
1115,I talked to friends.,I talked to friends.
1122,Tell me what happened.,Tell me what happened.
1127,It's more difficult than you think.,It's harder than you think. | It's harder than you think. | It's harder than you think.
1130,I don't agree with him.,I don't agree with him.
1150,I'd rather be a bird than a fish.,I would rather be a bird than a fish.
1169,Tell me about it!,Tell me about it!
1176,I have to take medicine.,I have to use medication.
1182,I work even on Sunday.,I even work on Sundays.
1184,It happened a long time ago.,It happened a long time ago.
1185,Where have you been?,Where were you? Where were you? Where have you been? Where have you been?
1188,It's been snowing all night.,It's been screaming all night.
1198,"He was born on July 28th, 1888.","He was born on July 28, 1888."
1207,She is mad at me.,She's mad at me.
1249,You can rely on him.,You can count on him. | You can trust him.
1260,Did you meet her?,Did you meet her?
1333,Can you ride a horse?,Can you ride a horse? | Can you ride a horse? | Can you ride a horse?
1354,Do you live here?,Are you here? | Are you here? | Are you here to win?
1376,Who are you waiting for?,Who are you waiting for?
1384,I'm proud of you.,I'm proud of you. | I'm proud of you. | I'm proud of you. | I'm proud of you.
1389,You look bored.,Looks bored.
1460,You work hard.,You work hard.
1477,Are you writing a letter?,Does he write a letter?
1487,Can you drive a car?,Can you drive? | Can you drive?
1490,You should apologize.,You should apologize.
1580,Why were you absent yesterday?,Why were you absent yesterday?
1584,You must do your best.,You've got to do your best.
1591,You look pale today.,Ge looks like a bleach today. | You look like a bleach today. | You see some bleach today.
1614,You have to go.,You have to go.
1616,You'd better not go.,You better not go. | You better not go.
1619,Are you happy?,Are you happy? Are you happy? Are you happy? Are you happy? Are you happy? Are you happy?
1670,You broke the rule.,You've broken the rule.
1678,You look pale.,You see what it looks like.
1699,Will you stay at home?,Staying home like that? | Staying home?
1708,What are you looking for?,What are you looking for? What are you looking for? What are you looking for? What are you looking for? What are you doing?
1709,What are you looking at?,What are you looking at? | What are you looking at? | What are you looking at?
1711,What do you intend to do?,What do you plan to do? | What do you plan to do? | What did you plan to do?
1714,What do you want to be?,What do you want to be?
1715,What will you have?,What are you going to take?
1718,What woke you up?,What did you wake up? What did you wake up? What did you wake up? What did you wake up? What did you wake up? What did you wake up? What did you wake up?
1731,You dropped your pencil.,You dropped your pencil.
1736,Do you study English?,Do you study English?
1744,Can you swim?,Can you swim?
1859,Can you speak French?,Can you speak French? | Can you speak French? | Can you speak French?
1877,Do you want anything?,Do you want something? | Do you want something? | Do you want something?
1899,You look very tired.,You look very tired. | You look very tired. | You look very tired.
1912,How about you?,And you? | And you? | And you?
1913,What are you doing?,What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing?
1941,You have many books.,You have lots of books. | You have lots of books. | You have lots of books.
2001,Did you watch the game?,Did you see the game?
2116,You can study here.,You can study here. | You can study here. | You can study here.
2144,Aren't you happy?,Isn't she happy? | Isn't she happy?
2168,What time do you usually get up?,How late do you usually get up? | How late do you usually get up?
2328,Compare your answer with Tom's.,Compare your answer to Tom's answer.
2331,Your answer is right.,Your answer is right. | Your answer is good. | Your answer is right.
2351,May I use your phone?,Can I use your phone?
2375,It's none of your business.,It's not your business. | It's not your business. | It has nothing to do with you.
2376,Mind your own business!,Do your own business!
2392,Go back to your seat.,Go back to your seat.
2440,Write your address here.,Write down your address here.
2447,I received your letter yesterday.,I got your letter yesterday. | I got your letter yesterday.
2450,Are your hands clean?,Are your hands clean?
2472,Your bicycle is similar to mine.,Your bike looks like mine.
2474,Is your watch correct?,Does your watch work? | Does your watch work?
2480,Where are your things?,Where's your stuff? Where's your stuff? Where's your stuff? Where's your stuff?
2516,Where do you come from?,Where do you come from? | Where do you come from?
2555,Make your choice.,Make your choice. | Make your choice. | Make your choice.
2562,I know what you mean.,I know what you're saying. | I know what you're saying.
2643,Where is your school?,Where's your school?
2703,You're on the right track.,You're on the right track. You're on the right track. You're on the right track. You're on the right track. You're doing fine.
2705,Your time is up.,Your time is up. | Your time is up.
2713,Your pen is better than mine.,Your pen is better than mine.
2715,Your plan sounds great.,Your plan sounds great. | Your plan sounds great.
2749,Your cake is delicious.,Your cake is delicious.
2754,Here is your bag.,Here's your bag.
2774,I believe you.,I believe you.
2776,I don't agree with you.,I disagree with you. | I disagree with you.
2880,You deserve the prize.,You deserve the prize. | You deserve the prize. | You deserve the prize.
2884,Green suits you.,Green is good for you.
3032,I want you.,I want you.
3055,I need you.,I need you. | I need you. | I need you.
3082,Show me what you bought.,Show me what you bought. | Show me what you bought
3110,I guess you are right.,I suspect you're right.
3143,I love you more than you love me.,I love you more than you love me.
3185,I know you are rich.,I know you're rich. | I know you're very rich. | I know you're rich. | I know you're rich.
3310,I don't blame you.,I'm not blaming you for that.
3361,You don't understand.,You don't understand. | You don't understand. | You don't understand.
3552,The sky is full of stars.,The sky is covered with stars.
3619,Stop grumbling.,Stop screaming.
3758,Money is the root of all evil.,Money is the root of all evil.
3781,I wish I were rich.,I wish I was rich. | I wish I was rich. | I wish I was rich.
3870,Money talks.,Money rules the world.
4377,Don't be afraid.,Don't be afraid.
4540,"Fish, please.","Fish, please."
4770,Call an ambulance.,Call the ambulance. | Call the ambulance.
4896,Haste makes waste.,Hard speed is rarely good.
4900,Please hurry.,"Shoot, please. | Shoot, please. | Come on, please!"
5007,I haven't seen him for a long time.,I haven't seen him for a long time.
5224,All that glitters is not gold.,It's not all gold that shines. | It's not all gold that shines.
5235,You are beautiful.,Ge zijt beautiful. | You are beautiful. | You are beautiful. | You are beautiful. | You are beautiful.
5418,I'm not feeling well.,I don't feel good. | I don't feel good.
5471,Take it easy.,Calm down. | Hurry up. | Hurry up. | Relax!
5504,Are you crazy?,Are you crazy? | Are you not very wise?
5514,Never mind.,It doesn't matter. | It doesn't matter. | Let go! | Let go. | Let go sit.
5520,Forget it.,Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!
5526,I'm exhausted.,I'm fed up.
5823,Look out!,Look out! | Be careful! | Look out! | Adapted! | Be careful. | Attention! | Be careful now! | Be careful! | Be careful. | Be careful! | Be careful! | Be careful!
6087,I want something sweet.,I want something sweet.
6174,"Check, please.",Please check. | Please check. | Please check the account. | Please check the account.
6197,I feel cold.,I'm cold.
6326,It's a piece of cake.,That's a crowd of children. | That's a one-cent whistle. | That's a one-cent whistle.
6333,Have fun.,Have fun! Have fun! Have fun!
6711,Do you remember?,You know?
6961,I want to go abroad.,I want to go abroad.
7080,Open up.,Open it up.
7136,All aboard!,All on board!
7137,"Good morning, everybody.",Good morning everybody. | Good morning everybody! | Good morning everybody.
8687,Flowers bloom.,Flowers bloom.
8818,There is no smoke without fire.,Where there is smoke is fire. | There is no smoke without fire.
8859,Do you like singing?,Would you like to sing?
8883,I'm free.,I'm free.
9000,How is your family?,How's your family? | How's your family?
9339,Who do you think you are?,Who do you think you are?
9511,Nothing happened.,Nothing happened. | Nothing happened.
9546,Why didn't you come?,Why didn't you come | Why didn't you come?
9561,What did you buy?,What did you buy? | What did you buy? | What did you buy?
9563,What are you reading?,What are you reading? What are you reading? What are you reading?
9583,What are you thinking about?,What do you think?
9588,What do you mean?,What do you mean? | Why? | What do you want to say? | What do you mean?
9624,What do you want to do?,What do you want to do?
9629,What would you like to drink?,What do you want to drink? | What do you want to drink?
9732,What a pity!,What a pity! | What a pity! | That's a pity.
9795,Why me?,Why me?
9833,What are you going to do?,What are you going to do?
9858,What's new?,What's New? | What's New?
9915,Can I help you?,Can I help you? Can I help you? Can I help you?
9926,What do you want me to do?,What do you want me to do?
9976,What's up?,What's going on? | What's going on? | What's going on? | Is everything okay?
10031,Would you like anything to eat?,Would you like something to eat? | Would you like something to eat?
10101,Anything new?,Is there anything new? | Is there anything new?
10274,How should I know?,How do I know? | I know a lot!
10279,I'm a free man.,I'm a free man. I'm a free man. I'm a free man.
10284,I'm a hero.,I'm a hero.
10301,Don't worry about me.,Don't worry about me. | Don't worry about me. | Just don't worry about me.
10307,Leave me alone!,Leave me alone! | Leave me alone! | Leave me alone!
10311,Are you talking to me?,Are you talking to me? | Are you talking to me?
10406,The king abused his power.,The king abused his power.
10449,Did you buy a round-trip ticket?,Did you buy a return ticket?
10682,Action!,Act!
10706,Draw a circle.,Draw a circle.
10903,Can you speak English?,Do you speak English? | Do you speak English?
10995,English is an international language.,English is an international language.
11099,I wish I could swim.,I wanted to be able to swim.
11336,You are lying.,You are lying. | You are lying!
12245,Leave me alone.,Leave me alone!
12400,He didn't say a word.,He didn't say a word. | He didn't say anything.
12586,What did he say?,What did he say? | What did he say?
12698,Wrong.,Wrong. | Wrong! | Wrong.
12727,My stomach hurts.,My stomach hurts. | I've got a stomachache.
13148,Not bad.,Not bad for long. | Not bad.
13494,I like pizza very much.,I really love pizza. | I really love pizza.
13554,I am at home.,I'm home.
14079,Linda loves chocolate.,Linda loves chocolate.
14090,I am eating an apple.,I'm eating an apple.
14108,The apple fell from the tree.,The apple fell from the tree.
14125,Lincoln died in 1865.,Lincoln died in 1865. | Lincoln died in 1865.
14219,I'm listening to the radio.,I listen to the radio.
14232,Turn on the radio.,Turn on the radio.
14311,The lion is the king of the jungle.,The lion is the king of the forest.
14382,Listen carefully.,Listen to me carefully.
14483,School starts in September in Europe.,"In Europe, schools start in September."
14506,Sweet dreams!,Have sweet dreams! Have sweet dreams! Have sweet dreams!
14536,Have a nice day.,Have a nice day! | Have a nice day!
14575,Drive slowly.,Ride slowly. | Ride slowly!
14751,Hi! How are you?,"Hey, how are you?"
14824,Louder.,Louder. | Louder.
14826,"Louder, please.",Quiet please. Quiet please. Quiet please. Quiet please. Quiet please.
14958,Definitely!,Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! Sure! But sure! Sure! Yeah.
15238,I wouldn't do that if I were you.,"I wouldn't do that if I were you. | If I were you, I wouldn't do that."
15358,Are you there?,Are you there?
15690,Time is up.,The time is up.
15703,We have no time.,We don't have time.
15728,I have to leave now.,I have to go now.
15737,"No, thank you.","No, thanks. | No, thank you."
15814,"Could you repeat that, please?","Can you repeat that? | Can you repeat that, please?"
15855,Please show me another one.,Can you show me another one?
16000,It's already seven.,It's been seven hours. | It's been seven hours.
16038,Try again.,Try it again. | Try it again.
16201,Mary is tall.,Maria is big.
16209,Mary understands Chinese.,Maria can speak Chinese.
16216,Mary ran.,Maria was running. | Maria was running.
16371,You're disgusting!,You're disgusting! | What are you disgusting!
16803,I agree completely.,I totally agree. | I totally agree. | I totally agree.
16844,I don't know yet.,I don't know yet.
16903,See you again.,Goodbye! | Bye. | Bye!
16937,See you soon!,See you soon! | See you soon! | See you soon! | See you soon!
17093,A friend in need is a friend indeed.,"When they're in need, they get to know their friends."
17588,Take a taxi to the hotel.,Take a taxi to the hotel.
17763,I don't like coffee.,I don't like coffee.
17933,I feel homesick.,I've got homesickness. | I've got homesickness.
17991,Do you have a pen?,Do you have a pen? | Do you have a pen? | Do you have a pen?
18223,Do your best.,Do your best.
18989,It's brand new.,It's brand new. | It's brand new. | It's brand new.
19015,"Two beers, please.","Two beers, please."
19153,Do you like playing volleyball?,Do you like volleyball? Do you like volleyball? Do you like volleyball?
19253,Who wrote Hamlet?,Who wrote Hamlet?
19520,Let's take a bus.,Let's get a bus.
19601,Fill the bucket with water.,Fill the bucket with water.
19616,Don't talk nonsense!,Don't say nonsense!
19708,Here are your keys.,Here's your keys.
20167,What?,What? | What do you mean? | What do you say? | Pardon? | How come? | Say it again? | Please?
20174,How cute!,How cute! | How cute!
20359,Everything is ready.,Everything is ready. | Everything is ready.
20396,Why is he here?,Why is he here?
20451,Why are you crying?,Why are you crying? Why are you crying? Why are you crying?
20459,Why did you quit?,Why did you quit? | Why did you stop?
20465,Why?,And why is that?
21008,Tom goes to school on foot.,Tom goes to school on foot.
21012,Tom likes to knit.,Tom likes to knit. | Tom likes to knit.
21025,Tom frowned.,Tom was smiling.
21049,Tom is interested in mountaineering.,Tom's interested in mountain sports.
21073,Tom is a student.,Tom's a student.
21078,Tom is interested in mathematics.,Tom's interested in mathematics.
21093,Tom drove the car.,Tom drove the car.
21115,Tom gave me a pen.,Tom gave me a pen.
21156,Tom is absent.,Tom's away.
21164,Tom looks pale.,Tom looks bleeding out.
21178,Tom likes swimming.,Tom loves to swim.
21191,Tom walks slowly.,Tom's going slow.
21217,Does Tom like tomatoes?,Does Tom like tomatoes?
21224,Where was Tom born?,Where was Tom born?
21225,Tom finally gave up smoking.,Tom finally quit smoking.
21233,Tom likes cheese.,Tom loves cheese.
21355,Tom and I are friends.,Tom and I are friends.
21376,Aren't you Tom?,Don't you look like Tom? | Don't you look like Tom?
21420,"How are you, Tom?","How are you, Tom?"
21493,Where does it hurt?,Where does it hurt? | Where did you hurt? | Where is the pain?
21787,It was really cheap.,It was very cheap.
21838,It doesn't matter.,It doesn't matter. | It doesn't matter. | It doesn't matter.
21871,Which book is yours?,What book is yours? | What book is yours?
21919,You may choose whichever you want.,You can choose what you want. | You can choose what you want. | You can choose what you want. | You can choose what you want.
22065,Where do you work?,Where do you work?
22275,I'm sorry.,I'm sorry. | I'm sorry. | Excuse me. | I'm sorry.
22280,I don't get it.,I don't understand. | I don't understand. | I don't understand.
22349,Please drive carefully.,Try to drive safely.
22414,Please make yourself comfortable.,Make it easy for yourself.
22420,"Sit down, please.",Please sit down.
22633,Please forgive me.,"Forgive me, please."
22726,How are you doing?,How's it going? | How's it going with you? | How's it going? | How's it going with you? | How's it going with you?
22731,Where's the restroom?,Where's the toilet?
22751,German is not an easy language.,"Now, German is not an easy language."
22919,Turn off the TV.,Turn off the TV. | Turn off the TV.
22935,I watch television.,I watch TV.
23362,There is an orange on the table.,There's an apple on the table.
23726,Let me see it.,Let me show you.
23755,Step aside.,Step aside. | Step aside.
24039,No one can help me.,No one can help me.
24119,Who cares?,What does it matter? Who cares? Who cares?
24301,Stop smoking.,Stop smoking.
24829,Most Americans like hamburgers.,Most Americans love hamburgers.
25162,I didn't mean it.,I didn't mean it.
25178,Don't say that.,Don't say that.
25310,Turn it off.,Turn it off. | Turn it off.
25413,"Give it to me, please.","Give it to me, please."
25435,Let me see that.,Let me see that. | Let me see that.
25615,It's about the size of an egg.,It's about the size of an egg. It's about the size of an egg.
25800,Whose idea was it?,Whose idea was it?
25903,Is it yours?,Is it yours? | Is it yours? | Is it yours?
26116,I put it in the drawer.,I do it in the lawn.
26373,What is it?,What is that? | What is it? | What should you do? | What do you want? | What is there?
26708,What does it mean?,What does it mean?
27366,Give me the book.,Give me the book.
27393,Where is the book?,Where is the book?
30161,The car is ready.,The car is ready.
31360,What does this word mean?,What does this word mean?
31515,The dog is dying.,The dog's dying.
33122,Open the bottle.,Open the bottle.
34300,I'm not at all tired.,I'm not tired at all. | I'm not tired at all.
34363,I have a cough.,I have a hot tub.
34690,"All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses."
35005,Terrific!,Fantastic! | Cool! | Brilliant! | Wonderful! | Good! | That's great! | Well done! | What a great! | So good! | Good. | Great! | That's great! | Excellent! | Very good! | Wonderful!
35010,Wow!,That's not crazy!
35060,I'm coming.,I'm coming. | I'm coming.
36366,Study hard.,Study hard.
37073,Here comes the bus.,Here comes the bus.
37093,Come along.,Come with me.
37187,Ladies first.,Ladies first. | Ladies for everything! | Ladies go for it.
37308,I wish you good luck.,I wish you luck. | I wish you luck.
37430,"Hello, Tom.","Hello, Tom."
37679,It's true.,It's true.
37886,Whose books are these?,Who are these books? | Who are these books?
38220,This is their house.,This is their house.
38293,Whose room is this?,Is this Vienna's room?
38298,Whose umbrella is this?,Is this Vienna's parasol?
38300,Whose pencil is this?,This is Vienna's pencil?
38312,This is too big.,This is too big.
38503,This is a dog.,This is a dog.
38513,Is this your bicycle?,Is this your bike? | Is this your bike?
38528,I don't like this.,I don't like this. | I don't like this.
38732,Is this your umbrella?,Is this your umbrella? | Is this your umbrella?
39336,What do you call this vegetable in English?,What is the name of this vegetable in English?
39580,This book is new.,This book is new.
40569,I don't understand this word.,I don't understand this word.
41714,Don't throw away this magazine.,Don't throw away this magazine.
42988,This program cannot be run in DOS mode.,This program cannot be run in DOS mode.
43098,Does this bus go to the beach?,Is this bus going to the beach?
43174,The knife is not sharp.,The knife is not sharp.
43864,This is my daughter.,This is my daughter.
43988,This is a hospital.,Here's a hospital. | This is a hospital.
44219,Please wait here.,"Wait here, please. | Wait here, please."
44415,Where is the nearest subway station?,Where's the nearest subway station?
44885,Nobody was injured.,No one was hurt. | No one was hurt. | No one was hurt. | No one was hurt.
45368,Today is Sunday.,It's Sunday today. | It's Sunday today.
45458,Do you believe in ghosts?,Do you believe in talking? | Do you believe in minds?
45461,You make me happy.,You make me happy.
45464,You look tired.,You look tired. | You look tired.
45531,I caught three fish yesterday.,I caught three fish yesterday. | I caught three fish yesterday.
45558,A fox is a wild animal.,A fowl is a wild animal.
45836,It's pretty cold.,It's pretty cold.
45851,Canada is larger than Japan.,Canada is larger than Japan.
46147,Is your mother at home?,Is your mother home? | Is your mother home? | Is your mother home?
46407,Your dog is very big.,Your dog's very big.
46423,Take care of yourself.,Take care of yourself. | Keep your seat. | You're doing okay.
46488,You are drunk!,You're drunk!
46621,Behave yourself.,Behave.
46626,Watch yourself.,Be careful. Be careful. Be careful. Be careful. Be careful. Be careful. Be careful. Be careful. Be careful.
46634,Sit wherever you like.,Sit wherever you want to. | Sit wherever you want to.
46736,I want money.,I want money.
46799,Welcome home.,Welcome home.
46985,"Good morning, Mike.","Good morning, Mike."
47531,My family goes skiing every winter.,My family goes skiing every winter.
47918,It's too late now.,It's too late now.
47926,I am coming.,I'm coming. | I'm coming.
48043,When did you get back from London?,When did you come back from London?
48608,Jesus wept.,Jesus cried.
48699,Happy Easter!,True Match!
48916,What's that?,What is that?
49048,Is that a bat?,Is that a bat?
49050,That is mine.,That's mine.
49262,Alice smiled.,Alice smiled.
50014,Do you know if he has a girlfriend?,Do you know if he has a girlfriend?
50417,The house is haunted.,It's shivering in that house. | It's shivering in the house.
50430,Look at that smoke.,You have to see that smoke.
50752,Are you free tomorrow?,Are you free tomorrow? | Are you free tomorrow? | Are you free tomorrow?
50779,I admire you.,I admire you.
50789,Are you busy?,Are you busy? | Are you busy?
50795,Are you studying?,Are you studying? | Are you studying? | Are you studying?
50871,Do you know where he lives?,Do you know where he lives? Do you know where he lives? Do you know where he lives? Do you know where he lives?
51020,Do you get along with your boss?,Do you have a good attitude with your boss? | Can you shoot well with your boss?
