,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
25,1308,I miss you.,Tu me manques. | Vous me manquez.,मैं तुम्हें भूलता हूँ. मैं आप को भूलता हूँ. मैं आप को भूलता हूँ. तुम मुझे भूल जाते हो.,මම ඔයාට ආදරෙයි. මම ඔයාට ආදරෙයි.,例如: mi manchi. | Mi manca. | Mi missede. | Tu mi manchi. | Lei mi manca. | Voi mi missede. | A me manchi. | A me manca. | A me missede. | A me missede.,会えなくて淋しい. | 君がいなくて寂しいよ. | あなたがいなくて淋しいです.,I miss you. | I miss you. | I miss you. | I miss you.,Tęsknię za Tobą. | Brakuje mi cię. | Tęsknię za tobą.,Sinto sua falta. | Estou com saudades de você. | Saudades. | Sinto a tua falta. | Tenho saudades tuas. | Saudade de você!
26,1309,I'll call them tomorrow when I come back.,මම ආපහු එනකොට මම කතා කරන්නම්.,"ഞാന് നാളെ അവരെ വിളിക്കും, ഞാന് തിരിച്ചു വരുമ്പോള്.",| 明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日。,Li chiamerò domani quando ritorno. | Le chiamerò domani quando ritorno.,I'll call you tomorrow.,I will contact them when I come back tomorrow.,Zadzwonię do nich jutro kiedy wrócę.,| Ligarei para eles mañana quando eu voltar. | リガリーは明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日、明日。
28,1311,You should sleep.,Tu devrais dormir.,Měl bys spát. | Měls spát.,ඔයාට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා. අපිට නිදාගන්න වෙනවා. ඔයාට නිදාගන්න වෙනවා.,Dovresti dormire. | Dovreste dormire. | Dovrebbe dormire. | Tu dovresti dormire. | Lei dovrebbe dormire. | Voi dovreste dormire.,眠った方がいいよ. | 寝た方がいいよ.,You should go to sleep now.,Powinieneś spać.,ඔයා නිදාගන්න ඕන. ඔයා නිදාගන්න ඕන.
29,1312,I'm going to go.,Je vais y aller.,Ich gehe.,Já אלך. | Já jdu jít. | Já jdu ven.,Sto per andare. | Ho intenzione di andare. | Andrò. | Io andrò.,| あとで行くね。,මම යනවා.,Zamierzam iść (ang.).,| Eu irei. | Eu irei.
30,1313,I told them to send me another ticket.,Je leur ai dit de m'envoyer un autre billet. | Je leur ai dit de m'envoyer un autre billet.,"Ich sagte ihnen, sie sollen mir ein neues Ticket schicken. | Ich sagte ihnen, sie sollen mir eine neue Fahrkarte schicken.","Řekl jsem jim, aby mi poslali jiný lístek.",”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“,I asked them to send me another ticket.,I ask them to send me a ticket again.,"Chtěl jsem jim poslat další lístek. Chtěl jsem jim poslat další lístek. Chtěl jsem jim poslat další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek. Chtěl jsem jim říct, aby mi dali další lístek.",| Disse-lhes que me mandassem outro boleto.
33,1316,I once wanted to be an astrophysicist.,Il fut un temps où jsem chtěl být astrofysicien.,Ich wollte mal Astrophysiker werden.,"All'epoca, volevo essere un astrofisico.",Una volta volevo diventare un astrofisico.,"I was a period,天体物理学者になりたかった.",I once thought過當個宇宙物理學家.,Kiedyś chciałem być astrofizykiem.,Uma vez eu quis ser um astrofísico.
34,1317,I never liked biology.,Nikdy jsem biologii nelíbil.,Ich mochte Biologie noch nie.,Nikdy jsem neměla ráda biologii.,Non mi è mai piaciuta la biologia. | A me non è mai piaciuta la biologia.,I never liked biology. | I never liked biology.,I never liked biology.,Nigdy nie lubiłem biologii.,Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii. Já nikdy nezajímal biologii.
35,1318,The last person I told my idea to thought I was nuts.,"Poslední osoba, se kterou jsem vyprávěl o své myšlence, si myslela, že jsem cinglé.","Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.","Poslední člověk, který jsem mu vyprávěl svůj nápad, si myslel, že jsem zasranej.",L'ultima persona a cui ho raccontato la mia idea ha pensato che io fossi pazzo. | L'ultima persona a cui ho raccontato la mia idea ha pensato che io fossi pazzo.,"It seems that I finally thought that the person who told me his thoughts, me気違いだ.",I think I'm crazy.,"Ostatnia osoba, której opowiedziałem o swoim pomyśle uznała mnie za wariata.",A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca. | A last person for whom I told my idea achou que eu estaba louca.
37,1320,It is unfortunately true.,To je bohužel pravda.,Unglücklicherweise stimmt es. | Unglücklicherweise ist es wahr. | Das stimmt leider.,^ a b c d e f g a g h o l l o n o n o n | オリジナルよりアーカイブ・ドキュメンタリー・ドキュメンタリー,Je to bohužel pravda. | Je to bohužel pravda. | Je to bohužel pravda. | Je to bohužel pravda.,残念ながらそれは本当です。,"Škoda, že je to opravdu.",අවාසනාවට ඇත්තට.,"Je to pravda, bohužel. | Bohužel je to pravda."
39,1322,Most people think I'm crazy.,La plupart des gens pensent que je suis fou. | La plupart des gens pensent que je suis cinglé.,"Die meisten Leute denken, ich sei verrückt.","Většina lidí si myslí, že jsem blázen. | Většina lidí si myslí, že jsem blázen.","Většina lidí si myslí, že jsem blázen.",Most people think I'm mistaken.,Most people think I'm crazy.,"Most people sądzi, że jestem szalony. | Most people sądzi, że zwariowałem.","Většina lidí si myslí, že jsem šílená. | Většina lidí si myslí, že jsem šílená. | Mnozí lidé si myslí, že jsem šílená. | Mnozí lidé si myslí, že jsem šílená."
42,1325,He's kicking me!,Il me donne des coups de pied!,Er tritt mich!,అతను בועט בי!,Mi sta calciando! | Lui mi sta calciando!,ඔහු මට පයින් ගහනවා!,他在踢我!,Na mě kopie!,Ele está me chutando!
43,1326,Are you sure?,Est-ce que tu es sûr? | Es-tu sûr? | Es-tu sûre? | Êtes-vous sûr? | Êtes-vous sûre? | Êtes-vous sûres? | Êtes-vous sûrs? | Êtes-vous sûrs? | Êtes-vous sûr? | Es-tu sûr? | Êtes-vous sûrs? | Êtes-vous sûres?,Ar esate saugūs? | Ar esate saugūs?,אתה בטוח? | אתה בטוח בזה? | בטוח? | האם אתה בטוח? | האם אתה חושב כך? | את בטוחה? | אתה בטוח? | האם אתה בטוח? | האם אתה בטוח?,Sei sicuro? | Lei è sicura?,本当? | 本気?,你肯定吗? | 你确定吗? | 你确定?,Jesteś pewien? | Jesteś pewna?,Jsi si jistá? | Jsi si jistá disso? | Jsi si jistá? | Jsi si jistá?
45,1328,"Oh, there's a butterfly!","Oh, il y a un papillon! | Oh, un papillon! | Oh, il y a un papillon!","ഓ, da ist ein Schmetterling!",| あああ! あああ! あああ! あああ!,"ఓహ్, ఒక farfalla ఉంది!",あ!蝶々がいる! | あ、蝶々がいる。 | あっ、ちょうちょだ!,哦!有一只蝴蝶!,"Och, tam jest motyl!","Oh, ali está uma borboleta! | Olha, uma borboleta!"
46,1329,Hurry up.,Dépêche-toi! | Dépêche-toi. | Grouille! | Vite! | Pressez-vous! | Fiça! | Magne-toi! | Magnez-vous!,Beeil dich! Beeil dich. | Mach hin!,♫♫,Svelto! Sbrigati! Sbrigatevi!,"急いで! | 急ぎなさい. | さあ,急いで. | 早く! | 急げ!",快点!快点! 快点! 快点!,ඉක්මන් කරන්න!,ඇප් රෙස්-සෙ!
47,1330,It doesn't surprise me.,| Cela ne me surprend pas. | Cela ne me surprend pas.,Es überrascht mich nicht. | Das überrascht mich nicht.,To mě nepřekvapí. | To mě nepřekvapí.,Není to překvapení.,驚くことではないね.,这并不让我感到惊讶。,To me nie zaskakuje. | Jakoś to mnie nie dziwi.,Não me surprising. | Isso não me surprising.
49,1333,It depends on the context.,Ca dépend du contexte.,Das kommt auf den Zusammenhang an. | Das hängt vom Zusammenhang ab. | Das hängt vom Kontext ab.,संदर्भ में निर्भर करता है.,Záleží na kontextu.,ඒක 文脈による.,这要看情况. | 这得看情况.,Zależy od kontekstu.,ផ្អែក លើ បរិបទ ធ្វើ & # 160; ។
51,1335,That's the stupidest thing I've ever said.,To je la chose la plus stupide que j'ai jamais dit.,"Das ist das Dümmste, was ich je gesagt habe.",یہ בדבר הכי מטופש שאמרתי אי פעם ہے.,"To je ta nejblbější věc, co jsem kdy řekl. | To je ta nejblbější věc, co jsem kdy řekl.",I've never said anything like that.,That's the stupidest thing I ever said. | That's the stupidest thing I ever said.,"నేను ఎప్పుడూ చెప్పారు সবচেয়ে stupidsza rzecz, కు.",Essa foi a coisa mais estúpida que eu já disse.
53,1337,"When I grow up, I want to be a king.","Když budu velký, chci být králem. | Když budu velký, chci být králem.","Wenn ich groß bin, will ich ein König sein.","Chci být králem, když zvětším. | Když zvětším, chci být králem.","""When sarò grande, voglio essere un re. | Da grande voglio fare il re.",I want to be a king.,I grew up after thinking當國王.,"Až dorosnu, chci být králem.","Když já rostnu, chci být Rei. | Když já rostnu, chci být Rei. | Když rostnu, chci být Rei."
56,1340,So what?,"A pak? | Eh bien, what? | A tedy? | A pak? | A?",Na und? | Ja und?,"तो क्या? | तो??? | נו, तो क्या? | ובכן?",E allora? | E quindi?,ඒක මොකක්?,那又איך?,No i co? | No i?,E daí? | E agora?
61,1345,I've always wondered what it'd be like to have siblings.,මම හැමතිස්සෙම අහනවා මොකද වෙන්නේ කියලා සහෝදර සහෝදරියන් ඉන්න එක ගැන.,"Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.","Vždycky jsem se přemýšlel, jak se cítíš, kdyžיש אח או אחות.","Vždycky jsem se zeptal, jak by to bylo mít bráchy nebo sestry. Vždycky jsem se zeptal, jak by to bylo mít bráchy nebo sestry. Vždycky jsem se zeptal, jak by to bylo mít bráchy nebo sestry. Vždycky jsem se zeptal, jak by to bylo mít bráchy nebo sestry.",I always wonder what it would be like to be a brother.,我总是想有兄弟姐妹会怎么样。,"Zawsze zastanawiałem się, jak to jest mieć rodzeństwo.",මම හැමතිස්සෙම හිතුවේ සහෝදරයෝ වගේ.
63,1347,It would take forever for me to explain everything.,"To by mě přivedlo věčnost k tomu, abych všechno vysvětlil.","Es würde ewig dauern, alles zu erklären. | Um alles zu erklären würde ich ewig brauchen.",| I need links to explain everything. | I need links to explain everything.,എല്ലാം വിശദീകരിക്കാന് ഒരു ജീവിതം വേണം.,It is impossible to explain everything until when it will take.,"I even say上三天三夜,恐怕也不能把一切解释清楚. | 要都解释的话,需要一辈子的时间.","Potrzebna wieczność, żeby wszystko wytłumaczyć.",මම හැමදේම පැහැදිලි කරන්න සදාකාලිකවම යන්නම්.
64,1348,That's because you're a girl.,| C'est parce que tu es une fille. | C'est parce que t'es une nana.,"Das liegt daran, dass du ein Mädchen bist.",| それはあなたが女の子であるからである。,"Je to proto, že jsi holka. | To je proto, že jsi holka. | Je to proto, že jsi holka.",మీరు అమ్మాయి ఎందుకంటే యో.,ඒ මොකද ඔයා කෙල්ලෙක් නිසා.,"To proto, že jsi holka.","Je to proto, že jsi děvka. | To se děje, protože jsi děvka."
79,1363,I thought you liked to learn new things.,Je pensais que tu aimais apprendre de nouvelles choses. | Je croyais que tu aimais apprendre de nouvelles choses.,"Ich dachte, du würdest gerne neue Sachen lernen.",你喜欢学新东西。,Pensavo che ti piacesse imparare cose nuove.,You thought you wanted to study something new.,I think you like to learn new things.,I thought you'd want to learn something new. | I thought you'd want to learn something new.,"Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я думал, что вы хотели бы научиться новым вещам. | Я"
80,1364,Most people write about their daily life.,La plupart des gens écrivent à propos de leur vie quotidienne.,Die meisten Menschen schreiben über ihr Alltagsleben.,A maioria das pessoas escrevem sobre a vida do seu dia-a-dia.,Większość ludzi pisze o swoim codziennym życiu.,Many people write about everyday things. | Most people write about everyday life.,Most people write things about their daily life.,Większość osób pisze o swoim codziennym życiu.,अधिकांश लोग अपने दैनिक जीवन के बारे में लिखते हैं।
82,1366,"In order to do that, you have to take risks.","Pour faire cela, il te faut prendre des risques.","Pour ce faire, vous devez prendre des risques. | Pour ce faire, vous devez prendre des risques. | Pour ce faire, vous devez prendre des risques. | Pour cela, vous devez prendre des risques. | Pour cela, vous devez prendre des risques.","To do this, עלך ליטול סיכונים.","Um dies zu tun, muss man riskieren.","In order to do that, you must risk it.","要这么做,你需要冒险。","Aby to zrobić, trzeba podjąć ryzyko.","Abys to udělal, musíš riskovat."
84,1368,Why do you ask?,നീയെന്തിനാ ആവശ്യപ്പെടുന്നത്?,Why fragst du? | Why ask ihr?,Proč se ptáš? | Proč se ptáš?,Perché lo chiedi?,なぜ聞くの? | なぜ聞くの?,ඔයා මොනාද මේ幹 අහන්නේ?,Czemu pytasz? | Dlaczego pytasz?,| | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |
89,1373,How long did you stay?,Combien de temps es-tu restée? | Combien de temps es-tu resté? | Combien de temps êtes-vous restée? | Combien de temps êtes-vous resté? | Combien de temps êtes-vous restées? | Combien de temps êtes-vous restées? | Combien de temps êtes-vous restés? | Combien de temps y as-tu séjourné? | Combien de temps y avez-vous séjourné?,Wie lange bist du geblieben? | Wie lange seid ihr geblieben? | Wie lange sind Sie geblieben?,Jak dlouho zůstaneš?,Jaký čas jsi zůstala? | Jaký čas jsi zůstala? | Jaký čas je zůstala? | Jaký čas jsi zůstala? | Jaký čas jsi zůstala? | Jaký čas je zůstala? | Jaký čas jsi byla? | Jaký čas jsi byla? | Jaký čas jsi byla? | Jaký čas jsi byla? | Jaký čas jsi byla? | Jaký čas jsi byla? | Jaký čas jsi byla?,කොච්චර වෙලාද?,You Waited How Long? | You Where Waited How Long?,Jak długo stoisz?,Kolik tempo jste zůstali? | Na kolik tempo ficaste? | Kolik tempo jste zůstali?
95,1379,That is intriguing.,ඒක සිත්ගන්නා සුළුයි.,Das macht neugierig.,| それは刺激する ענין。,Je intrigantní. | Quello è intrigante. | Quella è intrigante.,അത് രസകരമാണ്.,那真有趣.,intrygujące కు.,To je zajímavé. | To je zajímavé.
102,1386,I didn't like it.,Je n'ai pas aimé. | Ça ne me plaisait pas.,Mir hat es nicht gefallen. | Ich mochte es nicht.,Nelíbilo se mi to. | Nelíbilo se mi to. | Nelíbilo se mi to.,Ne mi è piaciuto. | Non mi è piaciuta. | A me non è piaciuto. | A me non è piaciuta. | No mi è piaciuto. | A me non è piaciuta.,I didn't like it.,我没有喜欢过。,Nie podobało mi się. | Nie podobało mi się.,Eu não gostei. | Eu não gostava disso.
111,1395,I have to go to bed.,Je dois aller au lit. | Je dois aller dormir.,Musím jít do postele. Musím jít do postele. Musím jít spát.,"我必须去睡觉,我必须去睡觉,我必须去睡觉。",Devo andare a letto. | Io devo andare a letto.,I must sleep. | もう寝なくちゃ. | 寝ないと! | 寝なきゃ. | 寝なくちゃ.,I should go to bed. | I should go to bed.,Muszę iść spać.,Eu preciso ir para a cama.
118,1402,That wasn't my intention.,నా ఉద్దేశ్యం కాదు.,Das war nicht meine Absicht.,Neměl jsem to v úmyslu. - Neměl jsem to v úmyslu.,Non era mia intenzione.,i didn't mean that.,It's not my intention.It's not my intention.It's not my intention.,Neměl jsem takový záměr.,Não era essa a mí mí intention.
119,1403,Thanks for your explanation.,Díky za vysvětlení. | Díky za vaše vysvětlení. | Díky za vaše vysvětlení.,Danke für Ihre Erklärung. | Danke für Ihre Erklärung.,^ a b c d e f g a g a h o l o n o n | Thank you for explaining it.,"谢谢你解释的,谢谢你解释的,谢谢你解释的。",Thank you for explainしてくれて.,谢谢你的解释。,"Dziękuję za wyjaśnienie. | Dziękuję, że mi to wyjaśniłeś.",Obrigado por sua explicação.
123,1408,I don't know what you mean.,Já ne sais pas ce que tu chceš dire. | Já ne sais pas ce que vous voulez dire.,"Já nevím, byl jsi můjst.",I don't know what you mean. | I don't know what you mean.,Ne tak cosa intendi. | Ne tak cosa intende. | Ne tak cosa intendete.,I don't know what to say. | 何が言いたいのか分かんないんだけど。,I don't know what you mean. | I don't know what you mean.,"Nie wiem, co masz na myśli. | Nie rozumiem, co masz na myśli.",例如:我不懂你的意思;我不懂你的意思;我不懂你的意思;我不懂你的意思;我不懂你的意思;我不懂你的意思;我不懂你的意思;我不懂你的意思;我不懂你的意思。
