,index,english,translated_from_finnish
17,1299,I make €100 a day.,په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول. | په هره ورځ کې د 100 یورو پیسې ورکول.
20,1302,That won't happen.,| Niin ei tapahdu.
22,1304,I'll do my best not to disturb your studying.,د زده کړې څخه ډډه مه کوئ.
25,1308,I miss you.,"我爱你,我爱你,我爱你,我对你很遗憾,我对你很遗憾,我对你很遗憾,我对你很遗憾。"
26,1309,I'll call them tomorrow when I come back.,"Soitan heille huomenna, kun tulen takaisin."
28,1311,You should sleep.,Sinun by měl nukkua. | Sinun na parasta nukkua. | Teidän by měl nukkua.
29,1312,I'm going to go.,Já olen lähdössä. | Já aion jít. | Já menen. | Mä meen.
30,1313,I told them to send me another ticket.,"Řekl jsem jim, že by mi poslali druhou značku. | Já jsem jim řekl, aby mi poslali druhou značku."
33,1316,I once wanted to be an astrophysicist.,Někdy jsem chtěl být astrofyysikko.
34,1317,I never liked biology.,En koskaan pitänyt biologiasta.
35,1318,The last person I told my idea to thought I was nuts.,"Последний человек, которому я рассказал свою идею, считал, что olen päästäni sekaisin."
37,1320,It is unfortunately true.,"Pitää paikkansa, ikävä kyllä. | Se on valitettavasti totta."
39,1322,Most people think I'm crazy.,"Většina lidí mě považuje za blázna. Většina lidí si myslí, že jsem blázen. Většina lidí mě považuje za blázna. Většina lidí si myslí, že jsem blázen."
42,1325,He's kicking me!,Hän potkii minua!
43,1326,Are you sure?,Oletko varma? | Oletko ihan varma?
45,1328,"Oh, there's a butterfly!","ඔයි, මෙහේ පර්හෝනන් වල!"
46,1329,Hurry up.,വേഗം പിടിക്ക്.
47,1330,It doesn't surprise me.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:
49,1333,It depends on the context.,| Se riippuu kontekstista. | Se riippuu kontekstista.
51,1335,That's the stupidest thing I've ever said.,මම කවදාවත් නොකිව්ව මෝඩ ප් රශ්නේ ගැන බලන්න.
53,1337,"When I grow up, I want to be a king.","Kun kasvan isoksi, haluan olla kuningas. | Isona haluan olla kuningas."
56,1340,So what?,क्या है? क्या है? क्या है? क्या है?
61,1345,I've always wondered what it'd be like to have siblings.,Olen aina miettinyt millaista olisi jos būtų sisaruksia.
63,1347,It would take forever for me to explain everything.,Kaiken selittämiseen menisi ikuisuus.
64,1348,That's because you're a girl.,"To je proto, že jsi holka. | To je proto, že jsi holka."
79,1363,I thought you liked to learn new things.,"Myslel jsem, že se budeš učit o nových věcech."
80,1364,Most people write about their daily life.,| Suurin osa ihmisistä kirjutab päivittäisestä elämästään.
82,1366,"In order to do that, you have to take risks.",Musíš riskovat a dělat si to sám.
84,1368,Why do you ask?,Why askt? | Why sinä kysyt?
89,1373,How long did you stay?,Jak dlouho byl tam? | Jak dlouho byl tam? | Jak dlouho byl tam? | Jak dlouho byl tam? | Jak dlouho viivyit siellä?
95,1379,That is intriguing.,Mielenkiintoista. | Sepä vasta interestingista. | Sepä vasta kiintoisaa.
102,1386,I didn't like it.,En pitänyt siitä. | En tykännyt siitä.
111,1395,I have to go to bed.,Minun musí jít nukkumaan. | Minun musí jít  Bedouyn.
118,1402,That wasn't my intention.,| Se ei ollut tarkoitukseni. | Se ei ollut tarkoitukseni.
119,1403,Thanks for your explanation.,താങ്ക്സ് സെൽനിസ്റ്റൻസ്സി.
123,1408,I don't know what you mean.,En tiedä mitä tarkoitat.
132,1417,I need to ask you a silly question.,Minun täytyy kysyä sinulta tyhmä kysymys.
136,1421,No one will know.,| Kukaan ei saa tietää.
138,1423,It seems interesting to me.,Se vaikuttaa minusta kiintoisalta.
140,1425,I like candlelight.,Pidän  Candlelight valosta.
149,1434,I love you.,Já tě miluju. | Rakastan tě. | Rakastan tě! | Já tě miluju. | Mä milujen sua.
151,1436,I am curious.,Olen utelias.
152,1437,Congratulations!,සුභපැතුම්! සුභපැතුම්!
153,1438,I don't want to wait that long.,En halua వేచి చాలా పొడవుగా.
154,1439,Why don't you come visit us?,Proč et tulisi käymään?
159,1445,I hate chemistry.,வேதியியல்.
165,1451,I have nothing better to do.,Ei ole parempaakaan tekemistä. | Minulla ei ole parempaakaan tekemistä.
166,1452,I can't explain it either.,Jákään en osaa selittää sitä.
167,1453,Everyone has strengths and weaknesses.,Kaikilla on heikkouksia ja vahvuuksia. | Kaikilla on omat vahvuudet ja heikkoudet.
172,1459,I don't know if I still have it.,"Může být, že mám na to stále."
174,1461,Don't underestimate my power.,Nepřesvědčujte mě o tom. | Přesvědčujte voimaani.
175,1462,My mom doesn't speak English very well.,Äitini ei puhu englantia kovin hyvin.
181,1468,Everyone wants to meet you. You're famous!,هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ. | هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ! | هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ! | هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ! | هرڅوک غواړئ چې ټوټه وخورئ.
194,1481,"Tomorrow, he will land on the moon.",Huomenna hän laskeutuu kuuhun.
195,1482,I don't speak Japanese.,En puhu japania.
197,1484,Nobody understands me.,Kukaan ei అర్థం నాకు.
198,1485,I learned to live without her.,Opin elämään ilman häntä.
200,1487,I have too many things on my mind these days.,Minulla on liian monta asiaa mielessäni nykyään.
201,1488,I just wanted to check my email.,Halusin vain lukea sähköpostini.
209,1496,It would take me too much time to explain to you why it's not going to work.,"Neměl bych moc času, abych ti litoval, proč to nebude fungovat."
214,1501,It can't be!,Ei voi olla! | Mahdotonta!
217,1504,Would you like something to drink?,"Chceš něco k jídlu? | Maistuisiko juotava? | Jak by bylo, chceš něco k jídlu? | Chceš něco k jídlu?"
234,1521,Please don't cry.,අනේ එපා.
243,1530,Allen is a poet.,Allen na runoilija.
248,1535,"If you see a mistake, then please correct it.","Jei matot virheen, taip korjaathan sen. | Jei huomaat virheitä, taip korjaathan ne."
253,1540,Why don't we go home?,Co když menisimme domů?
257,1544,One million people lost their lives in the war.,Miljoona ihmistä menetti henkensä sodassa.
270,1561,Did you miss me?,Kaipasitko mane? | Ar man jums man nemaloni?
272,1564,Thank you very much!,Paljon kiitoksia. | Thank you very much! | Thank you very much! | Suurkiitokset!
275,1567,It's a surprise.,yllätys న చూడండి.
276,1568,That's a good idea!,Se on hyvä ajatus! | Se on hyvä idea!
285,1578,They say love is blind.,"Říká se, že rakkaus na sokea."
296,1590,Do you speak Italian?,د روميانو په نُوم خط ١٠: ١٩
299,1594,May I ask a question?,Saanko kysyä kysymyksen? | Saanko esittää kysymyksen? | Saanko kysyä?
307,1602,You'll forget about me someday.,සිනා kyllä unohdat minut jonain päivänä.
308,1603,That is rather unexpected.,Se on melko odottamatonta.
311,1606,I couldn't have done it without you. Thank you.,ස්තුතියි.
319,1615,Do whatever he tells you.,Tee mitä ikinä అతను käskeekin.
323,1619,May I talk to Ms. Brown?,Saisinko Brownin puhelimeen?
326,1622,What do you want?,මොනාද ඔයාට ඕනේ? මොනාද ඔයාට ඕනේ?
333,1630,I have a dream.,Mám tu unelma.
347,1644,You look stupid.,Vypadáš tyhmältä. | Vypadáš typerältä.
349,1646,My name is Jack.,Nimeni na Jacku. | Minun nimeni na Jacku. | Minun nimeni na Jaakko. | Nimeni na Jaakko.
350,1647,I like it very much.,"例如:我非常喜欢它,非常喜欢它,非常喜欢它。"
352,1649,How do you say that in Italian?,Kaip tuo sanotaan italiaksi? | Kaip se sanotaan italiaksi?
354,1651,Is it far from here?,ഇവിടുന്ന് പോകണോ?
355,1652,These things aren't mine!,Tyhle věci nejsou moje! | Tyhle věci nejsou moje!
357,1654,Would you like to dance with me?,നൃത്തം ചെയ്യാമോ?
359,1659,It's not my fault!,Se ei ole minun syytäni! | Ei se minun syytäni ole!
363,1663,Where are the showers?,Kur yra dušo kabinos? | Kur yra dušo kabinos?
366,1666,I have lost my wallet.,Jsem kadottanut lompakkoni. | Olen hävittänyt lompakkoni. | Olen hukannut lompakon.
376,1679,Thanks to you I've lost my appetite.,"Menetin ruokahaluni, kiitos teidän."
386,1689,It is very hot today.,今日は本当に暑いです. | 今日は本当に暑いです.
394,1698,Look at me when I talk to you!,మీరు మాట్లాడేkenనాకుచూడండి
401,1705,I'm tired.,මට මහන්සියි! මට මහන්සියි! මට මහන්සියි! මට මහන්සියි!
404,1709,When do we arrive?,Milloin me olemme perilla? | Milloin me saavumme perille?
405,1710,"The check, please.","Lasku, kiitos. | Saisinko laskun."
407,1712,I have a headache.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்
411,1716,How are you? Did you have a good trip?,د کوه رونگ سمومیم په اړه
412,1717,I don't feel well.,Mám ei ole hyvä olo. | Minulla on huono olo. | En voi ihan hyvin.
413,1718,Call the police!,Soittakaa policelle! | Soita police! | Soittakaa police! | Kutsu police! | Kutsukaa police!
414,1719,It's too expensive!,Se on liian kallis! | Se maksaa liikaa!
418,1723,Merry Christmas!,Laba joulua! | Laba jouluu!
439,1744,"The past can only be known, not changed. The future can only be changed, not known.","Menneen voi vain tietää, ei muuttaa. Tulevan voi vain muuttaa, ei tietää."
449,1754,I'm starving!,Mulla on ihan hirveä nälkä! | Mä kuolen nälkään! | Minä kuolen nälkään! | Mullon nälkä! | Mulla on nälkä!
460,1765,I'm undressing.,Olen riisuutumassa. | Olen riisuuntumassa.
466,1771,The wind calmed down.,Tuuli laantui | Tuuli tyyntyi.
471,1776,"Who searches, finds.",Etsivä löytää.
472,1777,Rome wasn't built in a day.,Ei Roomaaakaan päivässä rakennettu. | Ei Roomaaakaan rakennettu yhdessä päivässä.
478,1783,That was the best day of my life.,Se oli elämäni paras päivä.
479,1784,I don't understand German.,En ymmärrä saksaa.
480,1785,I made my decision.,Tein päätökseni.
481,1786,I give you my word.,| Minä lupaan.
507,1813,It's cold.,Na zimno. | Se na zimno.
508,1814,I'm thirsty.,Máma na jano. | Mua janottaa. | Mullon jano. | Mulla na jano. | Minua janottaa.
522,1829,Life is beautiful.,Life on beautifulta. | Life on wonderfula.
554,1862,It is raining.,Sataa. | Sataa Wasser.
568,1876,I went to the zoo yesterday.,Kävin eilen eläintarhassa.
713,2022,I dreamt about you.,Näin unta sinusta. | Näin sinusta unta.
715,2024,I won't lose!,Já en muuten häviä!
731,2040,I'm almost done.,Už jsem skoro hotová.
752,2061,It is never too late to learn.,Ei ole koskaan liian myöhäistä oppia.
757,2066,What are you talking about?,What are you talking about? | What is it?
767,2077,"Thank you. ""You're welcome.""","""Kiitos."" ""Olkaa hyvä."" | ""Kiitos."" ""Ei kestä."" | ""Kiitos."" ""Eipä kestä kiittää."" | ""Kiitos."" ""Ole hyvä."" | ""Kiitti."" ""Ei mitään."" | Thank you. ""Eipä tämä mitään."" | Kiitoksia. ""Kaikin mokomin."""
769,2079,Winter is my favorite season.,Winter on lempivuodenaikani. | Talvi on Lieblingsvuodenaikani.
786,2096,He disappeared without a trace.,| Hän katosi kuin tuhka tuuleen.
801,2111,She was wearing a black hat.,Hänellä oli päässään musta hattu.
824,2136,Where is the bathroom?,Missä na WC?
856,2168,Where are you?,Kde jsi? | Kde jsi ty? | Kde jsi?
862,2175,No way!,"Ne, ne! | Ehdottomasti ei! | Ehdoton ei! | Ei missään nimessä! | Ei ikimaailmassa! | Vain kuolleen ruumiini yli! | Just joo. | Ei ikimaailmassa. | Vissiin. | No höpö höpö. | Ei voi olla! | Mahdotonta!"
902,2216,Don't forget about us!,අපිව අතහරින්න එපා!
934,2249,I need your advice.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:
987,2302,Whose is this?,Kenen tämä na?
995,2310,Do you like rap?,Ar tu nerašysi rapista? | Ar tu nerašysi räpista?
1003,2319,I don't know him.,En tunne häntä. | Minä en tunne häntä.
1006,2322,It's not important.,Se ei ole tärkeää. | Se ei ole tärkeää.
1007,2323,I don't care.,நேபாள மொழி: En välitä. | Ideal sama. | Hällä väliä.
1012,2329,Fifty-two per cent of British women prefer chocolate to sex.,"எழுத்தறிவு சதவீதம் பேர் ஆண்கள், பெண்களின் கல்வியறிவு சதவீதம் பெண்களின் கல்வியறிவு சதவீதம் ஆகும்."
1026,2344,Better late than never.,Parempi myöhään kuin ei milloinkaan.
1027,2345,"Like father, like son.",Ei omena kauas puusta putoa.
1030,2350,All cats are grey in the dark.,Visi kissat ovat harmaita pimeässä.
1032,2352,No news is good news.,"On hyvä merkki, jos heista ei kuulu mitään."
1048,2368,He's a good person.,Hän on hyvä Mensch. | Hän on kiltti. | Hän on ystävällinen. | Hän on kiltti Mensch. | Hän on ystävällinen Mensch. | Hän on kiva Mensch. | Hän on kiva Mensch.
1050,2370,Enjoy your meal!,සුභ රාත් රී කෑමක්!
1057,2378,Make yourself at home.,Ole kuin kotonasi.
1068,2389,I don't want it anymore.,En halua sitä enää.
1080,2401,I thought it was true.,"Myslel jsem, že je to pravda."
1088,2409,I went to drink a beer with friends.,Menin kaljalle kavereiden kanssa? | Menin kaljalle kavereideni kanssa?
1091,2412,They quarreled.,On riitelivät. | On tappelivat.
1092,2413,I ate caviar.,Söin kaviaaria.
1097,2418,How much is it?,How much se maksaa? | What se maksaa?
1101,2423,Did you leave a tip?,ජැටිට්කෝ ටිපියා?
1102,2424,Don't forget the ticket.,අනේ ඔන්හදා ලිපු.
1107,2429,I want you to tell me the truth.,"Chci, abys mi řekl pravdu."
1115,2437,I talked to friends.,Puhuin ystävilleni.
1122,2444,Tell me what happened.,Kerro minulle mitä tapahtui.
1127,2449,It's more difficult than you think.,Se on vaikeampaa kuin luulet.
1130,2453,I don't agree with him.,I don't agree with him. I don't agree with him. I don't agree with him. I don't agree with him. I don't agree with him.
1150,2474,I'd rather be a bird than a fish.,"""അരിക്കാം mieluummin lintu kuin kala."""
1169,5944,Tell me about it!,Kerro minulle siitä!
1176,5999,I have to take medicine.,Minun täytyy ottaa lääkettä.
1182,6019,I work even on Sunday.,Teen töitä auch Sonntagna.
1184,6024,It happened a long time ago.,To se stalo dlouhou dobu sitten. | To se stalo dlouhou dobu sitten.
1185,6026,Where have you been?,Missä olet gewesen? | Missä te olette olleet?
1188,6034,It's been snowing all night.,Satanut lunta Koko yön న.
1198,6054,"He was born on July 28th, 1888.","அதில் பட்டியல் சாதி மக்களின் தொகை 28,788 ஆக உள்ளது."
1207,6130,She is mad at me.,Hän on vihainen minulle.
1249,9905,You can rely on him.,Voit luottaa häneen.
1260,13335,Did you meet her?,Tapasitko hänet?
1333,15859,Can you ride a horse?,ഒസാടാക്ടോ മന്ത്രവാദിനി?
1354,15882,Do you live here?,ඔයා මෙහෙට එනවද?
1376,15904,Who are you waiting for?,ඔයාට මොනවද ඕන? ඔයාට මොනවද ඕන? ඔයාට මොනවද ඕන?
1384,15913,I'm proud of you.,Olen ylpeä sinusta. | Olen ylpeä teistä.
1389,15918,You look bored.,seemedt ikävystyneeltä. | seemedt tylsistyneeltä.
1460,15993,You work hard.,Sinä teet kovasti töitä.
1477,16010,Are you writing a letter?,කිරජොට්කෝ කිරජෙට්ටා?
1487,16020,Can you drive a car?,ඔසාටො ජායා ඔටෝආ?
1490,16023,You should apologize.,Sinun pitäisi pyytää anteeksi.
1580,16117,Why were you absent yesterday?,昨天为什么没去巴黎?
1584,16122,You must do your best.,Sinun täytyy tehdä parhaasi.
1591,16130,You look pale today.,Dneska jsem v pořádku.
1614,16159,You have to go.,Sinun täytyy mennä. | Sinun on pakko mennä.
1616,16161,You'd better not go.,Sinun on parempi jättää menemättä.
1619,16164,Are you happy?,Oletko onnellinen? | Oletteko te glücklichia? | Oletteko glücklichia?
1670,16216,You broke the rule.,සිනා rikoit sääntöä.
1678,16224,You look pale.,පේන විදිහට කාල්පාටලා.
1699,16246,Will you stay at home?,Ar norite likti namuose? | Ar norite likti namuose? | Jäätkö sinä kotiin?
1708,16255,What are you looking for?,මොනාද ඔයා කරන්නේ?
1709,16256,What are you looking at?,What do you think? | What do you really think?
1711,16259,What do you intend to do?,क्या आप कर रहे हैं? | आप क्या कर रहे हैं? | आप क्या कर रहे हैं? | आप क्या सोच रहे हैं?
1714,16263,What do you want to be?,നിനക്കെന്താ വേണ്ടത്?
1715,16265,What will you have?,මොනාද ඔයා ගන්න හදන්නේ?
1718,16268,What woke you up?,මොකද්ද හර්තාටි සිනට්?
1731,16283,You dropped your pencil.,Pudotit kynäsi. | Pudotit lyijykynäsi.
1736,16289,Do you study English?,Aprašymas anglų kalba? | Aprašymas anglų kalba?
1744,16300,Can you swim?,Osaatko uida? | Osaatko sinä uida?
1859,16428,Can you speak French?,Osaatko ranskaa? | Osaatko puhua ranskaa? | Osaatko sinä ranskaa? | Osaatko sinä puhua ranskaa?
1877,16449,Do you want anything?,നിനക്കെന്താ വേണ്ടത്?
1899,16475,You look very tired.,seemedt hyvin väsyneeltä. | seemedt todella väsyneeltä.
1912,16491,How about you?,നിനക്കെന്താ വേണ്ടത്?
1913,16492,What are you doing?,Что ты делаешь? Что ты делаешь? Что ты делаешь?
1941,16525,You have many books.,Sinulla on monta kirjaa. | Sinulla on monia kirjoja. | Teilla on monia kirjoja. | Teilla on monta kirjaa.
2001,16590,Did you watch the game?,Katsoitko pelin?
2116,16715,You can study here.,Voit opiskella täällä.
2144,16747,Aren't you happy?,Etkö ole onnellinen?
2168,16774,What time do you usually get up?,මොන වෙලාවටද ඔයා සාමාන් යයෙන් එන්නේ?
2328,16945,Compare your answer with Tom's.,Vertaa vastaustasi Tomin vastaukseen. | Vertaa vastaustasi Tomin vastauksen kanssa.
2331,16948,Your answer is right.,හරියටම උත්තර දෙන්න.
2351,16969,May I use your phone?,له موږ سره اړیکه ونیسئ
2375,16994,It's none of your business.,यह तुम्हारे मामले का नहीं है. यह तुम्हारे मामले का नहीं है. यह आपके मामले का नहीं है. यह आपके मामले का नहीं है. यह आपके मामले का नहीं है. यह आपके साथ कुछ भी नहीं है. यह किसी भी तरह से आपके लिए नहीं है. यह आपके मामले का नहीं है. यह आपके मामले के बारे में कुछ भी नहीं है. यह आपके मामले के बारे में कुछ भी नहीं है.
2376,16996,Mind your own business!,"""உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்! |உங்களுடைய காரியங்களை கவனித்துக்கொள்ளுங்கள்!"
2392,17013,Go back to your seat.,வார்ப்புரு:Menne takaisin paikallesi. | Menne takaisin istuinpaikallesi. | Palaa takaisin omalle istumapaikallesi.
2440,17065,Write your address here.,Kirjoita osoitteesi tähän. | Kirjoita tähän osoitteesi.
2447,17073,I received your letter yesterday.,Sain kirjeesi yesterday.
2450,17076,Are your hands clean?,オバッタッタ・ハンドシ・クリーネート? | オバッタ・あなたのハンドネ・クリーネート?
2472,17101,Your bicycle is similar to mine.,Pyöräsi on samantapainen kuin minun.
2474,17103,Is your watch correct?,කෝල්සි හරිද?
2480,17110,Where are your things?,ستاسو د سوداګرۍ ځایونه چیرته دي؟ | چیرته د لمر وخت دی؟
2516,17150,Where do you come from?,Odkud pocházíš? | Odkud pocházíš? | Odkud pocházíš? | Odkud pocházíš? | Odkud pocházíš?
2555,17190,Make your choice.,Tee valintasi.
2562,17198,I know what you mean.,Vím co tím myslíš.
2643,17283,Where is your school?,ستاسو د ښوونځي په اړه څه شی دی؟
2703,17344,You're on the right track.,Olet oikeilla jäljilla.
2705,17347,Your time is up.,Aikasi na konci.
2713,17355,Your pen is better than mine.,Sinun kynäsi on parempi kuin minun.
2715,17357,Your plan sounds great.,Suunnitelmasi klingt hienolta.
2749,17395,Your cake is delicious.,Kakkusi on tosi hyvää. | Sun ケーキs on tosi hyvää.
2754,17400,Here is your bag.,Tässä na laukkusi.
2774,17421,I believe you.,私はあなたを信じます. | あなたを信じます.
2776,17423,I don't agree with you.,En ole samaa mieltä kanssasi.
2880,17534,You deserve the prize.,Ansaitset palkinnon.
2884,17538,Green suits you.,Zelený se ti líbí.
3032,17707,I want you.,Já chci sinut. | Já chci tebe.
3055,17735,I need you.,Já tě potřebuju. | Potřebtsen tebe.
3082,17764,Show me what you bought.,මෙන්න මට mitä ostit.
3110,17795,I guess you are right.,"Luulen, dass olet oikeassa."
3143,17829,I love you more than you love me.,Já tě miluju víc než ty mě.
3185,17881,I know you are rich.,"Vím, že jsi bohatý."
3310,18017,I don't blame you.,| En syytä אותך. | En syytä אותך.
3361,18073,You don't understand.,ඔයාට තේරෙනවා.
3552,18278,The sky is full of stars.,Taivas auf voller tähtiä.
3619,18356,Stop grumbling.,ലോpeta marmatus.
3758,18505,Money is the root of all evil.,Raha on kaiken pahan alku ja juuri.
3781,18531,I wish I were rich.,Olisinpa rikas.
3870,18631,Money talks.,Raha puhuu.
4377,19170,Don't be afraid.,പേടിക്കണ്ട.
4540,19342,"Fish, please.","കാലാ, നന്ദി."
4770,19587,Call an ambulance.,සෝita ambulanssi! | Soita ambulanssi. | Soittakaa ambulanssi.
4896,19729,Haste makes waste.,Hitaasti mutta varmasti.
4900,19733,Please hurry.,| Ole hyvä ja pidä kiirettä.
5007,19847,I haven't seen him for a long time.,Už jsem ho dlouho neviděl.
5224,20086,All that glitters is not gold.,"Všechn, mikä kiiltää, ei ole kultaa. | Ei kaikki ole kultaa mikä kiiltää. | Ei kaikki kultaa mikä kiiltää eikä kaikki toivoata mikä hohtaaa."
5235,20097,You are beautiful.,ඔයා ලස්සනයි. ඔයා ලස්සනයි. ඔයා ලස්සනයි.
5418,20288,I'm not feeling well.,Minulla on huono olo. | En voi ihan hyvin.
5471,20344,Take it easy.,| Rauhoitu hyvä inimene. | Rauhoitu.
5504,20379,Are you crazy?,നിനക്ക് വട്ടാണോ?
5514,20392,Never mind.,| Ei sen väliä. Ei mitään.
5520,20398,Forget it.,| Ei enää puhuta siitä!
5526,20405,I'm exhausted.,Я хочу быть счастливым. Я хочу быть счастливым. Я хочу быть счастливым. Я хочу быть счастливым.
5823,20719,Look out!,വാറോ!
6087,21003,I want something sweet.,Haluan jotain makeaaa.
6174,21098,"Check, please.","Lasku, kiitos. | Saisinko laskun."
6197,21124,I feel cold.,Minun on vilu. | Minulla on cold.
6326,21259,It's a piece of cake.,Se on easy nakki. | Se on pala  cakea. | Se on kakunpala. | Helppo nakki!
6333,21267,Have fun.,おいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおいおい
6711,21678,Do you remember?,Pamatuješ? | Pamatuješ? | Pamatuješ ty? | Pamatuješ ty?
6961,21938,I want to go abroad.,Haluan lähteä ulkomaille. | Haluan mennä ulkomaille.
7080,22061,Open up.,| Avatka.
7136,22121,All aboard!,Všechny kyytiin! | Nouskaa kyytiin! | Všechny laivaan!
7137,22122,"Good morning, everybody.",എല്ലാവരും ശ്രദ്ധിക്കൂ.
8687,23749,Flowers bloom.,Kukat kukoistavat.
8818,23884,There is no smoke without fire.,Ei savua ilman tulta ilman.
8859,23929,Do you like singing?,ඔයා ලවුලස්ටිස්ට් එක තියාගෙනද ඉන්නේ?
8883,23959,I'm free.,Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна. Я свободна.
9000,24081,How is your family?,Kokie šeimosesi voi? | Kokie šeimosellesi kuuluu?
9339,24435,Who do you think you are?,Kuka luulet olevasi?
9511,24616,Nothing happened.,Mitään ei tapahtunut.
9546,24657,Why didn't you come?,ඇයි ආවේ?
