,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
14,1295,You're in better shape than I am.,Your body is better than me.,You are in a better condition than me.,You are better than me.,You are in better shape than me.,You are better in shape than me.,You are better than me.,You are more in shape than me.,You are in a position more favorable than me.,You are in better shape than me.,You are in better shape than me.,You are in better shape than me.,You are more in shape than me.,You are in better shape than me.
15,1296,You are in my way.,You stopped my way.,You are in the way.,You are on my way.,You are on my way.,You are on my way.,You bother me!,You are on my side.,You are disturbing me.,You stand on my way.,You are on my way.,You are on my way.,You are in my way.,You are on my way.
16,1298,This will cost €30.,It costs thirty euros.,It will cost €30.,It costs thirty euros.,It will cost 30 €.,It will cost 30 euros.,It will cost €30.,It will cost 30 euros.,It will be 30 euros.,It will cost €30.,It will cost 30 euros.,It will cost 30 €.,It will cost €30.,It will cost 30 euros.
17,1299,I make €100 a day.,I earn a hundred euros a day.,I earn $100 per day.,I earn a hundred euros per day.,I earn $100 per day.,I earn 100 euros per day.,I earn €100 per day.,I earn 100 euros a day.,I earn 100 euros a day.,I earn $100 a day.,I earn a hundred euros a day.,I earn 100 euros a day.,I earn 100 euros a day.,I earn 100 euros a day.
20,1302,That won't happen.,That will not occur.,That will not happen.,This will not happen.,It won’t happen.,That will not happen.,It won’t happen.,That will not happen.,That will not happen.,This will not happen.,This will not happen.,That won’t happen.,He will not.,This will not happen.
22,1304,I'll do my best not to disturb your studying.,I will try as much as possible not to bother you.,I will try not to disturb you when learning.,I try to do my best not to interfere with your study.,I will do my best to not disturb your reviews.,I will try not to interfere with learning.,I will try not to interfere with learning.,I will do my best to not disturb your study.,Do not interfere with your study.,I will try not to interfere with science.,I will try not to prevent you from learning.,I’m going to try not to bother you in your studies.,I will do my best to not divide your work.,I will do everything I can to not prevent you from learning.
25,1308,I miss you.,I miss you very much.,I miss you.,I miss you.,I miss you.,I miss you.,I miss you.,I miss it.,I miss you not to see.,I miss you.,I miss you.,I strange you.,I missed you.,I am sad without you.
26,1309,I'll call them tomorrow when I come back.,I will contact them when I come back tomorrow.,I’ll call them tomorrow when I’m back.,I will call them tomorrow when I come back.,I will call them tomorrow when I come back.,I will call you tomorrow when I come back.,I will call them tomorrow when I come back.,I will call you tomorrow when I come back.,I’ll call you tomorrow when you’re home.,I will call them tomorrow when I come back.,I will call them tomorrow when I get home.,I will call you when I come back tomorrow.,When I come back tomorrow I will call them.,I will call them tomorrow when I come back.
28,1311,You should sleep.,You should go to sleep.,You should sleep.,You should sleep.,You should sleep.,You should sleep.,You need to sleep.,You should sleep.,It is better to sleep.,You should sleep.,It is better to sleep.,You should sleep.,You need to sleep.,You’re better sleeping.
29,1312,I'm going to go.,I will go.,I go.,I am leaving.,I will go there.,I go.,I will go.,I am going to go.,Go to go.,I am going to go.,I will go.,I will go.,I will go.,I will go.
30,1313,I told them to send me another ticket.,I asked them to send me a ticket.,I told them they had to send me a new ticket.,I told them to send me another flag.,I told them to send me another ticket.,I told you to send me a new ticket.,I told them to send me another ticket.,I told them to send me another ticket.,I asked them to send me another ticket.,I ordered them to send me another ticket.,I told them to send me another ticket.,I asked you to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,I thought I was a space physicist.,I wanted to become an astrophysicist.,Sometimes I wanted to be an astrophysicist.,It was a time when I wanted to be an astrophysicist.,I wanted to become a astrophysicist.,I wanted to be an astrophysicist.,I wanted to become an astrophysicist.,I wanted to be an astronomer for some time.,I wanted to be an astrophysicist.,I once wanted to be an astrophysicist.,I wanted to be astrophysical.,I once wanted to be an astrophysicist.,I wanted to be an astrophysicist.
34,1317,I never liked biology.,I never liked biology.,I never loved biology.,I never liked biology.,I never liked biology.,I never loved biology.,I never liked biology.,I never liked biology.,I don’t like biology.,I never liked biology.,I never loved biology.,I never liked biology.,I never loved biology.,I never liked biology.
35,1318,The last person I told my idea to thought I was nuts.,The last one who heard me saying my ideas thought I was crazy.,The previous person to whom I told my idea thought I was disturbed.,The last person to whom I told my idea was the opinion that I’m getting confused.,The last person to whom I told my idea thought I was cingled.,The last person I told my idea thought I would be stuck.,The last person I told him my idea thought I was a fool.,The last person to whom I told my idea thought I was crazy.,The one who told me the last time I thought I was wrong.,The last person I told about my thought considered me a variant.,The last person to whom I told my idea decided that I was crazy.,The last person to whom I told my idea thought I was crazy.,The last person I told me thought I was crazy.,The last person to whom I told about my idea decided that I was divine.
37,1320,It is unfortunately true.,Unfortunately this is true.,Unfortunately it is true.,"It’s right, I’m sorry.",This is unfortunately true.,Unfortunately it is true.,"Unfortunately, that is true.",Unfortunately it is true.,Unfortunately that is true.,This is unfortunately true.,"Unfortunately, this is true.",Unfortunately it is true.,Unfortunately this is true.,"Unfortunately, this is true."
39,1322,Most people think I'm crazy.,Most people think I’m crazy.,Most people think I’m crazy.,Most people consider me crazy.,Most people think I’m crazy.,Most people think I’m crazy.,Most people think I’m crazy.,Most people think I’m crazy.,Most people think I’m wrong.,Most people think I’m crazy.,Most people think I’m crazy.,Most people think I’m crazy.,Many people think I’m crazy.,Most people consider me divine.
42,1325,He's kicking me!,He is striking me!,He shoots me!,He takes me off!,He gives me a kick.,He goes to me!,He beat me!,He is playing me!,He is throwing me!,He copies me.,He pins me!,He is suffering me!!,He hits me!,He beat me with his feet.
43,1326,Are you sure?,Are you sure?,Do you know it sure?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Really?,Are you sure?,Are you sure?,Are you safe?,Are you sure?,Are you confident?
45,1328,"Oh, there's a butterfly!",There is a butterfly!,Here is a flower!,Here is a puppy!,There is a butterfly!,There is a butterfly!,Here is a butterfly!,There is a sheet!,There are butterflies!,There is a butterfly!,Here is a doll!,There is a butterfly!,There is a bear!,Look at the methyl!
46,1329,Hurry up.,Get fast!,Shoot up!,Keep a hurry.,Take a hurry!,Bee to you!,Take a hurry!,and sweat!,Take a hurry!,Take a hurry!,Go to torture!,Take a hurry!,Take a hurry!,faster than!
47,1330,It doesn't surprise me.,This does not surprise me.,It does not surprise me.,It does not surprise me.,It does not surprise me.,It does not surprise me.,It does not surprise me.,I am not surprised.,It is not surprising.,This does not surprise me.,This is not surprising.,I am not surprised.,He does not surprise me.,This is not strange.
49,1333,It depends on the context.,This depends on the situation.,This depends on the context.,It depends on the context.,It depends on the context.,This depends on the connection.,It depends on the context.,It depends on the context.,It depends on the context.,It depends on the context.,This depends on the context.,This depends on the context.,This depends on the connection.,This depends on the context.
51,1335,That's the stupidest thing I've ever said.,That’s the most stupid word I’ve ever said.,That’s the foolish thing I’ve ever said.,This is the most stupid thing I’ve ever said.,This is the most stupid thing I’ve ever said.,That’s the foolest thing I’ve ever said.,This is the most stupid thing I’ve ever said.,It’s the most stupid thing I’ve ever said.,I have never said this stupid thing.,This is the most stupid thing I’ve ever said.,This is the most stupid thing I’ve ever said.,It’s the most stupid thing I’ve ever said.,This is the most stupid thing I’ve ever said.,This is the greatest nonsense I’ve ever said.
53,1337,"When I grow up, I want to be a king.",I want to be a king when I grow old.,"When I grow up, I want to be king.","When I grow big, I want to be a king.","When I grow up, I want to be a king.","When I am big, I want to be a king.",I want to be a king when I grow up.,"When I’m big, I want to be a king.","When I grow up, I want to be a king.","When I grow up, I want to be a king.","When I grow up, I want to be a king.","When I grow up, I want to be a king.",I want to be a king when I grow up.,I want to be a king when I grow up.
56,1340,So what?,And then what?,So that?,What then?,And then?,Well and?,So what?,And then?,So what?,Well and what?,So what?,So what?,So what to do?,So what?
61,1345,I've always wondered what it'd be like to have siblings.,I always wondered what would be with brothers and sisters.,I have always wondered how it would be to have brothers and sisters.,I have always wondered what it would be if there were sisters.,I always wondered what it would be like to have brothers and sisters.,I always wondered how it would be to have brothers.,I always wondered how they feel when they have a brother or sister.,I always wondered how it would be to have brothers or sisters.,I always wonder what a brother will be.,I always wondered what it was like to have a family.,I always wondered how it was to have brothers and sisters.,I have always wondered how it will be to have brothers.,I always wondered what it was to have brothers.,I was always interested in how it was to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,"Even if I said three days and three nights, I could not explain everything clearly.",I need eternity to explain everything.,Everything explains eternity.,It would take me the eternity to explain everything.,It would take eternal time to explain everything.,It will take time and time to explain everything.,I want a life to explain everything.,I can’t explain everything unless it takes time.,We need eternity to explain everything.,I would need eternity to explain everything.,I would take an eternity to tell you everything.,I will explain everything forever.,I need eternity to explain everything.
64,1348,That's because you're a girl.,Because you are a girl.,That’s because you’re a girl.,This is because you are a girl.,Because you are a girl.,That’s because you’re a girl.,Because you are a girl.,Because you are a girl.,Because you are a girl.,Because you are a girl.,Because you are a girl.,That’s because you’re a girl.,This is because you are a girl.,Because you are a girl.
79,1363,I thought you liked to learn new things.,I like to learn new things.,I thought you would like to learn new things.,I thought you like learning new things.,I thought you loved to learn new things.,I thought you would like to learn new things.,I think you like to learn new things.,I thought you would like to learn new things.,I thought you wanted to learn something new.,I thought you would like to learn something new.,I thought you like to learn new things.,I thought you liked learning new things.,I thought he loved learning new things.,I think you like to learn new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their day-to-day life.,Most people write about their daily lives.,Many people write about everyday things.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people make daily notes about life.
82,1366,"In order to do that, you have to take risks.","To do that, you need to take a risk.","To do that, you have to take risks.",You have to take risks to do so.,"To do this, you have to take risks.","To do this, you have to take risks.","To do this, you have to take risks.","To do so, we need to take risks.",You have to take a risk to do so.,"To do this, you need to take a risk.",You have to risk to do that.,"To do that, you have to risk.","To do it, you have to take risk.",You have to risk to do that.
84,1368,Why do you ask?,What do you ask this?,Why do you ask that?,Why do you ask?,Why do you ask?,Why do you ask?,Why are you asking?,Why do you ask it?,Why are you listening?,Why do you ask?,Why are you asking?,Why do you ask it?,Why do you ask?,Why do you ask?
89,1373,How long did you stay?,How long did you stay?,How long have you stayed?,How long did you stay there?,How long have you stayed?,How long have you stayed?,How long have you stayed?,How long did you stay?,How long did you stay?,How long are you standing?,How much have you been there?,How long did you stay?,How long did you stay?,Have you been there for a long time?
95,1379,That is intriguing.,That is funny.,That makes curious.,and interesting.,It is intriguing.,It makes curious.,It is curious.,It is intriguing.,It is funny.,It is intriguing.,It is interesting.,That is intriguing.,It is interesting.,It is intriguing.
102,1386,I didn't like it.,I didn’t like it.,I didn’t like it.,I didn’t like it.,I didn’t like it.,I didn’t like it.,I didn’t like it.,I didn’t like it.,I couldn’t like it.,I didn’t like that.,I didn’t like it.,I didn’t like it.,I didn’t like him.,I didn’t like it.
111,1395,I have to go to bed.,I had to go to sleep.,I have to go to sleep.,I have to go to sleep.,I have to go to bed.,I have to go to bed.,I have to go to sleep.,I have to go to bed.,I have to sleep.,I have to go to sleep.,I have to go to sleep.,I have to go to bed.,I need to sleep.,I have to go to sleep.
118,1402,That wasn't my intention.,That is not my intention.,That was not my intention.,That was not my purpose.,This was not my intention.,That was not my intention.,That was not my intention.,It was not my intention.,I did not intend that.,I had no such intention.,This was not my intention.,It was not my intention.,It was not my intention.,I didn’t have such intention.
119,1403,Thanks for your explanation.,Thank you for your explanation.,Thank you for the explanation.,Thank you for your explanation.,Thank you for your explanation.,Thank you for your explanation.,Thanks for the explanation.,Thank you for your explanation.,Thank you for explaining me.,Thank you for the explanation.,Thank you for the explanation.,Thanks for your explanation.,Thank you for the explanation.,Thanks for the explanation.
123,1408,I don't know what you mean.,I don’t understand what you mean.,I don’t know what you mean.,I don’t know what you mean.,I don’t know what you mean.,I don’t know what you mean.,I don’t know what you mean.,I don’t know what you mean.,I don’t know what I want to say.,I don’t know what you mean.,I don’t understand what you mean.,I don’t know what you mean.,I don’t know what it means.,I don’t know what you mean.
132,1417,I need to ask you a silly question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a foolish question.,I have to ask you a foolish question.,I have to ask you a stupid question.
136,1421,No one will know.,No one will know.,No one will find out.,No one will know.,Nobody will know.,No one will know.,No one will know.,No one will know it.,No one knows it.,No one will know.,Nobody will know.,Nobody will know.,No one will know.,No one knows.
138,1423,It seems interesting to me.,It seems interesting to me!,That seems interesting to me!,It seems attractive to me.,It seems interesting to me!,It seems interesting to me!,It seems interesting to me!,It seems interesting to me!,It looks funny!,It seems interesting to me!,It seems interesting to me!,It seems interesting to me!,It seems interesting to me.,It seems interesting to me.
140,1425,I like candlelight.,I like the candle.,I love candle light.,I like the candle.,I like the light of candles.,I like candles.,I love the light of candles.,I like the light of candles.,I like the lights of rosacea.,I love the light of candles.,I love the light of candles.,I like the light of candles.,I love the candle.,I like light candles.
149,1434,I love you.,I love you.,I love you.,I love you.,I love you!,I love you.,I love you.,I love you.,I love you.,I love you.,I love you!,I love you.,I love you.,I love you.
151,1436,I am curious.,I am curious.,I am curious.,I am curious.,I am curious.,I am curious.,I am curious.,I am curious.,I am very curious.,I am very curious.,I am curious.,I have curiosity.,I am curious.,I am interested.
152,1437,Congratulations!,Congratulations to you.,Congratulations.,Congratulations!,and congratulations.,Congratulations to you.,Congratulations!,Congratulations!,Congratulations to you.,Congratulations!,My congratulations.,Congratulations!,Congratulations!,Welcome to!
153,1438,I don't want to wait that long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so much.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.,I don’t want to wait so long.
154,1439,Why don't you come visit us?,Why don’t you visit us?,Why don’t you come to visit us?,Why don’t you go?,Why don’t you come to see us?,Why do you not come to visit us?,Why don’t you come to visit us?,Why don’t you come to see us?,Do you come home?,Why don’t you visit us?,Why don’t you come to visit us?,Why don’t you come to visit us?,Why don’t you come to visit us?,Why do you come to us?
159,1445,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I don’t like chemistry.
165,1451,I have nothing better to do.,I have no other better thing to do.,I have nothing better to do.,There is nothing better to do.,I have nothing better to do.,I have nothing better to do.,I have nothing better to do.,I have nothing better to do.,There is nothing more than doing it.,I have nothing better to do.,I have nothing more to do.,I have nothing better to do.,I have nothing better to do.,I have nothing to do anymore.
166,1452,I can't explain it either.,I can’t explain either.,I can’t explain it either.,I can’t explain it either.,I can’t explain it either.,I can’t explain it either.,I can’t even explain it.,I cannot explain it.,I can’t even explain.,I can’t explain it either.,I can’t explain this either.,I can also not explain it.,I can’t explain it either.,I can’t explain it either.
167,1453,Everyone has strengths and weaknesses.,Everyone has its advantages and disadvantages.,Everyone has strengths and weaknesses.,Everyone has weaknesses and strengths.,Everyone has its strengths and weaknesses.,Everyone has his strengths and weaknesses.,Everyone has strong and weak points.,Everyone has strengths and weaknesses.,Everyone has its advantages and disadvantages.,Everyone has his strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has strong and weak sides.
172,1459,I don't know if I still have it.,I don’t know I have yet.,I don’t know if I still have it.,Maybe I still have it.,I don’t know if I still have it.,I don’t know if I still have it.,I don’t know if it is still in my possession.,I don’t know if I still have it.,I don’t know if I still have it.,I don’t know if I still have it.,I don’t know if I still have that.,I don’t know if I still have it.,I don’t know if I still have it.,I don’t know if I still have it.
174,1461,Don't underestimate my power.,Do not undermine my strength.,Do not underestimate my power.,Do not underestimate my strength.,Do not underestimate my power.,Do not underestimate my power.,Do not undermine my strength.,Do not underestimate my power.,Don’t look at my strength.,Do not underestimate my power.,Do not underestimate my strength.,Do not underestimate my power.,Don’t underestimate my power.,Do not underestimate my strength.
175,1462,My mom doesn't speak English very well.,My mother speaks English very well.,My mother doesn’t speak English very well.,My mother doesn’t speak English very well.,My mother doesn’t speak English very well.,My mother doesn’t speak English very well.,My mother does not speak English very well.,My mother doesn’t speak English very well.,My mother can’t speak English very well.,My mother doesn’t speak English very well.,My mother talks English not well enough.,My mom doesn’t speak English very well.,My mother does not speak English very well.,My mom doesn’t speak English very well.
181,1468,Everyone wants to meet you. You're famous!,"Everyone wants to see you, you are so famous!","Everyone wants to meet you, you are a celebrity!",Everyone wants to meet you. you are famous.,"Everyone wants to meet you, you are famous.","Everyone wants to know you, you are famous.","The whole world wants to meet you, you are famous!","Everyone wants to know you, you are famous!","Everyone wants to see you, you are famous!",Everyone wants to know you. you are famous!,"Everyone wants to meet you, you are a celebrity!","Everyone wants to know you, you are famous.","Everyone wants to meet you, you are famous!","Everyone wants to get to know you, you are famous!"
194,1481,"Tomorrow, he will land on the moon.",He will land on the moon tomorrow.,He will land on the moon tomorrow.,Tomorrow he will land on the moon.,Tomorrow he will run.,Tomorrow he will land on the moon.,Tomorrow he will land on the moon.,He will land on the moon tomorrow.,Tomorrow he will land on the moon.,He will land on the moon tomorrow.,Tomorrow he will go.,Tomorrow he will rise.,Tomorrow the moon will come down.,He will land on the moon tomorrow.
195,1482,I don't speak Japanese.,I don’t speak Japanese.,I am not speaking Japanese.,I am not speaking Japanese.,I am not speaking Japanese.,I am not speaking Japanese.,I am not speaking Japanese.,I don’t speak Japanese.,I can’t speak Japanese.,I am not speaking Japanese.,I am not speaking Japanese.,I am not speaking Japanese.,I cannot speak Japanese.,I don’t speak Japanese.
197,1484,Nobody understands me.,No one understands me.,No one understands me.,No one understands me.,No one understands me.,No one understands me.,No one understands me.,No one understands me.,No one knows about me.,No one understands me.,No one understands me.,No one understands me.,No one understands me.,No one understands me.
198,1485,I learned to live without her.,I learned to live without her.,I learned to live without her.,I learned to live without him.,I learned to live without her.,I learned to live without you.,I learned to live without her.,I learned to live without her.,I learned how to live without her.,I learned to live without her.,I learned to live without her.,I learned to live without her.,I learned to live without it.,I learned to live without her.
200,1487,I have too many things on my mind these days.,I have so much in my mind these days.,I have too many things in my mind at the moment.,I have too many things in mind today.,I have too many things in my mind these days.,"In these days, too many things go through my mind.",I have too much on my head at this moment.,I have too many things on my head these days.,I have been thinking too much recently.,I have a lot of things on my head recently.,In the last few days I have a lot of things in my head.,I have too many things in my mind these days.,There are so many things in my mind these days.,Last time I have a lot of different things in my mind.
201,1488,I just wanted to check my email.,I just wanted to check my email.,I just wanted to check my email.,I just wanted to read my email.,I just wanted to check my emails.,I just wanted to receive my emails.,I just wanted to check my email.,I just wanted to check my email.,I just wanted to check the email.,I just wanted to check the mail.,I just wanted to check the mailbox.,I just wanted to review my emails.,I just wanted to check my mail.,I just wanted to check my email box.
209,1496,It would take me too much time to explain to you why it's not going to work.,I explain why it doesn’t take a lot of time.,It would take me too much time to explain why it won’t work.,It would take me too much time to explain to you why it won’t work.,It would take me too much time to explain why it won’t work.,It would take too long to explain why it won’t work.,It will take me too much time to explain why it won’t work.,It would take me too much time to explain why it won’t work.,It will take a lot of time to explain why it doesn’t work.,Explaining why it doesn’t work would take me too much time.,It will take me too much time to explain why it won’t work.,It would take me too long to explain why it won’t work.,It takes me a lot of time to explain why it doesn’t work.,I spend too much time explaining why it doesn’t work.
214,1501,It can't be!,This is impossible!,That cannot be true!,can’t be!,This is not possible!,This is not possible!,It is really impossible!,It is not possible.,can’t exist!,It cannot be!,It cannot be!,It cannot be!,can’t!,It is impossible!
217,1504,Would you like something to drink?,What do you want to drink?,Do you want to drink?,Would you want something to drink?,Do you want something to drink?,Do you want something to drink?,Want to drink something?,Would you like something to drink?,Will you drink something?,Do you want something to drink?,Do you want to drink something?,Would you like to drink something?,Do you want something to drink?,Would you like to drink something?
234,1521,Please don't cry.,Please don’t cry.,Please don’t cry.,Do not cry.,Please don’t cry.,Please don’t cry.,Don’t cry please.,Please don’t cry.,Please do not cry.,"Do not cry, please.",Please don’t cry.,Please don’t cry.,Please don’t cry.,Please do not cry.
243,1530,Allen is a poet.,Allen is a poet.,Everyone is a poet.,Allen is a poet.,Allen is a poet.,Everyone is a poet.,Alan is a poet.,Allen is a poet.,Alan is a poet.,Allen is a poet.,Allen is a poet.,Allen is a poet.,Allen is a poet.,Alan is a poet.
248,1535,"If you see a mistake, then please correct it.",If you find something wrong please help correct.,"If you see a mistake, please correct it.","If you see a mistake, then correct it.","If you see a mistake, please correct it.","If you see a mistake, please correct it.","If you see a mistake, please fix it.","If you see a mistake, then correct it, please.","If you find a mistake, please correct it.","If you see a mistake, please correct it.","If you see a mistake, please correct it.","If you see an error, then correct it, please.","If you see a mistake, please fix it.","If you see a mistake, please fix it."
253,1540,Why don't we go home?,Why don’t we go home?,Why don’t we go home?,What if we went home?,What if we go home?,Why don’t we go home?,Why don’t we go home?,Why don’t we go home?,Will we go home?,Why don’t we go home?,Why not go home?,Why don’t we go home?,Why don’t we go home?,Why don’t we go home?
257,1544,One million people lost their lives in the war.,A million people lost their lives in the war.,A million people died in the war.,A million people lost their lives in the war.,A million people lost their lives during the war.,A million people lost their lives in the war.,A million people lost their lives in the war.,A million people lost their lives during the war.,A million people died in the war.,A million people were killed in the war.,One million people lost their lives in this war.,A million people lost their lives in the war.,A million people lost their lives in the war.,A million people lost their lives in the war.
270,1561,Did you miss me?,Do you think of me?,Have you missed me?,Did you miss me?,I missed you?,Did you miss me?,You miss me?,I missed you?,Did you think you miss me?,Have you missed me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you regret me?
272,1564,Thank you very much!,Very much thanks!,Very much thanks!,A lot of thanks.,Thank you a lot!,Thank you very much!,Thank you very much!,Thank you a thousand!,Thank you!,Thank you very much!,A lot of thanks!,A lot of thanks!,Thank you very much!,Thank you very much!
275,1567,It's a surprise.,This is a surprise.,It is a surprise.,It is a surprise.,It is a surprise.,This is a surprise.,This is a surprise.,It is a surprise.,I am surprised.,That is a surprise.,It is a surprise.,It is a surprise.,It is a surprise.,It is a surprise.
276,1568,That's a good idea!,It is a good idea!,That is a good idea!,It is a good idea!,This is a good idea!,This is a good idea!,This is a good idea!,It is a good idea!,It is a good idea!,This is a good idea!,This is a good idea!,This is a good idea!,A good idea!,This is a good idea!
285,1578,They say love is blind.,People say love is blind.,It is said that love is blind.,It is said that love is blind.,It is said that love is blind.,It is said that love makes you blind.,Love is blind.,It is said that love is blind.,You say “Happy Birthday.”,It is said that love is blind.,They say love is blind.,It is said that love is blind.,They say that love is blind.,They say love is blind.
296,1590,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italy?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Can you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?
299,1594,May I ask a question?,Can I ask a question?,Can I ask a question?,Can I ask a question?,Can I ask a question?,Can I ask a question?,Can I ask a question?,Can I ask a question?,Can I ask one question?,Can I ask a question?,Can I ask me a question?,Can I ask a question?,Can I ask a question?,Can I ask a question?
307,1602,You'll forget about me someday.,One day you will forget me.,One day you will forget me.,You will forget me one day.,You will forget me one day.,You will forget me one day.,One day you will forget me.,You will forget me one day.,I will forget about you one day.,You will ever forget me.,One day you will forget me.,You will forget me one day.,One day you will forget me.,You will ever forget me.
308,1603,That is rather unexpected.,It was very unfortunate.,That is quite unexpected.,It is quite unexpected.,This is quite unexpected.,This is quite unexpected.,This is quite unexpected.,It is quite unexpected.,It is suddenly.,This is quite unexpected.,quite unexpectedly.,That is rather unexpected.,It is quite unexpected.,This is quite unexpected.
311,1606,I couldn't have done it without you. Thank you.,"Without you I can’t do it, thank you.",Without you I’t have done it. thank you.,"I’t have done it without you, thank you.","I’t have done it without you, thank you.","I couldn’t do it without you, thank you.","I couldn’t do it without you, thank you.",I't be able to do it without you. thanks.,"I could not be without you, thank you.","I could not do it without you, thank you.","I couldn’t do it without you, thank you.",I could not have done it without you. thanks.,"I could not do it without you, thank you.","I couldn’t do it without you, thank you."
319,1615,Do whatever he tells you.,"What he tells you, what you do.",Do what he tells you to do.,Do whatever he orders.,Do everything he tells you.,Do whatever he commands you.,Do whatever he will tell you to do.,Do everything he tells you.,Let him do whatever he says.,Do what he tells you.,Do everything he tells you.,Do what I tell you.,Do whatever he says to you.,Do everything he tells you.
