,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
53,1337,"When I grow up, I want to be a king.",I want to be king when I grow up.,"Handia naizenean, errege izan nahi dut.","Handitzen naizenean, erregea izan nahi dut.",Handia naizenean erregea izan nahi dut.,"Kiam mi plenkreskos, mi volas esti reĝo.",Je veux être roi quand je serai grand.,"Kiam mi estos granda, mi volas esti reĝo.",내가 커지면 왕이 되고 싶어,Handia naizenean erregea izan nahi dut.,"Kiam mi plenkreskos, mi volas esti reĝo.","Nagusia naizenean, errege izan nahi dut.",I want to be a king when I grow up.,Nagusia naizenean errege izan nahi dut.
56,1340,So what?,What is it?,- So what?,What's the matter?,What about the rest of the world?,What's the matter?,"Alors, quoi?",What about it?,Zer esan nahi duzu?,What's the matter?,So what's up?,So what's the point?,So what's he supposed to do?,What's that?
61,1345,I've always wondered what it'd be like to have siblings.,I always wondered what it would be like to have siblings.,I always wondered what it would be like to have brothers and sisters.,I've always wondered what it would be like to have sisters.,Minkarhi hinkwayo a ndzi tivutisa leswaku swi ta va njhani ku va ni vamakwerhu.,I always wondered what it would be like to have siblings.,Je me suis toujours demandé ce que c'était d'avoir un frère ou une sœur.,I always wondered what it would be like to have brothers or sisters.,형제가 있다면 어떻게 될지 항상 생각했어요,I always wondered what it was like to have a sibling.,I've always wondered what it's like to have brothers and sisters.,I always wondered what it would be like to have brothers.,I've always wondered what it's like to have brothers.,I've always wondered what it was like to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,"I have been thinking about it for three days and three nights, and I am afraid that I will not be able to explain everything.",I need eternity to explain everything.,It would take forever to explain everything.,It would take me forever to explain everything.,It would take forever to explain everything.,Il faudra des siècles et des années pour tout expliquer.,It would take me a lifetime to explain everything.,제가 얼마나 오래 걸리더라도 모든 것을 설명할 수 없습니다.,It takes forever to explain everything.,It would take me forever to explain everything.,It would take me forever to explain everything to you.,It'll take forever to explain everything.,Betiko beharko dut dena azaltzeko.
64,1348,That's because you're a girl.,That's because you're a girl.,That's because you're a girl.,This is because you're a girl.,That's because you're a girl.,That's because you're a girl.,C'est parce que vous êtes une fille.,It's because you're a girl.,Neska bat zarelako.,That's because you're a girl.,That's because you're a girl.,That's because you're a girl.,That's because you're a girl.,Neska bat zarelako da.
79,1363,I thought you liked to learn new things.,I thought you liked learning new things.,I thought you liked learning new things.,I thought you liked learning new things.,I thought you liked learning new things.,"Mi pensis, ke vi ŝatus lerni novajn aferojn.",Je pensais que vous aimeriez apprendre de nouvelles choses.,I thought you liked learning new things.,"Mi pensis, ke vi volas lerni ion novan.",I thought you might want to learn something new.,I thought you liked to learn new things.,I thought you liked learning new things.,I thought you liked learning new things.,I thought you liked learning new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,La plej multaj homoj skribas pri sia ĉiutaga vivo.,Gehienek eguneroko bizitzaz idazten dute.,Aṭas n medden i d-yennun ɣef tudert-nsen n yal ass.,La plej multaj homoj skribas pri sia ĉiutaga vivo.,La plupart des gens écrivent sur leur vie quotidienne.,La plej multaj homoj skribas pri sia ĉiutaga vivo.,많은 사람들이 일상적인 것에 대해 문장을 쓰고 있습니다.,La plej multaj homoj skribas pri sia ĉiutaga vivo.,La plej multaj skribas pri sia ĉiutaga vivo.,La plej multaj homoj skribas pri sia ĉiutaga vivo.,Most people write about their daily lives.,Most people take notes about life every day.
82,1366,"In order to do that, you have to take risks.",You have to take risks to do that.,"To do that, you have to take risks.",You have to take risks to do it.,"Akken ad t-teḍru, ilaq ad t-teddmeḍ lxedma.","Por fari tion, vi devas riski.","Pour ce faire, il faut réduire les risques.","To do that, you have to take risks.",그리고 그 일을 하기 위해서는 위험을 감수해야 합니다.,"To do that, you have to take risks.",You have to take a chance to do that.,"To do that, you have to take a risk.","To do that, you have to take risks.",Arrisku bat hartu behar duzu hori egiteko.
84,1368,Why do you ask?,سەن ئۇنىڭدىن نېمىنى سورىماقچى بولىسەن؟,Zergatik galdetzen didazu hori?,Zergatik galdetzen didazu?,Why do you ask me that?,Zergatik galdetzen didazu?,Pourquoi me demandez-vous cela?,Zergatik galdetzen didazu?,Zergatik galdetzen didazu?,Zergatik galdetzen didazu?,Why do you ask?,Why do you ask?,Why do you ask?,Zergatik galdetzen duzu?
89,1373,How long did you stay?,How long have you been waiting?,How long did you stay?,How long were you there?,How long did you stay?,Kiom longe vi restis?,Combien de temps restez-vous?,How long did you stay?,Zenbat denbora?,How long have you been standing?,How long have you been there?,How long were you there?,How long have you been?,Ĉu vi estis tie longe?
95,1379,That is intriguing.,That's funny.,That makes me curious.,Interesgarria.,- Interesgarria da.,Jakinmina ematen dit.,C'est curieux.,Interesgarria da.,재미있어요,That's intriguing.,That's interesting.,That's intriguing.,She's attractive.,Tio estas interesa.
102,1386,I didn't like it.,I never liked it.,I didn't like it.,I didn't like it.,I didn't like it.,Ez zait gustatzen.,Je n'ai pas aimé ça.,I didn't like it.,저는 그 일을 좋아하지 않았습니다.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like him.,Mi ne ŝatis tion.
111,1395,I have to go to bed.,I have to go to sleep.,I'm going to bed.,I have to go to bed.,I have to go to bed.,Oheratu egin behar dut.,Je dois aller me coucher.,I have to go to bed.,Mi devas dormi.,I have to go to bed.,I have to go to bed.,I have to go to bed.,I need to get some sleep.,Lo egin behar dut.
118,1402,That wasn't my intention.,That's not what I meant.,That's not what I meant.,This wasn't my intention.,I didn't mean to.,I didn't mean to do that.,Ce n'était pas ce que je voulais dire.,I didn't mean to.,제가 그렇게 생각하지는 않았습니다.,I didn't mean to.,That wasn't my intention.,It wasn't my intention.,That's not what I meant.,I didn't mean to.
119,1403,Thanks for your explanation.,Thank you for your explanation.,Thanks for the explanation.,Thank you for explaining.,Thank you for explaining.,Eskerrik asko azalpenarengatik.,Merci d'avoir expliqué.,Thank you for explaining.,설명해주셔서 감사합니다.,Thank you for explaining.,Thanks for explaining.,Thanks for explaining.,Thanks for explaining.,Dankon pro via klarigo.
123,1408,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,Ez dakit zer esan nahi duzun.,I don't know what you mean.,Ez dakit zer esan nahi duzun.,Je ne sais pas ce que vous voulez dire.,I don't know what you mean.,무슨 말인지 모르겠어요,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.
132,1417,I need to ask you a silly question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,Je dois vous poser une question stupide.,I have to ask you a stupid question.,난 바보 같은 질문을 하고 있어,I have to ask you a stupid question.,I need to ask you a stupid question.,I need to ask you a stupid question.,I have to ask you a silly question.,Galdera txoroak egin behar dizkizut.
136,1421,No one will know.,No one will know.,No one's gonna know.,No one's gonna know.,Inork ez du jakingo.,No one will know.,Personne ne le saura.,No one will know.,아무도 몰라,No one will know.,No one will know.,No one will know.,No one will know.,Inork ez du jakingo.
138,1423,It seems interesting to me.,It's funny to me!,That seems interesting!,I think it's interesting.,I think it's interesting.,Tio ŝajnas al mi interesa!,Ça me semble intéressant!,It sounds interesting!,Dibertigarria da!,It seems interesting to me!,I find that interesting!,I find it interesting!,He seems interesting to me.,Tio ŝajnas al mi interesa.
140,1425,I like candlelight.,I love the light.,Mi ŝatas kandellumon.,Kandela-argia gustatzen zait.,Nekk ḥemmleɣ tafat n tfeǧǧigt.,Mi ŝatas kandellumon.,J'aime la lumière des bougies.,Mi ŝatas la kandelan lumon.,난 촛불을 좋아해요,I like the light of candles.,Mi ŝatas kandellumon.,Mi ŝatas kandellumon.,I like the candlelight.,Mi ŝatas la lumon de kandeloj.
149,1434,I love you.,I love you.,Maite zaitut.,Maite zaitut.,Maite zaitut!,Maite zaitut.,Je t'aime.,Maite zaitut.,Maite zaitut.,Maite zaitut.,Maite zaitut!,Maite zaitut.,I love you.,Mi amas vin.
151,1436,I am curious.,I'm curious.,Jakin-mina dut.,Jakinmina dut.,Jakin-mina dut.,Mi scivolas.,Je suis curieux.,Jakin-mina dut.,저는 호기심이 강합니다.,I'm very curious.,Mi estas scivolema.,Jakin-mina dut.,I'm curious.,Mi scivolas.
152,1437,Congratulations!,Congratulations to you.,Zorionak.,Zorionak!,Zorionak.,Zorionak.,¡Buenos días!,Gratulojn!,축하합니다.,Zorionak!,Zorionak.,Zorionak!,Zorionak!,"- Kaixo, lagunak."
153,1438,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,Je ne veux pas attendre si longtemps.,I don't want to wait that long.,그렇게 기다리지 않겠어,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.
154,1439,Why don't you come visit us?,Why don't you come and see us?,Why don't you come visit us?,Why don't you come and visit?,Why don't you come and see us?,Kial vi ne venas viziti nin?,Pourquoi ne pas venir nous rendre visite?,Why don't you come and visit us?,집에 오세요?,Why don't you come and visit us?,Why don't you come and visit us?,Why don't you come and visit us?,Why don't you come and visit us?,Zergatik zatoz hona?
159,1445,I hate chemistry.,I hate chemistry.,Mi malamas kemion.,Gorroto dut kimika.,I hate chemistry.,Mi malamas kemion.,Odio la química.,Gorroto dut kimika.,Ez zait kimika gustatzen.,Gorroto dut kimika.,Mi malamas kemion.,I hate chemistry.,I hate chemistry.,Mi ne ŝatas kemion.
165,1451,I have nothing better to do.,I have no better thing to do.,I have nothing better to do.,There's nothing better to do.,I don't have anything better to do.,Mi havas nenion pli bonan por fari.,Je n'ai rien de mieux à faire.,I have nothing better to do.,그 밖에 할 수 있는 일은 없습니다.,I have nothing better to do.,I have nothing else to do.,I have nothing better to do.,I have nothing better to do.,Mi havas nenion pli farendan.
166,1452,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain it either.,Je ne peux pas non plus l'expliquer.,I can't explain it either.,설명도 할 수 없어요,I can't explain that either.,I can't explain that either.,I can't explain it either.,I can't explain that either.,I can't explain it either.
167,1453,Everyone has strengths and weaknesses.,Each has its own strengths and weaknesses.,Ĉiu havas fortajn kaj malfortajn punktojn.,Everyone has strengths and weaknesses.,Yal yiwen yesɛa tazmert-is d tiɣawsiwin-is.,Ĉiu havas siajn fortojn kaj malfortojn.,Tout le monde a des points forts et des points faibles.,Ĉiu havas fortojn kaj malfortojn.,모든 사람이 장점과 단점을 가지고 있습니다.,Everyone has their strengths and weaknesses.,Ĉiu havas fortajn kaj malfortajn flankojn.,Ĉiu havas fortojn kaj malfortojn.,Everyone has strengths and weaknesses.,Ĉiu havas fortojn kaj malfortojn.
172,1459,I don't know if I still have it.,I don't know if I have yet.,I don't know if I have it.,I may still have it.,I don't know if I still have it.,I don't know if I have it.,Je ne sais pas si je l'ai encore.,I don't know if I still have it.,아직 가지고 있는지 모르겠어요,I don't know if I still have it.,I don't know if I still have that.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.
174,1461,Don't underestimate my power.,Don't underestimate my strength.,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my power.,Ne subtaksu mian potencon!,Ne méprise pas mon pouvoir.,Don't underestimate my power.,내 힘을 과소평가하지 마,Don't underestimate my power.,Don't underestimate my strength.,Don't underestimate my power.,Don't underestimate my power.,Ez gutxietsi nire indarra.
175,1462,My mom doesn't speak English very well.,I don't speak very well English.,Mia patrino ne tre bone parolas la anglan.,Mia patrino ne tre bone parolas la anglan.,Yemma ur tettmeslay ara mliḥ taglizit.,Mia patrino ne tre bone parolas la anglan.,Ma mère ne parle pas très bien l'anglais.,Mia patrino ne tre bone parolas la anglan.,Mia patrino ne tre bone parolas la anglan.,Mia patrino ne tre bone parolas la anglan.,Mia patrino ne parolas la anglan sufiĉe bone.,Mia patrino ne tre bone parolas la anglan.,Mia patrino ne tre bone parolas la anglan.,Mia patrino ne tre bone parolas la anglan.
181,1468,Everyone wants to meet you. You're famous!,"Everyone wants to see you, you're so famous!","Everybody wants to meet you, you're a celebrity!",Denek ikusi nahi zaituzte.,"Everybody wants to meet you, you're famous!",Denek ezagutu nahi zaituzte.,"Le monde entier veut te rencontrer, tu es célèbre!","Everybody wants to know you, you're famous!",Denek zu ezagutzea nahi dute. Ospetsuak zarete.,Denek ezagutu nahi zaituzte.,"Everybody wants to meet you, you're a celebrity!",Everybody wants to meet you. You're famous!,Everybody wants to meet you. You're famous!,"Denek ezagutu nahi zaituzte, famatua zara!"
194,1481,"Tomorrow, he will land on the moon.",He'll land on the moon tomorrow.,Morgaŭ li surteriĝos sur la lunon.,"Tomorrow, he's going to land on the moon.",He's going to line up tomorrow.,Morgaŭ li surteriĝos sur la luno.,"Demain, il atterrira sur la Lune.",Morgaŭ ĝi alteriĝos sur la lunon.,내일 그는 달에 착륙할 거야,He's going to land on the moon tomorrow.,Morgaŭ li lunas.,"Tomorrow, he'll be on the loose.","Tomorrow, it's going to land on the moon.",Morgaŭ ĝi surlundiĝos sur la Luno.
195,1482,I don't speak Japanese.,I don't speak Japanese.,Mi ne parolas la japanan.,Ez dut japonieraz hitz egiten.,Ur ttmeslayeɣ ara tajapunit.,Mi ne parolas la japanan.,Je ne parle pas japonais.,Mi ne parolas la japanan.,Mi ne parolas la japanan.,Mi ne parolas la japanan.,Mi ne parolas la japanan.,Mi ne parolas la japanan.,Mi ne povas paroli japane.,Mi ne parolas la japanan.
197,1484,Nobody understands me.,No one understands me.,Inork ez nau ulertzen.,Inork ez nau ulertzen.,Inork ez nau ulertzen.,Neniu komprenas min.,Personne ne me comprend.,Inork ez nau ulertzen.,아무도 날 알아주지 않을거야,Inork ez nau ulertzen.,Neniu komprenas min.,Inork ez nau ulertzen.,No one understands me.,Neniu komprenas min.
198,1485,I learned to live without her.,I learned not to depend on her.,I've learned to live without her.,I learned to live without him.,Slemdeɣ ad zedɣeɣ mebla-s.,Mi lernis vivi sen ŝi.,J'ai appris à vivre sans elle.,I've learned to live without her.,난 그녀 없이 살아갈 방법을 배웠습니다.,I've learned to live without her.,Mi lernis vivi sen ŝi.,Mi lernis vivi sen ŝi.,I've learned to live without him.,Mi lernis vivi sen ŝi.
200,1487,I have too many things on my mind these days.,I've had too much on my mind these days.,I've got too much on my mind right now.,I have too many things on my mind these days.,I've got too much on my mind these days.,I'm thinking too much these days.,Je suis trop occupé à ce moment-là.,I've got too much to worry about these days.,요즘은 너무 많은 생각을 하고 있어요.,I've been having too much on my mind lately.,I've been having a lot of things going on in my head these last few days.,I've got too much on my mind these days.,I've got a lot on my mind these days.,I've been thinking too much of everything lately.
201,1488,I just wanted to check my email.,I just wanted to check my email.,I just wanted to check my e-mail.,I just wanted to read my e-mail.,I just wanted to check my emails.,I just wanted to get my e-mails.,Je voulais juste vérifier mon e-mail.,I just wanted to check my e-mail.,메일을 확인하고 싶었어요,I just wanted to check the mail.,I just wanted to check the mailbox.,I just wanted to check my emails.,I just wanted to check my e-mail.,I just wanted to check my email.
