,index,english,translated_from_chinese,translated_from_dutch
123,1408,I don't know what you mean.,I don’t know what you mean.I don’t know what you mean.,I don’t know what you mean.
132,1417,I need to ask you a silly question.,I have to ask you a stupid question.,I have to ask you a stupid question.
136,1421,No one will know.,"No one will know, no one will know.",No one will find out.
138,1423,It seems interesting to me.,It seems interesting to me!,That seems interesting to me!
140,1425,I like candlelight.,I like the candle.,I love candle light.
149,1434,I love you.,"I love you, I love you, I love you.","I love you, I love you, I love you, I love you, I love you, I love you, I love you."
151,1436,I am curious.,I am curious.,I am curious.
152,1437,Congratulations!,Congratulations to you. ♰ Congratulations to you ♰ Congratulations to you! ♰ Congratulations to you! ♰ Congratulations to you!,Congratulations. <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
153,1438,I don't want to wait that long.,I don’t want to wait so long.,I don’t want to wait so long.
154,1439,Why don't you come visit us?,Why don’t you visit us?,Why don’t you come to visit us?
159,1445,I hate chemistry.,I hate chemistry.,I hate chemistry.
165,1451,I have nothing better to do.,I have no other better thing to do.,I have nothing better to do.
166,1452,I can't explain it either.,"I can’t explain it, I can’t explain it either.","I can’t explain it either, I can’t explain it either."
167,1453,Everyone has strengths and weaknesses.,Everyone has its advantages and disadvantages.,Everyone has strengths and weaknesses.
172,1459,I don't know if I still have it.,I don’t know I have yet.,I don’t know if I still have it.
174,1461,Don't underestimate my power.,"Don’t underestimate my strength, don’t underestimate my strength.","Don’t underestimate my power, don’t underestimate my power."
175,1462,My mom doesn't speak English very well.,My mother speaks English very well.,My mother doesn’t speak English very well.
181,1468,Everyone wants to meet you. You're famous!,"Everyone wants to see you, you are so famous!","Everyone wants to meet you, you’re a celebrity, everyone wants to meet you, you’re famous, everyone wants to meet you, you’re famous."
194,1481,"Tomorrow, he will land on the moon.",Tomorrow he will land on the moon and tomorrow he will land on the moon.,"Tomorrow he will land on the moon, and tomorrow he will land on the moon."
195,1482,I don't speak Japanese.,I don’t speak Japanese.I don’t speak Japanese.I don’t speak Japanese.,I am not speaking Japanese.
197,1484,Nobody understands me.,"No one understands me, no one understands me, no one understands me.",No one understands me.
198,1485,I learned to live without her.,I learned to live without her.,"I have learned to live without her, I have learned to live without her."
200,1487,I have too many things on my mind these days.,I have so much in my mind these days.,I have too many things in my mind at the moment.
201,1488,I just wanted to check my email.,I just wanted to check my email.,I just wanted to check my email.
209,1496,It would take me too much time to explain to you why it's not going to work.,I explain why it doesn’t take a lot of time.,It would take me too much time to explain why it won’t work.
214,1501,It can't be!,It is impossible! it is impossible!,That cannot be true!
217,1504,Would you like something to drink?,Do you want something to drink? - Do you want something to drink?,Do you want something to drink? Do you want something to drink? Do you want something to drink? Do you want something to drink?
234,1521,Please don't cry.,Please don’t cry.,Please don’t cry.
243,1530,Allen is a poet.,Allen is a poet.,Everyone is a poet.
248,1535,"If you see a mistake, then please correct it.","If you find a mistake, please help correct it. If you find a mistake, please correct it.","If you see a mistake, please correct it.If you see a mistake, please correct it."
253,1540,Why don't we go home?,Why don’t we go home?,Why don’t we go home?
257,1544,One million people lost their lives in the war.,A million people lost their lives in the war.,A million people died in the war.
270,1561,Did you miss me?,Do you think of me?,Have you missed me? you missed me?
272,1564,Thank you very much!,Thank you! thank you! thank you very much!,"Thank you very much, thank you very much, thank you very much, thank you very much, thank you very much."
275,1567,It's a surprise.,This is a surprise.,It is a surprise.
276,1568,That's a good idea!,It is a good idea!,That is a good idea!
285,1578,They say love is blind.,People say love is blind.,It is said that love is blind.
296,1590,Do you speak Italian?,Do you speak Italian? do you speak Italian?,Do you speak Italian? do you speak Italian? do you speak Italian?
299,1594,May I ask a question?,Can I ask a question?,Can I ask a question?
307,1602,You'll forget about me someday.,"One day you will forget me, and one day you will forget me.",One day you will forget me.
308,1603,That is rather unexpected.,It was very unfortunate.,That is quite unexpected.
311,1606,I couldn't have done it without you. Thank you.,"Without you I can’t do it, thank you.",Without you I’t have done it. thank you.
319,1615,Do whatever he tells you.,"What he tells you, what you do.","Do what he tells you to do, do whatever he tells you."
323,1619,May I talk to Ms. Brown?,Can I talk to Miss Brown?,Can I talk to Mrs. Brown?
326,1622,What do you want?,What do you want? what do you want?,What do you want? what do you want? what do you want? what do you want?
333,1630,I have a dream.,I had a dream.,I have a dream.
347,1644,You look stupid.,You look stupid.,You look stupid.
349,1646,My name is Jack.,"My name is Jack, my name is Jack.","My name is Jack, my name is Jack."
350,1647,I like it very much.,I really like it.,I like it very much.
352,1649,How do you say that in Italian?,What is the word in Italian?,How do you say that in Italian? - How do you say that in Italian? - How do you say that in Italian? - How do you say that in Italian?
354,1651,Is it far from here?,Is it far from here? is it far from here?,Is it far from here? is it far from here?
355,1652,These things aren't mine!,These things are not mine!,These things are not of me!
357,1654,Would you like to dance with me?,Do you want to dance with me?,Do you want to dance with me? - Do you want to dance with me? - Do you want to dance with me?
359,1659,It's not my fault!,This is not my fault!,It is not my fault!
363,1663,Where are the showers?,Where is the bathroom?,Where are the shoes?
366,1666,I have lost my wallet.,I lost my wallet.,"I lost my wallet, I lost my wallet."
376,1679,Thanks to you I've lost my appetite.,"Thanks to you, I have no appetite.",It’s your fault that I’m losing my appetite. ♰ Thanks to you I’ve lost my appetite. ♰ Thanks to you I don’t have any trace anymore.
386,1689,It is very hot today.,It is hot today.,It is very warm today.
394,1698,Look at me when I talk to you!,I look at you when I talk to you!,Look at me when I speak to you. - Look at me when I speak to you.
401,1705,I'm tired.,"I’m tired, I’m tired, I’m tired.",I am tired.
404,1709,When do we arrive?,When are we arriving?,When will we be there?
405,1710,"The check, please.",to pay.,"The account, please. the account please."
407,1712,I have a headache.,I have a headache. I have a headache. I have a headache.,I have a headache.I have a headache.
411,1716,How are you? Did you have a good trip?,What do you think? travel is fun?,How is it with you? have you had a good trip? how is it with you? have you had a good trip?
412,1717,I don't feel well.,I feel uncomfortable.,"I don’t feel good, I don’t feel good."
413,1718,Call the police!,Call the police! call the police!,Call the police! call the police!
414,1719,It's too expensive!,It’s too expensive! it is too expensive!,That is too expensive!
418,1723,Merry Christmas!,Happy Christmas! Happy Christmas! Happy Christmas! Happy Christmas!,Happy Christmas! Happy Christmas!
439,1744,"The past can only be known, not changed. The future can only be changed, not known.","We can look back to the past, but we cannot change the past; we can change the future, but we cannot predict the future.","The past can only be known, not changed; the future can only be changed, not known; the past can be known, but not changed; the future can be changed, but not known."
449,1754,I'm starving!,"I’m hungry, I’m hungry!",I will die of hunger!
460,1765,I'm undressing.,"I’m out of clothes, I’m out of clothes.",I dressed out.
466,1771,The wind calmed down.,The wind stopped.,The wind was leaving.
471,1776,"Who searches, finds.",Those who are searching can finally be found.,Whoever seeks will find; whoever seeks will find; whoever seeks will find; whoever seeks will find; whoever seeks will find.
472,1777,Rome wasn't built in a day.,"Rome is not built on a day; it is three feet frozen, not a day cold.",Rome is not built in one day.
478,1783,That was the best day of my life.,It was the most beautiful day in my life.,It was the most beautiful day of my life.
479,1784,I don't understand German.,I don’t understand German.,I don’t hate the German.
480,1785,I made my decision.,I have decided.,"I have made my decision, I have made a decision."
481,1786,I give you my word.,I guarantee to you.,"I give you my word, I give you my word, I promise it, I promise it to you."
507,1813,It's cold.,The sky is cold.The sky is cold.,It is cold.
508,1814,I'm thirsty.,I was thirsty.,"I’m thirsty, I want to drink."
522,1829,Life is beautiful.,"Life is beautiful, life is beautiful, life is beautiful.","Life is beautiful, life is beautiful!"
554,1862,It is raining.,"It is rain, it is rain.",It is rain.
568,1876,I went to the zoo yesterday.,I went to the zoo yesterday.,I went to the zoo yesterday I went to the zoo yesterday.
713,2022,I dreamt about you.,I dream of you.,I dreamed of you.
715,2024,I won't lose!,I won’t lose!,I will not lose!
731,2040,I'm almost done.,I almost finished.,I am almost ready.
752,2061,It is never too late to learn.,"Living to old, learning to old.",It is never too late to learn.
757,2066,What are you talking about?,What are you talking about? what are you talking about?,What are you talking about? ♰ What are you talking about? ♰ What are you talking about? ♰ What are you talking about? ♰ What are you talking about?
767,2077,"Thank you. ""You're welcome.""","“Thank you, don’t thank you.”",Thank you. “Request done.” “No thanks.” “Request done.” “Request done.”
769,2079,Winter is my favorite season.,Winter is my favorite season.,The winter is my favorite season.The winter is my favorite season.
786,2096,He disappeared without a trace.,"He didn’t leave any trace and disappeared, and he didn’t leave any trace.","He has gone with the northern sun, he has disappeared without leaving a trace, he has disappeared without a trace, he has disappeared without a trace."
801,2111,She was wearing a black hat.,She wears a black hat.,She wore a black hat.
824,2136,Where is the bathroom?,Where is the washroom?,Where is the toilet? - Where is the toilet? - Where is the bathroom?
856,2168,Where are you?,Where are you?,Where are you? where are you?
862,2175,No way!,It’s not possible! it’s no door!,It is not true! it is not possible! it is not a matter of!
902,2216,Don't forget about us!,Do not forget us!,Do not forget us!
934,2249,I need your advice.,I need your opinion.,I need your advice. I need your advice. I need your advice. I need your advice.
987,2302,Whose is this?,Who is this?,Who is this?
995,2310,Do you like rap?,Do you like to sing music?,Do you like rap?
1003,2319,I don't know him.,I don’t know him.,I don’t know him.
1006,2322,It's not important.,"It doesn’t matter, it doesn’t matter.","It’s not important, it doesn’t give anything."
1007,2323,I don't care.,"It doesn’t matter me, it doesn’t matter me.",It doesn’t matter to me. <unk> It doesn’t matter to me. <unk> It doesn’t matter to me. <unk> It doesn’t matter to me. <unk> It doesn’t matter to me. <unk> It doesn’t matter to me. <unk> It doesn’t matter to me. <unk> It doesn’t matter to me. <unk> It doesn’t matter to me.
1012,2329,Fifty-two per cent of British women prefer chocolate to sex.,52% of British women prefer chocolate over sex.,Twenty-five percent of British women prefer chocolate than sex.
1026,2344,Better late than never.,Late to late is not better than always.Late to late is not better than always.,Better late than never.Better late than never.Better late than never.Better late than never.
1027,2345,"Like father, like son.",His father will have his son.,"As the father, as the son. as the father, as the son. as the apple falls not far from the tribe."
1030,2350,All cats are grey in the dark.,Cats are gray in the dark.,"In the dark, all cats are grey."
1032,2352,No news is good news.,No news is good news.,"No news is good news, no news is good news."
1048,2368,He's a good person.,"He is a good man, he is a good man.","He is a good man, he is a good man."
1050,2370,Enjoy your meal!,I wish you good appetite!,Eat deliciously!
1057,2378,Make yourself at home.,Just like at home.,Do as if you are at home.
1068,2389,I don't want it anymore.,I never wanted it anymore.,I don’t want it anymore.
1080,2401,I thought it was true.,I thought that was true.,I thought it was true.
1088,2409,I went to drink a beer with friends.,I went to drink a cup of beer with a friend.,I went to drink a beer with friends.
1091,2412,They quarreled.,They have disputed.,They made disputes.
1092,2413,I ate caviar.,I have eaten fish.,I am a kaviaar.
1097,2418,How much is it?,How much is it? how much is it? how much is it? how much is it?,How much is it? how much is it?
1101,2423,Did you leave a tip?,Have you paid a small fee?,Have you given a fake?
1102,2424,Don't forget the ticket.,"Don’t forget the tickets, don’t forget the tickets.",Do not forget the ticket.
1107,2429,I want you to tell me the truth.,I want you to tell me the truth.I want you to tell me the truth.,I want you to tell me the truth. I want you to tell me the truth. I want you to tell me the truth.
1115,2437,I talked to friends.,I talked with friends.,I talked to friends.
1122,2444,Tell me what happened.,Tell me what’s happening. – What’s happening to me?,Tell me what has happened.
1127,2449,It's more difficult than you think.,It is harder than you imagine.,"It’s harder than you think, it’s harder than you think, it’s harder than you think."
1130,2453,I don't agree with him.,I disagree with him.,I do not agree with him.
1150,2474,I'd rather be a bird than a fish.,I prefer a bird to win a fish.,I would rather be a bird than a fish.
1169,5944,Tell me about it!,Tell me about that.,Tell me about it!
1176,5999,I have to take medicine.,I have to take the medicine.,I need to use medications.
1182,6019,I work even on Sunday.,I even work on weekends.,I work even on Sunday.
1184,6024,It happened a long time ago.,This happened many years ago.,It happened a long time ago.
1185,6026,Where have you been?,Where have you been?,Where did you go? where did you go? where did you go? where did you go? where did you go?
1188,6034,It's been snowing all night.,It was snowed all night.,It snows all night.
1198,6054,"He was born on July 28th, 1888.",He was born on 28 July 1888.,He was born on 28 July 1888.
1207,6130,She is mad at me.,She was angry with me.,She is angry on me.
1249,9905,You can rely on him.,You can rely on him.,"You can rely on him, you can rely on him."
1260,13335,Did you meet her?,Have you ever met her?,Have you met her?
1333,15859,Can you ride a horse?,Are you going to ride a horse?,Can you ride? can you ride? can you ride? can you ride? can you ride? can you ride?
1354,15882,Do you live here?,Are you living here?,Are you here? are you here? are you here? are you here?
1376,15904,Who are you waiting for?,Who are you waiting for?,Who are you waiting for?
1384,15913,I'm proud of you.,I am honored with you.,"I am proud of you, I am proud of you, I am proud of you."
1389,15918,You look bored.,You look tired.,You look tired.
1460,15993,You work hard.,You work hard.,You work hard.
1477,16010,Are you writing a letter?,Are you writing? and are you writing?,Do you write a letter?
1487,16020,Can you drive a car?,Do you drive? do you drive? do you drive?,Can you drive? can you drive?
1490,16023,You should apologize.,You should apologize.,You should ask for apologies.
1580,16117,Why were you absent yesterday?,Why did you disappear yesterday?,Why was you absent yesterday?
1584,16122,You must do your best.,You have to do the best.,You have to do your best.
1591,16130,You look pale today.,You look very blank today.,You see it bleek from today. <unk> You see it bleek from today. <unk> You see some bleekies today.
1614,16159,You have to go.,You have to go.,You have to go.
1616,16161,You'd better not go.,It is better not to go.,"You can’t do it, you can’t do it."
1619,16164,Are you happy?,Are you happy? are you happy? are you happy? are you happy?,Are you happy? <unk> Are you happy? <unk> Are you happy? <unk> Are you happy? <unk> Are you happy? <unk> Are you happy? <unk> Are you happy?
1670,16216,You broke the rule.,You broke the rules.,You have broken the rule.
1678,16224,You look pale.,You look very white.,You look clear.
1699,16246,Will you stay at home?,Will you stay at home?,Will you stay at home? will you stay at home?
1708,16255,What are you looking for?,What are you looking for?,Where are you looking for? ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰ ♰
1709,16256,What are you looking at?,What do you see? what do you see? what do you see? what do you see? what do you see? what do you see? what do you see?,What do you look at? what do you look at? what do you look at?
1711,16259,What do you intend to do?,What do you want to do?,What are you planning to do? <unk> What are you planning to do? <unk> What were you planning to do?
1714,16263,What do you want to be?,What do you want to be? what do you want to be?,What do you want to be?
1715,16265,What will you have?,What will you have?,What will you take?
1718,16268,What woke you up?,What awakened you?,What did you wake up? <unk> What did you wake up? <unk> What did you wake up? <unk> What did you wake up? <unk> What did you wake up? <unk> What did you wake up?
1731,16283,You dropped your pencil.,You have removed your pen.,You have caught your pot.
1736,16289,Do you study English?,Do you learn English? do you learn English?,Are you studying English?
1744,16300,Can you swim?,Can you swim? can you swim?,Can you swim?
1859,16428,Can you speak French?,Do you speak French? do you speak French?,Can you speak French? can you speak French? can you speak French? can you speak French?
1877,16449,Do you want anything?,What do you want?,Do you want something? do you want something? do you want something?
1899,16475,You look very tired.,You look very tired.You look very tired.,"You look very tired, you look very tired, you look very tired."
1912,16491,How about you?,What are you? what are you? what are you? what are you? what are you? what are you?,And you? and you? and you? and you?
1913,16492,What are you doing?,What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing? <unk> What are you doing?,What do you do? <unk> What do you do? <unk> What do you do? <unk> What do you do? <unk> What do you do? <unk> What do you do? <unk> What do you do? <unk> What do you do? <unk> What do you do?
1941,16525,You have many books.,"You have a lot of books, you have a lot of books, you have a lot of books.","You have many books, you have many books, you have many books."
2001,16590,Did you watch the game?,Have you watched the competition?,Have you seen the match?
2116,16715,You can study here.,You can learn here.,"You can study here, you can study here, you can study here, you can study here."
2144,16747,Aren't you happy?,Are you not happy?,Are you not happy? are you not happy?
2168,16774,What time do you usually get up?,When do you usually wake up? when do you usually wake up?,How long do you get up? how long do you get up?
2328,16945,Compare your answer with Tom's.,Compare you and Tom’s answers.,Compare your answer to that of Tom.
2331,16948,Your answer is right.,Your answer is correct.Jean your answer is correct.Jean your answer is correct.,"Your answer is right, your answer is right, your answer is right."
2351,16969,May I use your phone?,Can I use your phone? can I use your phone?,Can I use your phone?
2375,16994,It's none of your business.,"It’s not about you, it’s not about half money.","That’s not your business, that’s not your business, that’s not your business."
2376,16996,Mind your own business!,Take care of your own affairs. 😂😂😂,Engage in your own affairs!
2392,17013,Go back to your seat.,Back to your seat.,Go back to your chair.
2440,17065,Write your address here.,Write your address here.,Write your address here.
2447,17073,I received your letter yesterday.,I received your letter yesterday.,"I received your letter yesterday, I received your letter yesterday."
2450,17076,Are your hands clean?,Are your hands clean?,Are your hands clean?
2472,17101,Your bicycle is similar to mine.,Your bike is very similar to me.,Your bike is like that of me.
2474,17103,Is your watch correct?,Your clock is not proper?,Does your clock work correctly?
2480,17110,Where are your things?,Where is your thing? where is your thing? where is your thing? where is your thing? where is your thing?,Where are your things? - Where are your things? - Where are your things? - Where are your things?
2516,17150,Where do you come from?,Which country are you? Which country are you? Which country are you?,Where do you come from? - Where do you come from?
2555,17190,Make your choice.,Make your choice.,"Make your choice, make your choice, make your choice."
2562,17198,I know what you mean.,"I know what you mean, I know what you mean.",I know what you want to say I know what you mean.
2643,17283,Where is your school?,Where is your school?,Where is your school?
2703,17344,You're on the right track.,Your thought is right. and you are on the exact orbit.,"You are on the right path, you are on the right path, you are on the right path, you are on the right path, you are on the right path, you are on the right path."
2705,17347,Your time is up.,Your time has arrived.,"Your time is on, your time is on."
2713,17355,Your pen is better than mine.,Your pen is better than me.,Your pen is better than my.
2715,17357,Your plan sounds great.,Your plan sounds bad.,"Your plan sounds great, your plan sounds great."
2749,17395,Your cake is delicious.,Your cake is delicious. your cake is delicious.,Your cake is delicious.
2754,17400,Here is your bag.,Your bag is here.,Here is your bag.
2774,17421,I believe you.,I believe you.,I believe you.
2776,17423,I don't agree with you.,I disagree with your opinion.,"I do not agree with you, I do not agree with you."
2880,17534,You deserve the prize.,You should get this prize.,"You deserve the prize, you deserve the prize, you deserve the prize."
2884,17538,Green suits you.,Green is suitable for you.,Green is good.
3032,17707,I want you.,I want you.,I want you.
3055,17735,I need you.,I need you.,"I need you, I need you, I need you, I need you."
3082,17764,Show me what you bought.,Let me see what you bought.,"Let me see what you bought, let me see what you bought."
3110,17795,I guess you are right.,I guess you are right.,I suspect you are right.
3143,17829,I love you more than you love me.,I love you more than you love me.I love you more than you love me.,I love you more than you of me.
3185,17881,I know you are rich.,I know you are rich.,"I know you are rich, I know you are rich, I know you are rich, I know you are rich, I know you are rich."
3310,18017,I don't blame you.,I do not blame you.,I do not blame you.
3361,18073,You don't understand.,"You don’t understand, you don’t understand, you don’t understand, you don’t understand.","You don’t understand it, you don’t understand it, you don’t understand it."
3552,18278,The sky is full of stars.,"The sky is full of stars, the sky is full of stars.",The sky is filled with stars.
3619,18356,Stop grumbling.,Stop complaining.,Stop with Morren.
3758,18505,Money is the root of all evil.,Money is the source of all sin.,Money is the root of all evil.
3781,18531,I wish I were rich.,I hope I have money.,"I wanted to be rich, I wanted to be rich, I wanted to be rich, I wanted to be rich."
3870,18631,Money talks.,Money is all.,Money runs the world.
4377,19170,Don't be afraid.,"Don’t be afraid, don’t be afraid!",Do not be afraid.
4540,19342,"Fish, please.",Fish and thank you.,Fish please.
4770,19587,Call an ambulance.,It is called an ambulance.,"Call an ambulance, call an ambulance."
4896,19729,Haste makes waste.,The desire does not reach.,A hurry is rarely good.
4900,19733,Please hurry.,Please take time.,"Please shoot, please shoot, please shoot, please shoot."
5007,19847,I haven't seen him for a long time.,I have not seen him for a long time.,I have not seen him for a long time.
5224,20086,All that glitters is not gold.,The lighting is not necessarily gold; the lighting of the surface is not enough.,"It’s not all gold that blins, it’s not all gold that blins."
5235,20097,You are beautiful.,You are beautiful.,"You are beautiful, you are beautiful, you are beautiful, you are beautiful, you are beautiful, you are beautiful."
5418,20288,I'm not feeling well.,I feel uncomfortable.I feel uncomfortable.,"I don’t feel good, I don’t feel good."
5471,20344,Take it easy.,Relax and don’t get stressed.,Calm to Calm to Calm to Calm to Calm to Calm to Calm to Calm.
5504,20379,Are you crazy?,Are you crazy?,Are you crazy? is you not wise?
5514,20392,Never mind.,It does not matter.,"I don’t want to do it, I don’t want to do it, I don’t want to do it, I don’t want to do it."
5520,20398,Forget it.,Don’t worry. 😂😂😂😂😂😂😂😂,"Forget that, Forget that, Forget that, Forget that, Forget that, Forget that, Forget that, Forget that, Forget that, Forget that, Forget that, Forget that, Forget that."
5526,20405,I'm exhausted.,"I’m tired, I’m tired, I’m tired.",I am bekaf.
5823,20719,Look out!,Be careful!,Look out! ♰ Look out! ♰ Look out. ♰ Adjusted! ♰ Beware! ♰ Beware! ♰ Beware! ♰ Beware! ♰ Beware! ♰ Beware! ♰ Beware!
6087,21003,I want something sweet.,I want something sweet.,I want something sweet.
6174,21098,"Check, please.",Please sign the account.,Please check. ♰ Please check. ♰ The account please. ♰ The account please.
6197,21124,I feel cold.,I feel cold.,I have it cold.
6326,21259,It's a piece of cake.,A small dish.,It is a fluit of a cent. it is a fluit of a cent. it is a fluit of a cent.
6333,21267,Have fun.,Have fun with pleasure.,A lot of fun! a lot of fun! a lot of fun!
6711,21678,Do you remember?,Do you remember?,You know yet?
6961,21938,I want to go abroad.,"I want to go abroad, I want to go abroad.",I want to go abroad.
7080,22061,Open up.,Open the door! open the door!,Make it open.
7136,22121,All aboard!,Please go to the boat!,All on board!
7137,22122,"Good morning, everybody.",Good morning to everyone.,"Good morning, good morning, good morning, good morning, good morning."
8687,23749,Flowers bloom.,Flowers are open.,The flowers bloom.
8818,23884,There is no smoke without fire.,Without wind does not rise.,"There is no smoke without fire, there is no smoke without fire."
8859,23929,Do you like singing?,Do you like to sing?,Do you like to sing?
8883,23959,I'm free.,I have room.,I am free.
9000,24081,How is your family?,Are all in your family well?,How is it with your family? how is it with your family?
9339,24435,Who do you think you are?,Who are you as you?,Who do you think you are?
9511,24616,Nothing happened.,Nothing happened.,Nothing happened.Nothing happened.
9546,24657,Why didn't you come?,Why did you not come?,Why did you not come? - Why did you not come?
9561,24674,What did you buy?,What did you buy?,What did you buy? what did you buy? what did you buy? what did you buy?
9563,24676,What are you reading?,What are you looking at? what are you looking at? what are you looking at? what are you looking at?,What are you reading? what are you reading? what are you reading? what are you reading? what are you reading?
9583,24698,What are you thinking about?,What do you think? what do you think?,What do you think?
9588,24706,What do you mean?,What do you mean? and what do you want to express?,What do you mean? - What do you mean? - What do you mean? - What do you mean? - What do you mean?
9624,24759,What do you want to do?,What do you want to do? what do you want to do?,What do you want to do?
9629,24765,What would you like to drink?,What do you want to drink? what do you want to drink? what do you want to drink?,What do you want to drink? what do you want to drink?
9732,24885,What a pity!,"I am sorry, I am sorry, I am sorry, I am sorry!",What a shame! a shame! a shame!
9795,24958,Why me?,Why is I?,Why I?
9833,25000,What are you going to do?,What are you going to do?,What are you planning to do?
9858,25029,What's new?,Is there something new?,What is new? what is new?
9915,25095,Can I help you?,Can I help you?,Can I help you? can I help you? can I help you? can I help you?
9926,25106,What do you want me to do?,What do you want me to do?,What do you want me to do? what do you want me to do?
9976,25164,What's up?,What to do,What is happening? <unk> What is happening? <unk> What is happening? <unk> What is happening?
10031,25229,Would you like anything to eat?,Do you want to eat something? - What do you want to eat?,Do you want something to eat? - Do you want something to eat?
10101,25313,Anything new?,Is there something new?,Is there something new? is there something new?
10274,25498,How should I know?,How do I know? how do I know?,How do I know that? I know a lot.
10279,25504,I'm a free man.,I am a free person.,"I am a free man, I am a free man, I am a free man."
10284,25509,I'm a hero.,I am a hero.,I am a hero.
