,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
14,1295,You're in better shape than I am.,You're better than me.,You're in better shape than I am.,You're in better shape than I am.,.سىز مەندىنمۇ ياخشى ئورۇندىڭىز,Vi estas pli bone en formo ol mi.,Estás en mejor forma que yo. Estás en mejor forma que yo. Estás en mejor forma que yo. Estás en mejor forma que yo. Estás en mejor forma que yo. Estás en mejor forma que yo.,.سىز مەندىنمۇ كۈچلۈك.سىز مەندىنمۇ كۈچلۈك.سىز مەندىنمۇ كۈچلۈك.سىز مەندىنمۇ كۈچلۈك.سىز مەندىنمۇ كۈچلۈك.سىز مەندىنمۇ كۈچلۈك.سىز مەندىنمۇ كۈچلۈك,넌 나보다 더 좋은 위치에 있어,You're in better shape than I am.,You're in better shape than I am.,You're in better shape than I am.,You're in better shape than I am.,Ni baino sasoi hobean zaude.
15,1296,You are in my way.,You're blocking my path.,You're in my way. You're in my way.,You're in my way.,.سىز مېنىڭ يولۇمدا.سىز مېنىڭ يولۇمدا.سىز مېنىڭ يولۇمنىڭ كەينىگە كىرىسىز.سىز مېنىڭ يولۇمنىڭ كەينىگە كىرىسىز.,"-Ez, ez. -Ez, ez.",You're bothering me!,You're on my side.,"제 말은, 당신은 제 방해를 하고 있습니다.",You're in my way.,.سىز مېنىڭ يولۇمدا بولۇۋاتىسىز.سىزمۇ مېنىڭ يولۇمدا بولۇۋاتىسىز.سىزمۇ مېنىڭ يولۇمدا بولۇۋاتىسىز,You're in my way.,You're in my way. You're my footstep.,.سىز مېنىڭ يولۇمدا بولۇۋاتىسىز. (سىز تۇغۇلۇپ قالغاندىن كېيىن) سىلەر تۇغۇلۇپ قالغان بولساڭلار
16,1298,This will cost €30.,This one costs 30 euros.,That's going to cost 30 euros.,This will cost 30 euros.,.30 يۈەن باھاسى 30 يۈەن,Tio kostos 30 eŭrojn.,"Cela coûtera 30 euros, ce qui devrait coûter 30 euros.",.ئۇ 30 يۈەن كېلىدۇ. بۇنىڭ باھاسى 30 يۈەن بولىدۇ. بۇنىڭ باھاسى 30 يۈەن بولىدۇ,이 모든 것이,It 'll cost 30 euros.,.ئۇ 30 ياۋروغا كېتىدۇ,That's going to cost 30 euros.,It's going to cost 30 euros.,Ĝi kostos 30 eŭrojn. Ĝi kostos 30 eŭrojn.
17,1299,I make €100 a day.,I make 100 euros a day. I make 100 euros a day.,Mi gajnas 100 eŭrojn tage.,Mi gajnas 100 eŭrojn tage. Mi gajnas 100 eŭrojn tage. Mi gajnas 100 eŭrojn tage. Mi gajnas 100 eŭrojn tage.,.كۈندە 100 يۈەن ئىشلەيمەن,Mi gajnas 100 eŭrojn tage.,Je gagne 100 euros par jour. Je gagne 100 euros par jour. Je gagne 100 euros par jour. Je bois 100 euros par jour.,-- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلەيمەن. -- مەن كۈندە 100 يۈەن ئىشلە,Mi gajnas 100 eŭrojn tage.,I make 100 euros a day.,.كۈندە 100 ياۋرو ئىشلەيمەن,Mi gajnas 100 eŭrojn tage.,I make 100 euros a day.,Mi gajnas 100 eŭrojn tage.
20,1302,That won't happen.,That's not going to happen.,That's not going to happen.,Ez da gertatuko.,.ئۇ ھەرگىز ئۇنداق ئەمەس,.ئۇ ھەرگىز ئۇنداق ئەمەس. ھەرگىز ئۇنداق ئەمەس. ھەرگىز ئۇنداق ئەمەس. ھەرگىز ئۇنداق ئەمەس. ھەرگىز ئۇنداق ئەمەس. ھەرگىز ئۇنداق ئەمەس.,Eso no va a suceder.,.ئۇ ھەرگىز ئۇنداق ئەمەس,이런 일이 일어나지 않을 겁니다.,That's not gonna happen.,.ئۇ ھەرگىز ئۇنداق ئەمەس، ئۇ ھەرگىز ئۇنداق ئەمەس,.ئۇ ھەرگىز ئۇنداق ئەمەس,It won't be.,Tio ne okazos. Tio ne okazos. Tio ne okazos.
22,1304,I'll do my best not to disturb your studying.,I'll try not to disturb your review.,I'll try not to bother you with your learning.,I'm trying my best not to interrupt your studies.,I'll do my best not to disturb your revisions.,Mi klopodos ne ĝeni vin pri lernado.,Je ferai tout mon possible pour ne pas vous déranger à l'étude.,I'll do my best not to disturb your study.,저는 여러분들의 공부를 방해하지 않도록 노력하겠습니다.,I'll try not to disturb your study.,.سىز ئوقۇۋاتقاندا ھېچ نەرسىگە قايتىشىڭىزغا بولمايدۇ,I'm going to try not to bother you in your studies. I'm going to do my best not to bother your studies.,I'm going to do my best not to disturb your work.,Mi faros ĉion eblan por ne ĝeni vin en via studo.
25,1308,I miss you.,I miss you. I miss you. I miss you. I miss you.,Faltan botatzen zaitut.,Faltan botatzen zaitut. Faltan botatzen zaitut. Faltan botatzen zaitut.,.سىزنى ھەقىقەتەن سېغىناتتىم,.سىزنى ھەقىقەتەنمۇ ھەقىقەتەنمۇ بەكمۇ سېغىناتتىم,Te extraño. Te extraño. Te extraño. Te extraño. Te extraño. Te extraño. Te extraño.,.سىزنى ھەقىقەتەنمۇ ھەقىقەتەنمۇ.مەن سىزنى ھەقىقەتەنمۇ ھەقىقەتەنمۇ قىزغىن كۈتىمەن.سىزنى ھەقىقەتەنمۇ قىزغىن كۈتىمەن.سىزنى ھەقىقەتەنمۇ قىزغىن كۈتىمەن.مەن سىزنى ھەقىقەتەنمۇ قىزغىن كۈتىمەن.سىز بىلەن بىللە بولغۇم بار,제가 당신을 그리워합니다.,I miss you. I miss you. I miss you.,.سىزنى ھەقىقەتەنمۇ بەكمۇ سېغىناتتىم.سىزنى ھەقىقەتەنمۇ بەكمۇ سېغىناتتىم.سىزنى ھەقىقەتەنمۇ بەكمۇ سېغىناتتىم.سىزنى ھەقىقەتەنمۇ بەكمۇ سېغىناتتىم.سىزنى ھەقىقەتەن بەكمۇ سېغىناتتىم.سىزنى ھەقىقەتەن بەكمۇ سېغىناتتىم.سىزنى ھەقىقەتەن بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىناتتىم.سىزنى بەكمۇ سېغىن,I miss you. I miss you.,I miss you. I miss you.,.سىزدىن ھەقىقەتەنمۇ بەكمۇ ئۈمىدسىزلىنىمەن
26,1309,I'll call them tomorrow when I come back.,I'll contact them when I get back tomorrow.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,"Morgaŭ, kiam mi revenos, mi telefonos al ŝi.",Je les appellerai demain quand je serai de retour.,I'll call them tomorrow when I get back.,Bihar etxera heltzean deituko dizut.,I'll call them when I get back tomorrow.,.تاشقى كۈنلەردە ۋە تەشۋىقات كۈنلىرىدە.مەن ئۇلارغا تېلېفون قىلىمەن,I'll call you when I get back tomorrow.,I'll call them when I get back tomorrow.,"Mi telefonos al ili morgaŭ, kiam mi revenos."
28,1311,You should sleep.,You should go to sleep.,You should sleep. You should sleep better.,Lo egin behar zenuke. Lo egin beharko zenuke.,You should get some sleep.,Lo egin behar zenuke.,Vous devez dormir. Vous devez dormir. Vous devriez mieux dormir. Vous devriez mieux dormir.,.سىز ئۇخلىشىڭىز كېرەك.سىز ئۇخلىشىڭىز كېرەك.سىز ئۇخلىشىڭىز كېرەك.سىز ئۇخلىشىڭىز كېرەك.سىز ئۇخلىشىڭىز كېرەك,"자, 자, 자, 자.",You should sleep.,.سىز ئۇخلىسىڭىز بولىدۇ. (كۈلكە) ئۇخلىسىڭىز بولىدۇ. (كۈلكە) ئۇخلىسىڭىز بولىدۇ. (كۈلكە) ئۇخلىسىڭىز بولىدۇ. (كۈلكە) ئۇخلىسىڭىز بولىدۇ,You should sleep.,You need to sleep.,Vi devus dormi.
29,1312,I'm going to go.,I'm going to go.,Joan beharra dut.,Mi tuj foriros. Mi tuj foriros. Mi tuj foriros.,I'm going to go.,Joan beharra dut.,Je vais partir. Je vais partir. Je vais sortir.,.مەن كېتىمەن. كېتىمەن. كېتىمەن. كېتىمەن. كېتىمەن.,- 나 갈게요. - 나중에 갈게요.,I'm going to go.,.مەن كېتىمەن.مەن كېتىمەن.مەن كېتىمەن.مەن كېتىمەن.,Joan egingo naiz.,I'm going. I'm going.,Mi tuj foriros. Mi tuj foriros. Mi tuj foriros.
30,1313,I told them to send me another ticket.,I asked them to send me another ticket.,I told them to send me another ticket.,"Mi diris al ili, ke ili sendos al mi alian bileton. Mi diris al ili, ke ili sendu al mi alian bileton.",.شۇڭا مەن ئۇلارغا يەنە بىر پارچە پۇل ئەۋەتىپ بېرىشنى دېدىم,I told them to send me a new ticket.,Je leur ai demandé de m'envoyer une autre carte.,.مەن ئۇلارغا يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى,Mi petis ilin sendi al ili plian bileton.,".مەن ئۇلارغا يەنە بىر پارچە خەت ئەۋەتىپ بېرىشنى ئېيتتىم، ئاندىن ئۇلارغا: ""يېڭى بىر پارچە خەت ئەۋەتىڭلار"" دېدىم، ئاندىن ئۇلار (ئەيدىل ئەركان بىلەن) ماڭا بىر پارچە خەت يازيدىغان بولدى، ئاندىن كېيىن، مەن ئۇلارغا: ""يېڭى بىر پارچە خەت ئەۋەتىڭلار"" دېدىم، ئاندىن ئۇلار (ئەيدىل ئەركان بىلەن) ""يېڭى بىر پارچە خەت يازيلار"" دېيىشتى",Mi diris al ili sendi al mi alian bileton.,I told them to send me another ticket.,مەن ئۇلارغا يەنە بىر تىپلىق ئەۋەتىپ بېرىشنى دېدىم. ئۇلارغا يەنە بىر تىپلىق ئەۋەتىپ بېرىشنى دېدىم.,I told them to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,I used to think I'd be a space physicist.,Iam mi volis iĝi astrofizikisto.,I used to want to be an astrophysicist.,There was a time when I wanted to be an astrophysicist.,Mi iam volis iĝi astrofizikisto.,"À l'époque, je voulais être astrophysicien.",I once wanted to be an astrophysicist.,저는 천체 물리학자 되고 싶었습니다.,I used to want to be an astrophysicist.,.مەن بۇرۇن ئېستروفىزىكچى بولۇشنى خالايتتىم,I once wanted to be an astrophysicist.,I once wanted to be an astrophysicist.,Mi iam volis esti astrofizikisto.
34,1317,I never liked biology.,I never liked biology.,Mi neniam ŝatis biologion.,Ez zait inoiz biologiaren kontua gustatu.,Werǧin ḥemmleɣ tamsalt.,Mi neniam ŝatis biologion.,Je n'ai jamais aimé la biologie.,.بىئولوگىيەنى ياخشى كۆرمەيمەن,저는 생물학을 좋아하지 않습니다. 저는 생물학을 좋아하지 않았습니다.,I never liked biology.,.بىئولوگىيەنى ياقتۇرىمىغان ئىدىم.بىئولوگىيەنى ياقتۇرىمىغان ئىدىم.بىئولوگىيەنى ياقتۇرىمىغان ئىدىم,Mi neniam ŝatis biologion.,Mi neniam ŝatis biologion.,Mi neniam ŝatis biologion. Mi neniam ŝatis biologion.
35,1318,The last person I told my idea to thought I was nuts.,The last person who heard me say what I thought was crazy.,The last person I told my idea to thought I was crazy.,The last person I told my idea to was someone who thought I was crazy.,"Win i d-nniɣ taggara i d-nniɣ tikti-w, yeqqar-as d axemmem-iw.",The last person I told my idea thought I was knocked out.,La dernière personne à qui j'ai parlé de mon idée a pensé que j'étais fou.,နောက်ဆုံးပြောခဲ့တဲ့သူက ကျွန်မ ရူးနေတယ်လို့ ထင်ခဲ့တယ်။ နောက်ဆုံးပြောခဲ့တဲ့သူက ကျွန်မ ရူးနေတယ်လို့ ထင်ခဲ့တယ်။,제가 마지막으로 제 생각을 했던 사람은 제가 미친 사람이라고 생각했지요.,The last person I told about my idea thought I was crazy.,The last person I told my idea to thought I was crazy.,"La lasta persono, al kiu mi rakontis mian ideon, pensis, ke mi frenezas.",The last person I ever told my opinion thought I was crazy.,La lasta persono al kiu mi rakontis mian ideon pensis ke mi frenezas.
