,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
14,1295,You're in better shape than I am.,你的體型比我的好。,Je bent in een betere conditie dan ik.,Olet paremmassa kunnossa kuin minä.,Tu es en meilleure forme que moi.,Du bist besser in Form als ich.,אתה בכושר טוב ממני.,"Jobb formában vagy, mint én.",Sei più in forma di me.,君は僕より有利な立場にあるものね。,Jesteś w lepszej formie niż ja.,"Ты в лучшей форме, чем я.",Estás en mejor forma que yo.,Siz benden daha çok formdasınız.,"Ти у кращій формі, ніж я."
15,1296,You are in my way.,你擋住了我的路。,Je staat in de weg.,Olet tielläni.,Tu es sur mon chemin.,Du bist mir im Weg.,אתה מפריע לי!,Útban vagy.,Sei dalla mia parte.,君は僕の邪魔をしている。,Stoisz mi na drodze.,Ты на моем пути.,Estás en mi camino.,Sen benim yolumdasın.,Ти на моєму шляху.
16,1298,This will cost €30.,這個要三十歐元。,"Dat zal € 30,- kosten.",Tämä maksaa kolmekymmentä euroa.,Ça coûtera 30 €.,Das wird 30 € kosten.,זה יעלה €30.,Ez 30 euróba kerül.,Costerà trenta euro.,３０ユーロになります。,To będzie kosztowało €30 .,Это будет стоить 30 евро.,Eso va a costar 30 €.,Bu €30'a mal olacak.,Це коштуватиме 30 євро.
17,1299,I make €100 a day.,我一天賺一百歐元。,Ik verdien €100 per dag.,Ansaitsen sata euroa päivässä.,Je gagne 100 € par jour.,Ich verdiene 100 Euro pro Tag.,אני מרוויח €100 ליום.,Száz eurót keresek naponta.,Guadagno 100 euro al giorno.,私は一日に100ユーロ稼ぎます。,Zarabiam €100 dziennie.,Я зарабатываю сто евро в день.,Gano 100 € al día.,Günde 100 avro kazanırım.,Я заробляю 100 євро на день.
20,1302,That won't happen.,那是不會發生的。,Dat zal niet gebeuren.,Sitä ei tule tapahtumaan.,Ça n'arrivera pas.,Das wird nicht passieren.,זה לא יקרה.,Az nem fog megtörténni.,Quello non succederà.,そんなことは起きないでしょう。,To się nie zdarzy.,Этого не случится.,Eso no va a pasar.,O olmayacak.,Цього не станеться.
22,1304,I'll do my best not to disturb your studying.,我会尽量不打扰你复习。,Ik zal proberen je niet te storen bij het leren.,Koetan parhaani mukaan olla häiritsemättä opiskeluasi.,Je ferai de mon mieux pour ne pas perturber tes révisions.,"Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.",אשתדל לא להפריע לך ללמוד.,"Megteszek minden tőlem telhetőt, hogy ne zavarjam a tanulásodat.",Farò del mio meglio per non disturbare il tuo studio.,あなたの勉強を邪魔しないようにします。,Postaram się Ci nie przeszkadzać w nauce.,Я постараюсь не мешать тебе учиться.,Me voy a esforzar por no molestarte en tus estudios.,Çalışmanı bölmemek için elimden gelenin en iyisini yapacağım.,"Я зроблю все, що в моїх силах, щоб не заважати тобі навчатися."
25,1308,I miss you.,我很想你。,Ik mis je.,Kaipaan sinua.,Tu me manques.,Ich vermisse dich.,מתגעגע אלייך.,Hiányzol.,Mi manchi.,会えなくて淋しい。,Tęsknię za Tobą.,Я скучаю по тебе.,Te extraño.,Seni özledim.,Сумую без тебе.
26,1309,I'll call them tomorrow when I come back.,我明天回來的時候會跟他們聯絡。,"Ik bel ze morgen, als ik weer terug ben.","Soitan heille huomenna, kun tulen takaisin.",Je les appellerai demain quand je reviendrai.,"Ich werde sie morgen anrufen, wenn ich zurückkomme.",אתקשר אליהם מחר כשאחזור.,"Holnap felhívom őket, amikor visszajövök.",Li chiamerò domani quando ritorno.,明日帰ったら電話します。,Zadzwonię do nich jutro kiedy wrócę.,"Я позвоню им завтра, когда вернусь домой.",Los llamaré cuando regrese mañana.,Yarın geri döndüğümde onları arayacağım.,"Я подзвоню їм завтра, коли повернусь."
28,1311,You should sleep.,你應該去睡覺了吧。,Je zou moeten slapen.,Sinun pitäisi nukkua.,Tu devrais dormir.,Du solltest schlafen.,אתה צריך לישון.,Aludnod kellene.,Dovresti dormire.,眠った方がいいよ。,Powinieneś spać.,Тебе лучше поспать.,Deberías dormir.,Uyuman gerek.,Тобі краще поспати.
29,1312,I'm going to go.,我要走了。,Ik ga.,Minä olen lähdössä.,Je vais y aller.,Ich gehe.,אני אלך.,Megyek.,Sto per andare.,行くよ。,Zamierzam iść.,Я пойду.,Voy a ir.,Gideceğim.,Я піду.
30,1313,I told them to send me another ticket.,我請他們再寄給我一張票。,Ik heb ze gezegd dat ze me een nieuw ticket moeten opsturen.,"Sanoin heille, että lähettäisivät minulle toisen lipun.",Je leur ai dit de m'envoyer un autre ticket.,"Ich sagte ihnen, sie sollen mir ein neues Ticket schicken.",אמרתי להם לשלוח לי כרטיס אחר.,"Mondtam nekik, hogy küldjenek nekem egy másik jegyet.",Ho detto loro di mandarmi un altro biglietto.,私は彼らにチケットをもう一枚送ってくれるように頼んだ。,Kazałem im wysłać mi kolejny bilet.,Я сказал им послать мне ещё один билет.,Les dije que me mandaran otro boleto.,Onlara bana bir bilet daha göndermelerini söyledim.,Я сказав їм відправити мені ще один квиток.
33,1316,I once wanted to be an astrophysicist.,我曾經想過當個太空物理學家。,Ooit wilde ik astrofysicus worden.,Joskus halusin olla astrofyysikko.,Il fut un temps où je voulais être astrophysicien.,Ich wollte mal Astrophysiker werden.,"בזמנו, רציתי להיות אסטרופיזיקאי.",Egykor asztrofizikus akartam lenni.,Una volta volevo diventare un astrofisico.,私は一時期、天体物理学者になりたかった。,Kiedyś chciałem być astrofizykiem.,Когда-то я хотел быть астрофизиком.,Una vez quise ser astrofísico.,Bir zamanlar bir astrofizikçi olmak istedim.,Колись я хотів бути астрофізиком.
34,1317,I never liked biology.,我從來沒喜歡過生物學。,Ik heb nooit van biologie gehouden.,En koskaan pitänyt biologiasta.,Je n'ai jamais aimé la biologie.,Ich mochte Biologie noch nie.,אף פעם לא אהבתי ביולוגיה.,Sosem szerettem a biológiát.,Non mi è mai piaciuta la biologia.,生物学は好きになれません。,Nigdy nie lubiłem biologii.,Я никогда не любил биологию.,Nunca me gustó la biología.,Ben biyolojiyi hiç sevmedim.,Мені ніколи не подобалася біологія.
35,1318,The last person I told my idea to thought I was nuts.,最后一个听我说我的主意的人认为我疯了。,"De vorige persoon aan wie ik mijn idee vertelde, dacht dat ik gestoord was.","Viimeisin henkilö, jolle kerroin ideani, oli sitä mieltä, että olen päästäni sekaisin.",La dernière personne à qui j'ai raconté mon idée a pensé que j'étais cinglé.,"Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.","האדם האחרון שסיפרתי לו את הרעיון שלי, חשב שאני דפוק.","Akinek legutóbb elmondtam az elképzelésemet, bolondnak nézett.",L'ultima persona a cui ho raccontato la mia idea ha pensato che io fossi pazzo.,僕が最後に自分の考えを伝えた人は、僕を気違いだと思ったようだ。,"Ostatnia osoba, której opowiedziałem o swoim pomyśle uznała mnie za wariata.","Последний человек, которому я рассказал свою идею, решил, что я сумасшедший.",La última persona a la que le conté mi idea pensó que yo estaba loco.,Fikrimi söylediğim son kişi deli olduğumu düşündü.,"Остання людина, кому я розповів про свою ідею, вирішив, що я божевільний."
37,1320,It is unfortunately true.,可惜这是真的。,Helaas is het waar.,"Pitää paikkansa, ikävä kyllä.",C'est malheureusement vrai.,Unglücklicherweise stimmt es.,"לצערי, זה נכון.",Sajnos igaz.,È sfortunatamente vero.,残念ながらそれは本当なのです。,To niestety prawda.,"К сожалению, это правда.",Desafortunadamente es verdad.,Bu ne yazık ki doğrudur.,"На жаль, це правда."
39,1322,Most people think I'm crazy.,大部份的人覺得我瘋了。,De meeste mensen denken dat ik gek ben.,Useimmat pitävät minua hulluna.,La plupart des gens pensent que je suis fou.,"Die meisten Leute denken, ich sei verrückt.",רוב האנשים חושבים שאני משוגע.,A legtöbben őrültnek tartanak.,La maggior parte delle persone pensa che io sia pazzo.,大抵の人は僕を気違いだと思っている。,"Większość ludzi sądzi, że jestem szalony.","Большинство людей думает, что я сумасшедший.",La mayoría de la gente cree que estoy loco.,Birçok kişi deli olduğumu düşünür.,Більшість людей вважає мене божевільним.
42,1325,He's kicking me!,他在踢我！,Hij schopt me!,Hän potkii minua!,Il me donne des coups de pied !,Er tritt mich!,הוא בועט בי!,Ő rúgdos engem!,Mi sta calciando!,彼は私を蹴っています！,On mnie kopie!,Он меня пинает!,¡¡Él está pateándome!!,O bana tekme atıyor!,Він б'є мене ногами!
43,1326,Are you sure?,你肯定吗？,Weet je het zeker?,Oletko varma?,Est-ce que tu es sûr ?,Bist du sicher?,אתה בטוח?,Biztos vagy benne?,Sei sicuro?,本当？,Jesteś pewien?,Ты уверен?,¿Estás seguro?,Emin misin?,Ти впевнена?
45,1328,"Oh, there's a butterfly!",哦！有一隻蝴蝶！,"O, hier zit een vlinder!","Oi, täällä on perhonen!","Oh, il y a un papillon !","Oh, da ist ein Schmetterling!","הו, הנה פרפר!","Ó, itt van egy pillangó!","Oh, c'è una farfalla!",あ！蝶々がいる！,"Och, tam jest motyl!","О, здесь бабочка!","¡Ah, allí hay una mariposa!","Ah, bir kelebek var!","Дивись, метелик!"
46,1329,Hurry up.,趕快!,Schiet op!,Pidä kiirettä.,Dépêche-toi !,Beeil dich!,תזדרז!,Siess!,Svelto!,急いで！,Pośpiesz się!,Поторапливайся!,¡Date prisa!,Acele et!,Швидше!
47,1330,It doesn't surprise me.,这并不让我惊讶。,Het verbaast me niet.,Se ei minua yllätä.,Ça ne me surprend pas.,Es überrascht mich nicht.,לא מפתיע אותי.,Ez nem lep meg engem.,Non mi sorprende.,驚くことではないね。,To mnie nie zaskakuje.,Это не удивительно.,No me sorprende.,O beni şaşırtmıyor.,Це і не дивно.
49,1333,It depends on the context.,这要看情况。,Dat hangt af van de context.,Se riippuu asiayhteydestä.,Ça dépend du contexte.,Das kommt auf den Zusammenhang an.,תלוי בהקשר.,A szövegkörnyezettől függ.,Dipende dal contesto.,それは文脈による。,Zależy od kontekstu.,Это зависит от контекста.,Eso depende del contexto.,"Bu, bağlama bağlıdır.",Це залежить від контексту.
51,1335,That's the stupidest thing I've ever said.,那是我说过的最愚蠢的话了。,Dat is het domste wat ik ooit gezegd heb.,"Se on typerin asia, jonka olen ikinä sanonut.",C'est la chose la plus stupide que j'ai jamais dite.,"Das ist das Dümmste, was ich je gesagt habe.",זה בדבר הכי מטופש שאמרתי אי פעם.,"Ez a legbutább dolog, amit valaha mondtam.",È la cosa più stupida che abbia mai detto.,こんな馬鹿なことは言ったことが無い。,"To najgłupsza rzecz, jaką kiedykolwiek powiedziałem.","Это самая глупая вещь, которую я когда-либо говорил.",Es la cosa más estúpida que he dicho nunca.,Bu şimdiye kadar söylediğim en aptalca şey.,"Це найбільша нісенітниця, яку я коли-небудь казав."
53,1337,"When I grow up, I want to be a king.",我長大後想當國王。,"Als ik later groot ben, wil ik koning worden.","Kun kasvan isoksi, haluan olla kuningas.","Quand je serai grand, je veux être roi.","Wenn ich groß bin, will ich ein König sein.",אני רוצה להיות מלך כשאגדל.,"Ha felnövök, király akarok lenni.","Quando sarò grande, voglio essere un re.",大きくなったら王様になりたい。,"Kiedy dorosnę, chcę być królem.","Когда я вырасту, я хочу стать королём.","Cuando crezca, quiero ser un rey.",Büyüyünce bir kral olmak istiyorum.,"Я хочу стати королем, коли виросту."
56,1340,So what?,那又怎樣?,Dus?,Mitä sitten?,Et alors ?,Na und?,אז מה?,És akkor mi van?,E allora?,だから何？,No i co?,Так что?,¿Entonces qué?,Öyleyse ne yapmalı?,Ну то що?
61,1345,I've always wondered what it'd be like to have siblings.,我总是想有兄弟姐妹会怎么样。,Ik heb me altijd afgevraagd hoe het zou zijn om broertjes en zusjes te hebben.,Olen aina miettinyt millaista olisi jos olisi sisaruksia.,Je me suis toujours demandé ce que ça ferait d'avoir des frères et sœurs.,"Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben.",תמיד תהיתי איך מרגישים כשיש אח או אחות.,"Mindig érdekelt, milyen volna, ha lennének testvéreim.",Mi sono sempre chiesto come sarebbe avere dei fratelli o delle sorelle.,兄弟がいるとどんなだろうといつも思う。,"Zawsze zastanawiałem się, jak to jest mieć rodzeństwo.","Мне всегда было интересно, как это - иметь братьев и сестер.",Siempre me he preguntado cómo será tener hermanos.,Ben her zaman kardeşlere sahip olmanın nasıl bir şey olduğunu hep merak ettim.,Мені завжди було цікаво як це - мати братів та сестер.
63,1347,It would take forever for me to explain everything.,我就算說上三天三夜，恐怕也不能把一切解釋清楚。,Ik heb een eeuwigheid nodig om alles uit te leggen.,Kaiken selittämiseen menisi ikuisuus.,Ça me prendrait l'éternité pour tout expliquer.,"Es würde ewig dauern, alles zu erklären.",יקח עידן ועידנים להסביר את הכל.,"Az örökké valóságig tartana, hogy elmagyarázzak mindent.",Mi ci vorrebbe una vita per spiegare tutto.,いつまでかかっても全部を説明するのは無理だ。,"Potrzebna wieczność, żeby wszystko wytłumaczyć.","Мне потребовалась бы вечность, чтобы всё объяснить.",Me tomaría una eternidad explicarte todo.,Her şeyi açıklamam sonsuza kadar sürer.,"Мені знадобиться вічність, щоб все пояснити."
64,1348,That's because you're a girl.,那是因為妳是女生。,Dat komt doordat je een meisje bent.,"Tämä johtuu siitä, että olet tyttö.",C'est parce que tu es une fille.,"Das liegt daran, dass du ein Mädchen bist.",זה משום שאת בת.,"Azért, mert lány vagy.",È perché sei una ragazza.,あなたが女の子だからよ。,"To dlatego, że jesteś dziewczyną.","Это потому, что ты девушка.",Eso es porque eres una chica.,Sebebi senin bir kız olmandır.,"Це тому, що ти дівчинка."
79,1363,I thought you liked to learn new things.,我以為你喜歡學習新事物。,Ik dacht dat je graag nieuwe dingen leerde.,Luulin että pidät uusien asioiden oppimisesta.,Je pensais que tu aimais apprendre de nouvelles choses.,"Ich dachte, du würdest gerne neue Sachen lernen.",סברתי שאתה אוהב ללמוד דברים חדשים.,"Azt gondoltam, szeretsz új dolgokat tanulni.",Pensavo che ti piacesse imparare cose nuove.,あなたは新しいことを勉強したいのだと思った。,"Pomyślałem, że będziesz się chciał nauczyć czegoś nowego.","Я думал, ты любишь изучать новые вещи.",Yo pensaba que te gustaba aprender cosas nuevas.,Yeni şeyler öğrenmeyi sevdiğini sanıyordum.,"Я думав, тобі подобається вивчати нові речі."
80,1364,Most people write about their daily life.,大部分人写的东西是关于他们的日常生活的。,De meeste mensen schrijven over hun dagelijks leven.,Useimmat kirjoittavat päivittäisestä elämästään.,La plupart des gens écrivent à propos de leur vie quotidienne.,Die meisten Menschen schreiben über ihr Alltagsleben.,רוב האנשים כותבים על חיי היום יום שלהם.,A legtöbb ember a mindennapi életéről ír.,La maggior parte delle persone scrive sulla propria vita quotidiana.,多くの人が日常のことについて文を書く。,Większość osób pisze o swoim codziennym życiu.,Большинство пишет о своей повседневной жизни.,La mayoría de la gente escribe sobre su vida cotidiana.,Çoğu kişi günlük hayatı hakkında yazı yazar.,Більшість людей робить щоденні нотатки про життя.
82,1366,"In order to do that, you have to take risks.",要这么做，你需要冒险。,"Om dat te doen, moet je risico's nemen.",Sinun täytyy ottaa riskejä tehdäksesi sen.,"Pour faire cela, il te faut prendre des risques.","Um das zu tun, musst du Risiken eingehen.","כדי לעשות את זה, עלך ליטול סיכונים.","Hogy ezt megtedd, kockázatot kell vállalnod.","Per farlo, bisogna correre dei rischi.",それをするためには危険を冒さなければならない。,"Aby to zrobić, trzeba podjąć ryzyko.","Ты должен рискнуть, чтобы сделать это.","Para hacer eso, tienes que arriesgarte.","Onu yapmak için, risk almak zorundasın.","Ти повинен ризикнути, щоб зробити це."
84,1368,Why do you ask?,你問這個幹什麼?,Waarom vraag je dat?,Miksi kysyt?,Pourquoi demandes-tu ?,Warum fragst du?,למה את שואלת?,Miért kérdezed?,Perché lo chiedi?,なんで聞くの？,Czemu pytasz?,Почему ты спрашиваешь?,¿Por qué lo preguntas?,Neden soruyorsun?,А чому Ви питаєте?
89,1373,How long did you stay?,你待了多久?,Hoelang ben je gebleven?,Kuinka pitkään olit siellä?,Combien de temps es-tu restée ?,Wie lange bist du geblieben?,כמה זמן נשארת?,Meddig maradtál?,Quanto tempo sei restato?,どのくらいいたの？,Jak długo stoisz?,Сколько ты там пробыл?,¿Cuánto tiempo estuviste?,Ne kadar kaldın?,Чи довго ви там були?
95,1379,That is intriguing.,那真有趣。,Dat maakt nieuwsgierig.,Mielenkiintoista.,C'est intrigant.,Das macht neugierig.,זה מסקרן.,Ez kíváncsivá tesz.,È intrigante.,それは面白い。,To intrygujące.,Это интересно.,Eso es intrigante.,O ilgi çekici.,Це інтригує.
102,1386,I didn't like it.,我没有喜欢过。,Ik vond het niet leuk.,En pitänyt siitä.,Je n'ai pas aimé.,Mir hat es nicht gefallen.,לא אהבתי את זה.,Nem kedveltem.,Non mi è piaciuto.,好きにはなれなかった。,Nie lubiłem tego.,Мне это не нравилось.,No me gustaba.,Ondan hoşlanmadım.,Мені це не подобалось.
111,1395,I have to go to bed.,我该去睡觉了。,Ik moet gaan slapen.,Minun täytyy mennä nukkumaan.,Je dois aller au lit.,Ich muss ins Bett gehen.,אני חייב ללכת לישון.,Le kell feküdnöm.,Devo andare a letto.,私は寝なければなりません。,Muszę iść spać.,Мне нужно идти спать.,Me tengo que ir a la cama.,Uyumam lazım.,Маю піти спати.
118,1402,That wasn't my intention.,那不是我的本意。,Dat was niet mijn bedoeling.,Tämä ei ollut tarkoitukseni.,Ce n'était pas mon intention.,Das war nicht meine Absicht.,זו לא היתה הכוונה שלי.,Nem ezt akartam.,Non era mia intenzione.,そんなつもりではなかったんだ。,Nie miałem takiego zamiaru.,Это не было моим намерением.,No era mi intención.,Benim niyetim o değildi.,Я не мав такого наміру.
119,1403,Thanks for your explanation.,谢谢你的解释。,Bedankt voor de uitleg.,Kiitos selityksestäsi.,Merci pour ton explication.,Danke für Ihre Erklärung.,תודה על ההסבר.,Köszönöm a magyarázatodat.,Grazie per la tua spiegazione.,説明してくれてありがとう。,Dziękuję za wyjaśnienie.,Спасибо за объяснение.,Gracias por tu explicación.,Açıklaman için teşekkürler.,Дякую за пояснення.
123,1408,I don't know what you mean.,我不懂你什么意思。,Ik weet niet wat je bedoelt.,En tiedä mitä tarkoitat.,Je ne sais pas ce que tu veux dire.,"Ich weiß nicht, was du meinst.",אינני יודע מה כוונתך.,"Fogalmam sincs, miről beszél.",Non so cosa intendi.,何が言いたいのか分からないなあ。,"Nie wiem, co masz na myśli.","Я не понимаю, что ты имеешь в виду.",No sé qué quieres decir.,Ne demek istediğini bilmiyorum.,"Я не знаю, що ти маєш на увазі."
132,1417,I need to ask you a silly question.,我必须问你一个蠢问题。,Ik moet je een domme vraag stellen.,Minun täytyy kysyä sinulta tyhmä kysymys.,Je dois te poser une question idiote.,Ich muss dir eine dumme Frage stellen.,אני צריך לשאול אותך שאלה מטופשת.,Egy buta kérdést kell neked feltennem.,Devo farti una domanda stupida.,バカな質問があるんだ。,Muszę ci zadać głupie pytanie.,Мне нужно задать тебе глупый вопрос.,Necesito hacerte una pregunta tonta.,Sana saçma bir soru sormalıyım.,Мені потрібно поставити тобі дурне питання.
136,1421,No one will know.,沒有人會知道。,Niemand komt erachter.,Ei kukaan saa tietää.,Personne ne saura.,Niemand wird's erfahren.,איש לא יידע.,Senki sem fogja tudni.,Nessuno lo saprà.,誰にも分からないよ。,Nikt się nie dowie.,Никто не узнает.,Nadie sabrá.,Hiç kimse bilmeyecek.,Ніхто не дізнається.
138,1423,It seems interesting to me.,在我看来很有意思！,Dat lijkt me interessant!,Se vaikuttaa minusta kiintoisalta.,Ça me paraît intéressant !,Das scheint mir interessant!,לי זה נראה מעניין!,Számomra érdekesnek tűnik.,Mi sembra interessante!,面白そう！,Wydaje się interesujące dla mnie!,Мне это кажется интересным!,¡Me parece interesante!,O bana ilginç görünüyor.,Це здається мені цікавим.
140,1425,I like candlelight.,我很喜欢烛光。,Ik hou van kaarslicht.,Pidän kynttilän valosta.,"Moi, j'aime bien la lumière des bougies.",Ich mag gerne Kerzenlicht.,אני אוהב אור נרות.,Szeretem a gyertyafényt.,Mi piace la luce delle candele.,私はロウソクの灯りって好きだな。,Lubię światło świec.,Я люблю свет свечей.,Me gusta la luz de las velas.,Mum ışığını severim.,Мені подобається світло свічок.
149,1434,I love you.,我爱你。,Ik hou van je.,Minä rakastan sinua.,Je t'aime !,Ich liebe Sie.,אני אוהב אותך.,Szeretlek.,Ti amo.,愛してる。,Kocham cię.,Я люблю тебя!,Te quiero.,Seni seviyorum.,Я люблю тебе.
151,1436,I am curious.,我很好奇。,Ik ben nieuwsgierig.,Olen utelias.,Je suis curieux.,Ich bin neugierig.,אני סקרן.,Kíváncsi vagyok rá.,Sono curioso.,私は好奇心が強いです。,Bardzo jestem ciekaw.,Я любопытный.,Tengo curiosidad.,Meraklıyım.,Мені цікаво.
152,1437,Congratulations!,祝贺你。,Gefeliciteerd.,Onnittelut!,Félicitations.,Herzlichen Glückwunsch.,ברכות!,Gratulálok!,Congratulazioni!,おめでとうございます。,Gratulacje!,Мои поздравления.,¡Felicidades!,Tebrikler!,Вітаю!
153,1438,I don't want to wait that long.,我不想等那么久。,Ik wil niet zo lang wachten.,En halua odottaa niin pitkään.,Je ne veux pas attendre aussi longtemps.,Ich will nicht so lange warten.,אני לא רוצה להמתין זמן כה רב.,Nem akarok olyan sokat várni.,Non voglio aspettare così tanto tempo.,そんなに待ちたくない。,Nie chcę czekać aż tak długo.,Я не хочу ждать так долго.,No quiero esperar tanto tiempo.,O kadar uzun beklemek istemiyorum.,Не хочу чекати так довго.
154,1439,Why don't you come visit us?,为什么你不来看我们？,Waarom kom je niet bij ons op bezoek?,Miksi et tulisi käymään?,Pourquoi ne viens-tu pas nous voir ?,Warum kommst du uns nicht besuchen?,למה אתה לא מגיע לבקר אצלנו?,Miért nem jössz el meglátogatni minket?,Perché non vieni a trovarci?,家に来ませんか。,Dlaczego nas nie odwiedzisz?,Почему ты не придешь навестить нас?,¿Por qué no vienes a visitarnos?,Niçin bizi ziyaret etmeye gelmiyorsun?,Чого ти до нас приходиш?
159,1445,I hate chemistry.,我讨厌化学。,Ik haat scheikunde.,Vihaan kemiaa.,Je déteste la chimie.,Ich hasse Chemie.,אני שונא כימיה.,Utálom a kémiát.,Detesto la chimica.,化学が嫌いだ。,Nienawidzę chemii.,Я ненавижу химию.,Detesto la química.,Ben kimyadan nefret ederim.,Я не люблю хімію.
165,1451,I have nothing better to do.,我没有其他更好的事情去做。,Ik heb niks beters te doen.,Ei ole parempaakaan tekemistä.,Je n'ai rien de mieux à faire.,Ich habe nichts Besseres zu tun.,אין לי משהו יותר טוב לעשות.,Nincs jobb tennivalóm.,Non ho niente di meglio da fare.,それをするより他はない。,Nie mam nic lepszego do roboty.,Мне нечего больше делать.,No tengo nada mejor que hacer.,Yapacak daha iyi hiçbir şeyim yok.,Мені більше нема чим зайнятися.
166,1452,I can't explain it either.,我也无法解释。,Ik kan het ook niet verklaren.,Minäkään en osaa selittää sitä.,Je ne peux pas l'expliquer non plus.,Ich kann es auch nicht erklären.,אף אני לא יכול להסביר את זה.,Nem tudom megmagyarázni sem.,Neanch'io lo posso spiegare.,説明もできないよ。,Też nie potrafię tego wyjaśnić.,Я тоже не могу объяснить этого.,Tampoco lo puedo explicar.,Onu ben de açıklayamam.,Я теж не можу це пояснити.
