,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
14,1295,You're in better shape than I am.,Je bent in een betere conditie dan ik. | Je bent in betere conditie dan ik.,Olet paremmassa kunnossa kuin minä.,Tu es en meilleure forme que moi. | Vous êtes en meilleure forme que moi.,Du bist besser in Form als ich.,אתה בכושר טוב ממני. | אתה בכושר טוב יותר ממני. | את בכושר טוב יותר ממני. | אתה בכושר יותר טוב ממני. | את בכושר יותר טוב ממני. | אתם בכושר טוב יותר ממני. | אתן בכושר טוב יותר ממני.,"Jobb formában vagy, mint én. | Jobb passzban vagy, mint én.",Sei più in forma di me. | Tu sei più in forma di me. | Siete più in forma di me. | Voi siete più in forma di me. | È più in forma di me. | Lei è più in forma di me.,君は僕より有利な立場にあるものね。,你的體型比我的好。,Jesteś w lepszej formie niż ja.,Você está em melhor forma do que eu. | Tu estás em melhor forma que eu. | Vocês estão em melhor forma do que eu. | Vós estais em melhor forma eu. | O senhor está em melhor forma do que eu. | Os senhores estão em melhor forma que eu. | A senhora está em melhor forma do que eu. | As senhoras estão em melhor forma que eu.,"Ты в лучшей форме, чем я. | Вы в лучшей форме, чем я.",Estás en mejor forma que yo.,Siz benden daha çok formdasınız.,"Ти у кращій формі, ніж я. | Ви у кращій формі, ніж я."
15,1296,You are in my way.,Je staat in de weg. | U staat mij in de weg.,Olet tielläni.,Tu es sur mon chemin. | Vous êtes sur mon chemin. | Vous vous trouvez en travers de mon chemin. | Tu te trouves en travers de mon chemin.,Du bist mir im Weg.,אתה מפריע לי!,Útban vagy. | Utamban vagy.,Sei dalla mia parte.,君は僕の邪魔をしている。 | あなたは私の邪魔をしています。,你擋住了我的路。,Stoisz mi na drodze.,Você está no meio. | Você está no meu caminho. | Tu estás impedindo-me a passagem. | Vocês estão impedindo-me a passagem. | Vós estais impedindo-me a passagem. | O senhor está impedindo-me a passagem. | A senhora está impedindo-me a passagem. | Os senhores estão impedindo-me a passagem. | As senhoras estão impedindo-me a passagem. | Tu estás a impedir-me a passagem. | Vocês estão a impedir-me a passagem. | Vós estais a impedir-me a passagem. | O senhor está a impedir-me a passagem. | A senhora está a impedir-me a passagem. | Os senhores estão a impedir-me a passagem. | As senhoras estão a impedir-me a passagem.,Ты на моем пути. | Ты мне мешаешь. | Ты у меня на пути. | Вы у меня на пути.,Estás en mi camino.,Sen benim yolumdasın. | Bana ayak bağı oluyorsun.,Ти на моєму шляху. | Ти мені заважаєш. | Ви мені заважаєте.
16,1298,This will cost €30.,"Dat zal € 30,- kosten.",Tämä maksaa kolmekymmentä euroa.,Ça coûtera 30 €. | Ça va faire 30 euros.,Das wird 30 € kosten.,זה יעלה €30. | זה יעלה 30 אירו. | זה אמור לעלות 30 אירו. | זה יעלה 30 יורו.,Ez 30 euróba kerül. | Harminc euró lesz.,Costerà trenta euro. | Questo costerà 30 €. | Questa costerà 30 €.,３０ユーロになります。,這個要三十歐元。,To będzie kosztowało €30 .,Vai custar €30. | Isso irá custar 30 euros.,Это будет стоить 30 евро. | Это будет стоить тридцать евро.,Eso va a costar 30 €.,Bu €30'a mal olacak.,Це коштуватиме 30 євро. | Це буде коштувати 30 євро. | Це коштуватиме 30 €.
17,1299,I make €100 a day.,Ik verdien €100 per dag.,Ansaitsen sata euroa päivässä. | Tienaan sata euroa päivässä. | Ansaitsen 100 € päivässä. | Minä ansaitsen 100 € päivässä. | Tienaan 100 € päivässä. | Minä tienaan 100 € päivässä. | Minä ansaitsen sata euroa päivässä. | Minä tienaan sata euroa päivässä.,Je gagne 100 € par jour. | Je gagne cent euros par jour.,Ich verdiene 100 Euro pro Tag.,אני מרוויח €100 ליום. | אני עושה €100 ביום. | אני מרוויחה מאה אירו ליום. | אני משתכר 100 אירו ליום.,Száz eurót keresek naponta. | 100 eurót keresek naponta.,Guadagno 100 euro al giorno. | Guadagno 100€ al giorno. | Io guadagno 100€ al giorno. | Io guadagno 100 euro al giorno. | Guadagno cento euro al giorno. | Io guadagno cento euro al giorno.,私は一日に100ユーロ稼ぎます。,我一天賺一百歐元。 | 我一天挣一百歐元。,Zarabiam €100 dziennie.,Eu ganho €100 por dia.,Я зарабатываю сто евро в день. | Я зарабатываю 100 евро в день.,Gano 100 € al día.,Günde 100 avro kazanırım.,Я заробляю 100 євро на день. | Я заробляю 100 євро на добу.
20,1302,That won't happen.,Dat zal niet gebeuren. | Dat gebeurt niet.,Sitä ei tule tapahtumaan. | Niin ei tapahdu.,Ça n'arrivera pas. | Cela ne se produira pas.,Das wird nicht passieren. | Dazu kommt es nicht. | Das wird sich nicht ereignen. | Das wird nicht geschehen. | Das kommt nicht vor.,זה לא יקרה. | אין מצב.,Az nem fog megtörténni. | Ilyen nem lesz.,Quello non succederà. | Non succederà. | Non capiterà.,そんなことは起きないでしょう。,那是不會發生的。,To się nie zdarzy.,Isso não vai acontecer. | Isso não acontecerá.,Этого не случится. | Это не случится. | Этого не будет.,Eso no va a pasar. | Eso no pasará. | Eso no acontecerá.,O olmayacak.,Цього не станеться. | Цього не трапиться. | Цього не буде. | Це не станеться.
22,1304,I'll do my best not to disturb your studying.,Ik zal proberen je niet te storen bij het leren. | Ik zal mijn best doen je niet lastig te vallen bij het studeren.,Koetan parhaani mukaan olla häiritsemättä opiskeluasi.,Je ferai de mon mieux pour ne pas perturber tes révisions.,"Ich werde mir Mühe geben, dich nicht beim Lernen zu stören.",אשתדל לא להפריע לך ללמוד. | אשתדל לא להפריע לך בלימודיך.,"Megteszek minden tőlem telhetőt, hogy ne zavarjam a tanulásodat.",Farò del mio meglio per non disturbare il tuo studio.,あなたの勉強を邪魔しないようにします。,我会尽量不打扰你复习。,Postaram się Ci nie przeszkadzać w nauce.,Farei o melhor de mim para não atrapalhar seus estudos.,Я постараюсь не мешать тебе учиться. | Я попытаюсь не отвлекать тебя от занятий.,Me voy a esforzar por no molestarte en tus estudios. | Haré mi mejor esfuerzo por no molestar tu estudio. | Haré lo mejor para no molestar tu estudio.,Çalışmanı bölmemek için elimden gelenin en iyisini yapacağım. | Çalışmanı rahatsız etmemek için elimden geleni yapacağım.,"Я зроблю все, що в моїх силах, щоб не заважати тобі навчатися. | Я зроблю все, що в моїх силах, щоб не заважати вам навчатися."
25,1308,I miss you.,Ik mis je.,Kaipaan sinua. | Ikävöin sinua. | Minulla on sinua ikävä. | Mulla on ikävä sua. | Mul on ikävä sua. | Minulla on ikävä sinua.,Tu me manques. | Vous me manquez.,Ich vermisse dich. | Ich vermisse Sie. | Ich vermisse euch. | Du fehlst mir.,מתגעגע אלייך. | מתגעגעת אליך. | אני מתגעגע אלייך. | אני מתגעגעת אלייך. | אני מתגעגע אליך. | אני מתגעגעת אליך.,Hiányzol. | Hiányollak. | Hiányzol nekem. | Hiányzol! | Hiányollak téged.,Mi manchi. | Mi manca. | Mi mancate. | Tu mi manchi. | Lei mi manca. | Voi mi mancate. | A me manchi. | A me manca. | A me mancate.,会えなくて淋しい。 | 君がいなくて寂しいよ。 | あなたがいなくて淋しいです。,我很想你。 | 我好想念你。 | 我想念你。 | 我想你。,Tęsknię za Tobą. | Brakuje mi cię. | Tęsknię za tobą.,Sinto sua falta. | Estou com saudades de você. | Saudades. | Sinto a tua falta. | Tenho saudades tuas. | Saudade de você!,Я скучаю по тебе. | Скучаю по тебе. | Я скучаю по вам. | Скучаю по вам. | Мне вас не хватает. | Я скучаю по тебе! | Мне тебя не хватает. | Мне Вас не хватает. | Я скучаю по Вам.,Te extraño. | Te echo de menos. | Os extraño.,Seni özledim. | Seni özlüyorum.,Сумую без тебе. | Я сумую за тобою. | Мені тебе бракує.
26,1309,I'll call them tomorrow when I come back.,"Ik bel ze morgen, als ik weer terug ben. | Ik bel ze morgen, wanneer ik weer terug ben.","Soitan heille huomenna, kun tulen takaisin.",Je les appellerai demain quand je reviendrai.,"Ich werde sie morgen anrufen, wenn ich zurückkomme.","אתקשר אליהם מחר כשאחזור. | אטלפן להם מחר, כשאחזור.","Holnap felhívom őket, amikor visszajövök.",Li chiamerò domani quando ritorno. | Le chiamerò domani quando ritorno.,明日帰ったら電話します。,我明天回來的時候會跟他們聯絡。,Zadzwonię do nich jutro kiedy wrócę.,"Eu vou ligar para eles amanhã, quando eu voltar. | Ligarei para eles amanhã quando eu voltar.","Я позвоню им завтра, когда вернусь домой. | Я позвоню им завтра, когда вернусь.",Los llamaré cuando regrese mañana. | Les llamaré mañana cuando regrese.,Yarın geri döndüğümde onları arayacağım. | Geri döndüğümde onları yarın ararım.,"Я подзвоню їм завтра, коли повернусь."
28,1311,You should sleep.,Je zou moeten slapen. | Je zou beter slapen.,Sinun pitäisi nukkua. | Sinun on parasta nukkua. | Teidän pitäisi nukkua.,Tu devrais dormir.,Du solltest schlafen. | Du sollst schlafen.,אתה צריך לישון. | את צריכה לישון. | עדיף שתישן. | עדיף שתישני. | אתם צריכים לישון. | כדאי שתישנו. | אתן צריכות לישון.,Aludnod kellene.,Dovresti dormire. | Dovreste dormire. | Dovrebbe dormire. | Tu dovresti dormire. | Lei dovrebbe dormire. | Voi dovreste dormire.,眠った方がいいよ。 | 寝た方がいいよ。,你應該去睡覺了吧。,Powinieneś spać.,Você deveria ir dormir. | Você deveria dormir. | Vocês deveriam dormir.,Тебе лучше поспать. | Тебе надо спать. | Вам надо спать. | Тебе нужно поспать.,Deberías dormir.,Uyuman gerek.,Тобі краще поспати. | Тобі треба поспати.
29,1312,I'm going to go.,Ik ga.,Minä olen lähdössä. | Minä aion mennä. | Minä menen. | Mä meen.,Je vais y aller.,Ich gehe.,אני אלך. | אני עומד ללכת. | אני עומד לצאת.,Megyek. | Menni fogok.,Sto per andare. | Ho intenzione di andare. | Andrò. | Io andrò.,行くよ。 | あとで行くね。,我要走了。,Zamierzam iść.,Eu vou. | Eu irei.,Я пойду. | Я собираюсь пойти. | Я собираюсь идти. | Я собираюсь поехать.,Voy a ir.,Gideceğim. | Gidiyorum.,Я піду. | Я вже йду. | Я буду йти. | Я збираюся йти.
30,1313,I told them to send me another ticket.,Ik heb ze gezegd dat ze me een nieuw ticket moeten opsturen. | Ik heb ze gezegd dat ze me nog een ticket moeten opsturen.,"Sanoin heille, että lähettäisivät minulle toisen lipun. | Käskin heitä lähettämään minulle toisen lipun.",Je leur ai dit de m'envoyer un autre ticket. | Je leur ai dit de m'envoyer un autre billet.,"Ich sagte ihnen, sie sollen mir ein neues Ticket schicken. | Ich sagte ihnen, sie sollen mir eine neue Fahrkarte schicken.",אמרתי להם לשלוח לי כרטיס אחר.,"Mondtam nekik, hogy küldjenek nekem egy másik jegyet.",Ho detto loro di mandarmi un altro biglietto. | Gli ho detto di mandarmi un altro biglietto. | Gli dissi di mandarmi un altro biglietto. | Gli ho detto di spedirmi un altro biglietto. | Gli ho detto di inviarmi un altro biglietto.,私は彼らにチケットをもう一枚送ってくれるように頼んだ。,我請他們再寄給我一張票。,"Kazałem im wysłać mi kolejny bilet. | Kazałam im wysłać mi kolejny bilet. | Powiedziałem im, żeby wysłali mi kolejny bilet. | Powiedziałam im, żeby wysłali mi kolejny bilet. | Powiedziałem im, żeby wysłały mi kolejny bilet. | Powiedziałam im, żeby wysłały mi kolejny bilet.",Eu disse para eles para me enviarem outra entrada. | Disse-lhes que me mandassem outro boleto.,Я сказал им послать мне ещё один билет.,Les dije que me mandaran otro boleto. | Les dije que me enviaran otro ticket.,Onlara bana bir bilet daha göndermelerini söyledim. | Onlara bana başka bir bilet göndermelerini söyledim.,Я сказав їм відправити мені ще один квиток.
33,1316,I once wanted to be an astrophysicist.,Ooit wilde ik astrofysicus worden.,Joskus halusin olla astrofyysikko.,Il fut un temps où je voulais être astrophysicien.,Ich wollte mal Astrophysiker werden.,"בזמנו, רציתי להיות אסטרופיזיקאי.",Egykor asztrofizikus akartam lenni. | Valamikor asztrofizikus akartam lenni.,Una volta volevo diventare un astrofisico.,私は一時期、天体物理学者になりたかった。,我曾經想過當個太空物理學家。,Kiedyś chciałem być astrofizykiem.,Uma vez eu quis ser um astrofísico.,Когда-то я хотел быть астрофизиком. | Когда-то я хотел стать астрофизиком.,Una vez quise ser astrofísico.,Bir zamanlar bir astrofizikçi olmak istedim.,Колись я хотів бути астрофізиком.
34,1317,I never liked biology.,Ik heb nooit van biologie gehouden.,En koskaan pitänyt biologiasta.,Je n'ai jamais aimé la biologie.,Ich mochte Biologie noch nie.,אף פעם לא אהבתי ביולוגיה.,Sosem szerettem a biológiát. | Sohasem kedveltem a biológiát.,Non mi è mai piaciuta la biologia. | A me non è mai piaciuta la biologia.,生物学は好きになれません。 | 私は生物学は決して好きではありませんでした。,我從來沒喜歡過生物學。,Nigdy nie lubiłem biologii.,Eu jamais gostei de biologia. | Eu nunca gostei de biologia. | Nunca gostei de biologia. | Nunca curti biologia.,Я никогда не любил биологию. | Никогда не любил биологию. | Я никогда не любила биологию. | Мне никогда не нравилась биология.,Nunca me gustó la biología.,Ben biyolojiyi hiç sevmedim.,Мені ніколи не подобалася біологія. | Я ніколи не любив біології. | Мені ніколи не подобалась біологія.
35,1318,The last person I told my idea to thought I was nuts.,"De vorige persoon aan wie ik mijn idee vertelde, dacht dat ik gestoord was.","Viimeisin henkilö, jolle kerroin ideani, oli sitä mieltä, että olen päästäni sekaisin.",La dernière personne à qui j'ai raconté mon idée a pensé que j'étais cinglé.,"Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt.","האדם האחרון שסיפרתי לו את הרעיון שלי, חשב שאני דפוק.","Akinek legutóbb elmondtam az elképzelésemet, bolondnak nézett.",L'ultima persona a cui ho raccontato la mia idea ha pensato che io fossi pazzo. | L'ultima persona a cui ho raccontato la mia idea ha pensato che io fossi pazza.,僕が最後に自分の考えを伝えた人は、僕を気違いだと思ったようだ。,最后一个听我说我的主意的人认为我疯了。,"Ostatnia osoba, której opowiedziałem o swoim pomyśle uznała mnie za wariata.",A última pessoa para quem eu contei a minha ideia achou que eu estava louca. | A última pessoa a quem contei minha ideia pensou que eu estava louco. | A última pessoa para quem contei minha ideia pensou que eu estava louco.,"Последний человек, которому я рассказал свою идею, решил, что я сумасшедший.",La última persona a la que le conté mi idea pensó que yo estaba loco.,Fikrimi söylediğim son kişi deli olduğumu düşündü.,"Остання людина, кому я розповів про свою ідею, вирішив, що я божевільний. | Остання особа, кому я розповіла про свою ідею, вирішила, що я божевільна."
37,1320,It is unfortunately true.,Helaas is het waar.,"Pitää paikkansa, ikävä kyllä. | Se on valitettavasti totta.",C'est malheureusement vrai.,Unglücklicherweise stimmt es. | Unglücklicherweise ist es wahr. | Das stimmt leider.,"לצערי, זה נכון. | זה נכון לדאבוני.",Sajnos igaz. | Sajnos ez van. | Sajnos ez a helyzet.,È sfortunatamente vero. | È sfortunatamente vera. | Sfortunatamente è vero. | Sfortunatamente è vera.,残念ながらそれは本当なのです。,可惜这是真的。,To niestety prawda.,"É verdade, infelizmente. | Infelizmente é verdade.","К сожалению, это правда. | К несчастью, это правда.","Desafortunadamente es verdad. | Por desgracia, eso es verdad. | Por desgracia, eso es cierto.",Bu ne yazık ki doğrudur. | Maalesef doğru.,"На жаль, це правда. | На жаль, це так. | Це, на жаль, правда."
